time,open,high,low,close
1738540800.0,4.88200000,4.88400000,4.76900000,4.77500000
1738541700.0,4.77100000,4.77300000,4.63600000,4.67900000
1738542600.0,4.67900000,4.69000000,4.41600000,4.45100000
1738543500.0,4.45200000,4.73000000,4.45000000,4.66700000
1738544400.0,4.66800000,4.69200000,4.59800000,4.61200000
1738545300.0,4.61000000,4.61600000,4.53600000,4.54500000
1738546200.0,4.54700000,4.58300000,4.47200000,4.50200000
1738547100.0,4.50500000,4.50600000,3.91000000,4.11600000
1738548000.0,4.11600000,4.16000000,3.65000000,4.07300000
1738548900.0,4.07400000,4.13000000,4.02500000,4.05000000
1738549800.0,4.04800000,4.08400000,4.00000000,4.03200000
1738550700.0,4.03100000,4.04100000,3.90500000,3.96600000
1738551600.0,3.97000000,4.11700000,3.96100000,4.08500000
1738552500.0,4.08700000,4.15400000,4.08200000,4.09300000
1738553400.0,4.09400000,4.09900000,4.05800000,4.07800000
1738554300.0,4.07900000,4.15400000,4.07700000,4.09700000
1738555200.0,4.09900000,4.14300000,4.04900000,4.05600000
1738556100.0,4.05600000,4.06400000,3.98300000,3.99000000
1738557000.0,3.98800000,4.01000000,3.95300000,3.97100000
1738557900.0,3.97300000,4.00000000,3.93200000,3.93500000
1738558800.0,3.93500000,4.01200000,3.93200000,3.98800000
1738559700.0,3.98500000,4.08800000,3.98100000,4.06300000
1738560600.0,4.06300000,4.12700000,4.05400000,4.12400000
1738561500.0,4.12500000,4.18700000,4.10300000,4.18300000
1738562400.0,4.18300000,4.18300000,4.11400000,4.17600000
1738563300.0,4.17500000,4.24600000,4.15800000,4.23400000
1738564200.0,4.23100000,4.23800000,4.18300000,4.19600000
1738565100.0,4.19800000,4.26700000,4.19300000,4.26300000
1738566000.0,4.26000000,4.28900000,4.23500000,4.26400000
1738566900.0,4.26600000,4.28900000,4.25500000,4.28800000
1738567800.0,4.29000000,4.35300000,4.26900000,4.32100000
1738568700.0,4.32100000,4.39100000,4.30900000,4.38400000
1738569600.0,4.38400000,4.38500000,4.29100000,4.31400000
1738570500.0,4.31300000,4.31800000,4.24100000,4.24700000
1738571400.0,4.24600000,4.24800000,4.19500000,4.21100000
1738572300.0,4.21200000,4.26200000,4.20900000,4.25900000
1738573200.0,4.25900000,4.35100000,4.24300000,4.34200000
1738574100.0,4.34200000,4.34300000,4.27900000,4.29900000
1738575000.0,4.29300000,4.31800000,4.26800000,4.29000000
1738575900.0,4.28800000,4.30100000,4.25200000,4.26000000
1738576800.0,4.26000000,4.29300000,4.25900000,4.28600000
1738577700.0,4.28700000,4.33300000,4.24600000,4.31700000
1738578600.0,4.32100000,4.37900000,4.30600000,4.34200000
1738579500.0,4.34300000,4.40600000,4.34000000,4.40400000
1738580400.0,4.40500000,4.41600000,4.37300000,4.38900000
1738581300.0,4.39000000,4.39600000,4.35200000,4.36500000
1738582200.0,4.36400000,4.36500000,4.32100000,4.33800000
