time,open,high,low,close
1738540800.0,4.33700000,4.33700000,4.25800000,4.26000000
1738541700.0,4.25700000,4.25700000,4.14900000,4.18800000
1738542600.0,4.18900000,4.19500000,4.03000000,4.04800000
1738543500.0,4.04800000,4.22500000,4.04600000,4.19100000
1738544400.0,4.19100000,4.22800000,4.15100000,4.16000000
1738545300.0,4.15900000,4.16300000,4.10200000,4.11300000
1738546200.0,4.11000000,4.15200000,4.06100000,4.08300000
1738547100.0,4.08500000,4.08500000,3.48600000,3.70500000
1738548000.0,3.70300000,3.75600000,3.24800000,3.68500000
1738548900.0,3.68300000,3.88500000,3.64000000,3.71700000
1738549800.0,3.71400000,3.75200000,3.67800000,3.71400000
1738550700.0,3.72000000,3.73000000,3.63300000,3.68500000
1738551600.0,3.68900000,3.81200000,3.68100000,3.78800000
1738552500.0,3.78900000,3.83800000,3.71000000,3.73900000
1738553400.0,3.73700000,3.74500000,3.70500000,3.73800000
1738554300.0,3.73700000,3.79400000,3.73500000,3.75100000
1738555200.0,3.75500000,3.79500000,3.70100000,3.70700000
1738556100.0,3.70700000,3.70900000,3.64600000,3.65400000
1738557000.0,3.65300000,3.66400000,3.60500000,3.61800000
1738557900.0,3.61800000,3.65000000,3.58600000,3.58700000
1738558800.0,3.59500000,3.65100000,3.58800000,3.63400000
1738559700.0,3.63200000,3.71000000,3.62900000,3.69200000
1738560600.0,3.68800000,3.73300000,3.68200000,3.73300000
1738561500.0,3.73400000,3.80000000,3.72100000,3.79900000
1738562400.0,3.79800000,3.80200000,3.74600000,3.80100000
1738563300.0,3.80100000,3.88300000,3.78700000,3.85500000
1738564200.0,3.85600000,3.88100000,3.83400000,3.84900000
1738565100.0,3.84900000,3.92900000,3.84500000,3.92100000
1738566000.0,3.91600000,3.93600000,3.90300000,3.92500000
1738566900.0,3.92500000,3.96300000,3.92000000,3.94700000
1738567800.0,3.94900000,4.01400000,3.93200000,3.98900000
1738568700.0,3.98800000,4.03700000,3.97300000,4.02600000
1738569600.0,4.02300000,4.02300000,3.95900000,3.99500000
1738570500.0,3.99500000,4.00100000,3.93400000,3.93900000
1738571400.0,3.93000000,3.93300000,3.88300000,3.90000000
1738572300.0,3.89500000,3.93800000,3.89500000,3.93500000
1738573200.0,3.93500000,3.99400000,3.92500000,3.98800000
1738574100.0,3.98400000,3.98400000,3.93400000,3.96200000
1738575000.0,3.96200000,3.97300000,3.93800000,3.95200000
1738575900.0,3.95600000,3.97300000,3.92600000,3.93900000
1738576800.0,3.93900000,3.96500000,3.93900000,3.96500000
1738577700.0,3.96500000,4.00800000,3.93500000,4.00700000
1738578600.0,4.00900000,4.07600000,4.00400000,4.04500000
1738579500.0,4.04500000,4.08700000,4.03900000,4.08200000
1738580400.0,4.08400000,4.10200000,4.06700000,4.09300000
1738581300.0,4.09100000,4.09100000,4.05500000,4.06900000
1738582200.0,4.06700000,4.06700000,4.03000000,4.03900000
1738583100.0,4.04100000,4.05000000,4.02400000,4.04500000
1738584000.0,4.04500000,4.09000000,4.04200000,4.07500000
1738584900.0,4.07300000,4.12300000,4.07300000,4.07500000
1738585800.0,4.07100000,4.08700000,4.06000000,4.06300000
1738586700.0,4.06300000,4.06300000,4.00600000,4.02000000
1738587600.0,4.01200000,4.03800000,3.98600000,3.98600000
1738588500.0,3.98600000,4.01200000,3.94300000,3.94400000
1738589400.0,3.94400000,4.00600000,3.94300000,4.00200000
1738590300.0,3.99700000,4.00200000,3.94100000,3.96200000
1738591200.0,3.96200000,3.96500000,3.86700000,3.88900000
1738592100.0,3.88900000,3.92800000,3.84700000,3.89400000
1738593000.0,3.88900000,4.08000000,3.86700000,4.04100000
1738593900.0,4.04200000,4.08200000,3.99500000,4.06500000
1738594800.0,4.06400000,4.08300000,4.03900000,4.07100000
1738595700.0,4.06000000,4.24200000,4.05300000,4.19600000
1738596600.0,4.19100000,4.24000000,4.16300000,4.21700000
1738597500.0,4.21900000,4.23900000,4.15800000,4.18700000
1738598400.0,4.18500000,4.21600000,4.16500000,4.18200000
1738599300.0,4.18800000,4.23500000,4.16700000,4.21300000
1738600200.0,4.21400000,4.24300000,4.19800000,4.24200000
1738601100.0,4.24200000,4.26200000,4.20600000,4.21000000
1738602000.0,4.21100000,4.22300000,4.18100000,4.20700000
1738602900.0,4.20500000,4.23400000,4.19700000,4.20800000
1738603800.0,4.20700000,4.20900000,4.18100000,4.19600000
1738604700.0,4.20100000,4.25100000,4.20100000,4.23600000
1738605600.0,4.23200000,4.23500000,4.20400000,4.21900000
1738606500.0,4.21500000,4.23700000,4.20900000,4.23600000
1738607400.0,4.23300000,4.27100000,4.21900000,4.25200000
1738608300.0,4.24800000,4.27700000,4.23800000,4.27600000
1738609200.0,4.27600000,4.29400000,4.26100000,4.28000000
1738610100.0,4.27700000,4.32600000,4.27700000,4.30200000
1738611000.0,4.30200000,4.34200000,4.29900000,4.34200000
1738611900.0,4.34300000,4.38200000,4.33900000,4.37200000
1738612800.0,4.37800000,4.37800000,4.27400000,4.30200000
1738613700.0,4.30000000,4.32400000,4.29300000,4.30000000
1738614600.0,4.30400000,4.31700000,4.26600000,4.27500000
1738615500.0,4.27400000,4.30300000,4.26400000,4.29700000
1738616400.0,4.29800000,4.32600000,4.29300000,4.32600000
1738617300.0,4.32500000,4.36300000,4.31300000,4.36100000
1738618200.0,4.36200000,4.40100000,4.35200000,4.36500000
1738619100.0,4.37500000,4.43300000,4.37500000,4.43300000
1738620000.0,4.43400000,4.47700000,4.42200000,4.43500000
1738620900.0,4.43400000,4.47600000,4.40700000,4.47100000
1738621800.0,4.47300000,4.47400000,4.44500000,4.45900000
1738622700.0,4.45800000,4.46400000,4.42600000,4.45200000
1738623600.0,4.45400000,4.46200000,4.44200000,4.44900000
1738624500.0,4.44700000,4.45600000,4.42700000,4.43000000
1738625400.0,4.43900000,4.43900000,4.40400000,4.42100000
1738626300.0,4.42100000,4.44300000,4.41900000,4.44300000
1738627200.0,4.43900000,4.50500000,4.43900000,4.46700000
1738628100.0,4.46600000,4.47100000,4.42200000,4.42800000
1738629000.0,4.42800000,4.43000000,4.39800000,4.41900000
1738629900.0,4.41900000,4.42000000,4.36800000,4.37200000
1738630800.0,4.37200000,4.40300000,4.36600000,4.38200000
1738631700.0,4.38400000,4.42000000,4.38400000,4.42000000
1738632600.0,4.41900000,4.41900000,4.39000000,4.40300000
1738633500.0,4.40200000,4.40600000,4.38200000,4.39100000
1738634400.0,4.39100000,4.40500000,4.36700000,4.36900000
1738635300.0,4.36900000,4.37100000,4.34300000,4.36300000
1738636200.0,4.36300000,4.36900000,4.33900000,4.34600000
1738637100.0,4.34200000,4.34500000,4.30700000,4.31000000
1738638000.0,4.31100000,4.32400000,4.30100000,4.31600000
1738638900.0,4.31500000,4.31600000,4.27800000,4.28400000
1738639800.0,4.28400000,4.29500000,4.26800000,4.29100000
1738640700.0,4.29300000,4.29700000,4.27800000,4.29300000
1738641600.0,4.29200000,4.32100000,4.28900000,4.32100000
1738642500.0,4.31600000,4.32700000,4.29100000,4.29200000
1738643400.0,4.29400000,4.33200000,4.27500000,4.30900000
1738644300.0,4.30600000,4.31000000,4.25300000,4.26300000
1738645200.0,4.26300000,4.26500000,4.11500000,4.11800000
1738646100.0,4.12100000,4.14500000,4.07600000,4.09600000
1738647000.0,4.09700000,4.12000000,4.05100000,4.08000000
1738647900.0,4.07400000,4.11200000,4.04500000,4.05300000
1738648800.0,4.05200000,4.11100000,4.05200000,4.09700000
1738649700.0,4.09800000,4.12600000,4.06100000,4.06900000
1738650600.0,4.06700000,4.11800000,4.06300000,4.11500000
1738651500.0,4.11400000,4.12100000,4.10100000,4.11600000
1738652400.0,4.11600000,4.11600000,4.07600000,4.08500000
1738653300.0,4.08600000,4.10600000,4.05400000,4.06000000
1738654200.0,4.06300000,4.07200000,4.02600000,4.02600000
1738655100.0,4.02600000,4.02800000,3.98200000,3.99600000
1738656000.0,3.99900000,4.05200000,3.98700000,4.03000000
1738656900.0,4.03300000,4.04700000,4.01400000,4.03700000
1738657800.0,4.03500000,4.04100000,3.97800000,3.98300000
1738658700.0,3.98100000,4.00300000,3.97400000,3.99900000
1738659600.0,3.99800000,4.03400000,3.99800000,4.02200000
1738660500.0,4.02200000,4.03900000,4.00100000,4.01500000
1738661400.0,4.01600000,4.02700000,4.00100000,4.01200000
1738662300.0,4.00900000,4.00900000,3.97600000,3.98400000
1738663200.0,3.98300000,4.04200000,3.98100000,4.02200000
1738664100.0,4.01900000,4.05300000,4.01600000,4.05300000
