time,open,high,low,close
1738540800.0,3.64000000,3.64000000,3.57700000,3.58100000
1738541700.0,3.57900000,3.57900000,3.51400000,3.54100000
1738542600.0,3.54200000,3.55000000,3.42700000,3.44200000
1738543500.0,3.44100000,3.53900000,3.43300000,3.51400000
1738544400.0,3.51800000,3.54800000,3.48600000,3.49800000
1738545300.0,3.49100000,3.50500000,3.44700000,3.45600000
1738546200.0,3.45400000,3.48900000,3.41700000,3.42700000
1738547100.0,3.42800000,3.43500000,3.04400000,3.20300000
1738548000.0,3.20900000,3.22500000,2.74700000,3.07700000
1738548900.0,3.07700000,3.13500000,3.00600000,3.01000000
1738549800.0,3.01000000,3.07200000,2.98700000,3.05100000
1738550700.0,3.05200000,3.06700000,2.99800000,3.06100000
1738551600.0,3.06200000,3.16900000,3.06200000,3.16500000
1738552500.0,3.16600000,3.21500000,3.16500000,3.17800000
1738553400.0,3.17600000,3.17600000,3.12600000,3.13700000
1738554300.0,3.13600000,3.16700000,3.13100000,3.15200000
1738555200.0,3.15400000,3.18200000,3.09500000,3.10000000
1738556100.0,3.10000000,3.10400000,3.06500000,3.06800000
1738557000.0,3.06700000,3.08700000,3.03600000,3.04900000
1738557900.0,3.04300000,3.08000000,3.02900000,3.03500000
1738558800.0,3.03600000,3.08200000,3.03200000,3.07500000
1738559700.0,3.07300000,3.13700000,3.07300000,3.12000000
1738560600.0,3.11900000,3.15300000,3.11300000,3.14300000
1738561500.0,3.14300000,3.18100000,3.13200000,3.17800000
1738562400.0,3.17700000,3.19000000,3.14600000,3.18700000
1738563300.0,3.18500000,3.23100000,3.17900000,3.23100000
1738564200.0,3.23100000,3.24100000,3.21400000,3.22500000
1738565100.0,3.22300000,3.25700000,3.22300000,3.23600000
1738566000.0,3.23300000,3.24900000,3.21700000,3.24900000
1738566900.0,3.25000000,3.26900000,3.24200000,3.26100000
1738567800.0,3.26200000,3.29900000,3.25300000,3.28700000
1738568700.0,3.28500000,3.30700000,3.27700000,3.30200000
1738569600.0,3.30000000,3.30000000,3.26100000,3.26900000
1738570500.0,3.27700000,3.28300000,3.23300000,3.23800000
1738571400.0,3.23800000,3.24300000,3.20500000,3.20500000
1738572300.0,3.20500000,3.23600000,3.20400000,3.23500000
1738573200.0,3.23300000,3.27300000,3.22500000,3.26500000
1738574100.0,3.26300000,3.26400000,3.21900000,3.24600000
1738575000.0,3.23800000,3.24500000,3.22300000,3.22800000
1738575900.0,3.23300000,3.23900000,3.21700000,3.21700000
1738576800.0,3.21700000,3.23000000,3.20400000,3.21000000
1738577700.0,3.21000000,3.23100000,3.18800000,3.23100000
1738578600.0,3.23100000,3.26200000,3.22700000,3.23700000
1738579500.0,3.23800000,3.26600000,3.23400000,3.26300000
1738580400.0,3.26300000,3.26400000,3.24400000,3.25300000
1738581300.0,3.24900000,3.24900000,3.22000000,3.23300000
1738582200.0,3.23300000,3.23300000,3.20500000,3.21600000
1738583100.0,3.21600000,3.22400000,3.20200000,3.21100000
1738584000.0,3.21200000,3.22600000,3.19700000,3.20900000
1738584900.0,3.20700000,3.23800000,3.20500000,3.20900000
1738585800.0,3.20300000,3.20800000,3.18300000,3.18600000
1738586700.0,3.18700000,3.18700000,3.15100000,3.15900000
1738587600.0,3.15800000,3.20400000,3.15500000,3.17100000
