time,open,high,low,close
1738540800.0,246.60000000,248.90000000,244.00000000,244.00000000
1738541700.0,244.00000000,244.00000000,235.80000000,239.20000000
1738542600.0,239.20000000,239.20000000,230.30000000,230.30000000
1738543500.0,230.30000000,236.80000000,230.00000000,236.70000000
1738544400.0,236.40000000,239.30000000,235.90000000,236.50000000
1738545300.0,236.40000000,236.90000000,230.90000000,232.00000000
1738546200.0,232.00000000,232.00000000,230.40000000,230.60000000
1738547100.0,230.60000000,230.90000000,219.10000000,220.10000000
1738548000.0,220.10000000,220.20000000,210.40000000,211.60000000
1738548900.0,211.90000000,217.60000000,211.90000000,215.70000000
1738549800.0,214.90000000,216.70000000,212.60000000,214.40000000
1738550700.0,214.10000000,214.30000000,162.70000000,181.50000000
1738551600.0,181.50000000,191.30000000,178.90000000,191.30000000
1738552500.0,191.50000000,207.00000000,191.50000000,205.60000000
1738553400.0,206.00000000,206.10000000,200.20000000,201.80000000
1738554300.0,201.80000000,203.60000000,201.40000000,202.90000000
1738555200.0,203.00000000,205.60000000,201.40000000,201.80000000
1738556100.0,202.10000000,203.00000000,200.80000000,200.90000000
1738557000.0,201.10000000,201.50000000,200.00000000,200.20000000
1738557900.0,200.20000000,200.80000000,198.60000000,198.60000000
1738558800.0,198.60000000,204.30000000,198.30000000,204.30000000
1738559700.0,204.10000000,207.10000000,203.30000000,204.90000000
1738560600.0,204.80000000,207.40000000,204.20000000,206.40000000
1738561500.0,206.40000000,211.00000000,206.00000000,210.30000000
1738562400.0,210.30000000,210.60000000,208.80000000,209.70000000
1738563300.0,210.00000000,213.00000000,209.50000000,211.40000000
1738564200.0,211.70000000,213.40000000,211.50000000,213.00000000
1738565100.0,212.70000000,215.20000000,212.40000000,214.50000000
1738566000.0,214.50000000,216.00000000,214.00000000,215.90000000
1738566900.0,215.50000000,217.70000000,215.10000000,216.90000000
1738567800.0,216.90000000,219.90000000,216.60000000,219.90000000
1738568700.0,219.50000000,223.00000000,219.30000000,222.20000000
1738569600.0,222.20000000,222.50000000,219.20000000,220.30000000
1738570500.0,220.60000000,221.10000000,216.00000000,216.00000000
1738571400.0,216.00000000,216.70000000,213.30000000,214.60000000
1738572300.0,214.60000000,216.40000000,213.90000000,215.60000000
1738573200.0,216.00000000,220.50000000,215.00000000,220.40000000
1738574100.0,220.10000000,220.10000000,219.20000000,219.70000000
1738575000.0,219.50000000,220.10000000,218.90000000,218.90000000
1738575900.0,218.90000000,219.30000000,216.60000000,217.40000000
1738576800.0,217.70000000,218.60000000,217.30000000,217.70000000
1738577700.0,218.00000000,219.90000000,217.70000000,219.90000000
1738578600.0,219.50000000,222.00000000,219.20000000,221.20000000
1738579500.0,221.20000000,223.20000000,219.60000000,223.00000000
1738580400.0,223.30000000,223.40000000,221.70000000,221.80000000
1738581300.0,221.80000000,222.10000000,220.70000000,220.70000000
1738582200.0,220.60000000,220.60000000,218.00000000,218.00000000
1738583100.0,217.50000000,219.50000000,217.50000000,218.70000000
1738584000.0,218.50000000,220.50000000,218.30000000,219.40000000
1738584900.0,219.40000000,221.50000000,219.30000000,219.60000000
1738585800.0,219.90000000,221.50000000,219.30000000,220.50000000
1738586700.0,220.30000000,221.20000000,217.10000000,217.10000000
1738587600.0,217.10000000,219.40000000,217.00000000,217.60000000
1738588500.0,217.60000000,218.20000000,214.60000000,214.90000000
1738589400.0,214.50000000,216.80000000,214.10000000,216.80000000
1738590300.0,216.80000000,219.50000000,216.80000000,218.30000000
1738591200.0,218.10000000,218.10000000,214.60000000,214.80000000
1738592100.0,214.80000000,215.70000000,213.40000000,214.30000000
1738593000.0,214.40000000,222.10000000,214.20000000,221.60000000
1738593900.0,221.90000000,222.30000000,220.80000000,222.30000000
1738594800.0,222.40000000,224.40000000,222.00000000,224.20000000
1738595700.0,224.60000000,230.50000000,224.00000000,229.90000000
1738596600.0,230.00000000,230.50000000,228.80000000,230.50000000
1738597500.0,230.50000000,232.30000000,230.20000000,230.60000000
1738598400.0,230.90000000,232.30000000,229.90000000,229.90000000
1738599300.0,230.20000000,234.00000000,230.20000000,233.50000000
1738600200.0,233.50000000,235.90000000,233.20000000,233.90000000
1738601100.0,233.90000000,235.00000000,233.20000000,233.20000000
1738602000.0,233.20000000,233.20000000,230.60000000,232.60000000
1738602900.0,232.60000000,234.20000000,232.20000000,233.20000000
1738603800.0,233.20000000,233.40000000,232.00000000,232.70000000
1738604700.0,233.10000000,234.90000000,232.80000000,234.50000000
1738605600.0,234.50000000,235.00000000,232.60000000,233.30000000
