time,open,high,low,close
1738540800.0,210.00000000,210.40000000,208.10000000,208.30000000
1738541700.0,208.30000000,209.00000000,203.20000000,206.40000000
1738542600.0,206.70000000,206.80000000,198.00000000,198.30000000
1738543500.0,199.10000000,206.20000000,198.70000000,204.40000000
1738544400.0,204.60000000,206.10000000,202.20000000,202.20000000
1738545300.0,202.10000000,202.70000000,197.70000000,199.40000000
1738546200.0,199.40000000,201.60000000,196.40000000,197.30000000
1738547100.0,196.30000000,197.20000000,183.00000000,189.30000000
1738548000.0,189.90000000,192.60000000,180.00000000,188.40000000
1738548900.0,188.30000000,195.80000000,188.00000000,192.10000000
1738549800.0,192.30000000,195.20000000,189.90000000,194.50000000
1738550700.0,195.30000000,198.10000000,192.00000000,193.70000000
1738551600.0,193.80000000,202.90000000,193.20000000,201.30000000
1738552500.0,201.40000000,204.80000000,200.20000000,200.90000000
1738553400.0,201.10000000,201.10000000,199.00000000,199.40000000
1738554300.0,199.70000000,205.50000000,199.70000000,203.70000000
1738555200.0,203.50000000,206.00000000,201.90000000,202.00000000
1738556100.0,202.10000000,203.40000000,199.80000000,200.10000000
1738557000.0,200.70000000,200.90000000,196.20000000,197.20000000
1738557900.0,197.20000000,198.80000000,194.80000000,195.30000000
1738558800.0,195.40000000,197.80000000,195.40000000,196.30000000
1738559700.0,196.00000000,200.30000000,196.00000000,199.40000000
1738560600.0,199.50000000,201.60000000,198.60000000,199.60000000
1738561500.0,199.30000000,202.90000000,198.90000000,202.40000000
1738562400.0,202.30000000,202.30000000,199.20000000,200.60000000
1738563300.0,200.20000000,203.30000000,199.80000000,202.40000000
1738564200.0,202.40000000,204.30000000,200.00000000,200.40000000
1738565100.0,200.40000000,201.80000000,200.00000000,201.10000000
1738566000.0,201.10000000,202.90000000,200.80000000,202.10000000
1738566900.0,202.10000000,204.60000000,202.00000000,203.60000000
1738567800.0,203.50000000,204.70000000,201.90000000,203.10000000
1738568700.0,203.00000000,205.40000000,202.70000000,204.90000000
1738569600.0,204.30000000,204.30000000,200.80000000,202.40000000
1738570500.0,202.70000000,202.90000000,200.60000000,201.60000000
1738571400.0,201.00000000,201.90000000,199.00000000,199.50000000
1738572300.0,199.10000000,201.40000000,199.10000000,201.20000000
1738573200.0,201.20000000,204.80000000,200.80000000,204.30000000
1738574100.0,204.30000000,204.40000000,200.80000000,202.00000000
1738575000.0,201.60000000,202.40000000,199.50000000,199.90000000
1738575900.0,200.10000000,200.80000000,199.40000000,200.00000000
1738576800.0,200.00000000,201.90000000,199.80000000,201.60000000
1738577700.0,201.80000000,205.40000000,201.10000000,205.30000000
1738578600.0,205.20000000,206.80000000,204.50000000,205.40000000
1738579500.0,205.50000000,208.20000000,205.50000000,207.80000000
