time,open,high,low,close
1738540800.0,8.96000000,8.96000000,8.77000000,8.77000000
1738541700.0,8.76000000,8.77000000,8.56000000,8.61000000
1738542600.0,8.61000000,8.63000000,8.24000000,8.28000000
1738543500.0,8.29000000,8.57000000,8.28000000,8.54000000
1738544400.0,8.53000000,8.56000000,8.37000000,8.42000000
1738545300.0,8.41000000,8.41000000,8.19000000,8.22000000
1738546200.0,8.21000000,8.32000000,8.16000000,8.18000000
1738547100.0,8.19000000,8.19000000,7.26000000,7.27000000
1738548000.0,7.27000000,7.33000000,6.49000000,7.17000000
1738548900.0,7.17000000,7.17000000,6.91000000,6.99000000
1738549800.0,6.99000000,7.10000000,6.94000000,7.00000000
1738550700.0,7.01000000,7.01000000,6.87000000,6.99000000
1738551600.0,6.99000000,7.26000000,6.98000000,7.21000000
1738552500.0,7.21000000,7.40000000,7.21000000,7.23000000
1738553400.0,7.24000000,7.25000000,7.16000000,7.19000000
1738554300.0,7.19000000,7.34000000,7.19000000,7.23000000
1738555200.0,7.23000000,7.35000000,7.16000000,7.16000000
1738556100.0,7.16000000,7.18000000,7.02000000,7.02000000
1738557000.0,7.02000000,7.09000000,6.97000000,6.99000000
1738557900.0,6.99000000,7.03000000,6.90000000,6.90000000
1738558800.0,6.90000000,7.07000000,6.88000000,6.99000000
1738559700.0,6.99000000,7.16000000,6.98000000,7.08000000
1738560600.0,7.08000000,7.15000000,7.06000000,7.06000000
1738561500.0,7.06000000,7.20000000,7.05000000,7.17000000
1738562400.0,7.17000000,7.18000000,7.00000000,7.12000000
1738563300.0,7.12000000,7.22000000,7.10000000,7.20000000
1738564200.0,7.19000000,7.60000000,7.19000000,7.33000000
1738565100.0,7.33000000,7.46000000,7.33000000,7.41000000
1738566000.0,7.41000000,7.50000000,7.38000000,7.44000000
1738566900.0,7.44000000,7.98000000,7.44000000,7.64000000
1738567800.0,7.64000000,8.45000000,7.64000000,7.92000000
1738568700.0,7.92000000,7.93000000,7.80000000,7.87000000
1738569600.0,7.88000000,7.90000000,7.68000000,7.73000000
1738570500.0,7.74000000,7.77000000,7.73000000,7.74000000
1738571400.0,7.73000000,7.97000000,7.73000000,7.80000000
1738572300.0,7.82000000,7.86000000,7.80000000,7.81000000
1738573200.0,7.83000000,7.94000000,7.80000000,7.93000000
