time,open,high,low,close
1738540800.0,2.37600000,2.37600000,2.29000000,2.29500000
1738541700.0,2.29000000,2.29000000,2.22700000,2.26500000
1738542600.0,2.26800000,2.26900000,2.17000000,2.17700000
1738543500.0,2.17700000,2.26800000,2.17700000,2.25200000
1738544400.0,2.25200000,2.25900000,2.19100000,2.19400000
1738545300.0,2.19300000,2.19300000,2.14300000,2.15000000
1738546200.0,2.15000000,2.15900000,2.11000000,2.12500000
1738547100.0,2.12600000,2.12900000,1.82000000,1.94100000
1738548000.0,1.94700000,1.95700000,1.63600000,1.87000000
1738548900.0,1.87000000,1.99200000,1.85600000,1.94400000
1738549800.0,1.94600000,1.95200000,1.89500000,1.91300000
1738550700.0,1.91400000,1.93400000,1.87500000,1.88900000
1738551600.0,1.89200000,1.99600000,1.88800000,1.98900000
1738552500.0,1.99200000,2.02500000,1.98300000,1.99400000
1738553400.0,1.99300000,1.99700000,1.97500000,1.98600000
1738554300.0,1.99100000,2.04100000,1.98800000,2.01500000
1738555200.0,2.01400000,2.03800000,1.98100000,1.98500000
1738556100.0,1.98600000,1.98700000,1.94300000,1.94400000
1738557000.0,1.94300000,1.95600000,1.92600000,1.94200000
1738557900.0,1.93900000,1.95700000,1.91000000,1.92200000
1738558800.0,1.92200000,1.95100000,1.92200000,1.93800000
1738559700.0,1.94200000,1.98700000,1.94100000,1.97300000
1738560600.0,1.97100000,1.98700000,1.96000000,1.98100000
1738561500.0,1.98100000,2.00000000,1.97200000,1.99600000
1738562400.0,1.99600000,2.00100000,1.96200000,1.97900000
1738563300.0,1.98400000,2.02400000,1.97400000,2.02100000
1738564200.0,2.02100000,2.03500000,2.00100000,2.01500000
1738565100.0,2.01500000,2.05100000,2.01100000,2.04400000
1738566000.0,2.04300000,2.07000000,2.03700000,2.06700000
1738566900.0,2.06700000,2.08200000,2.06100000,2.06400000
1738567800.0,2.06500000,2.09500000,2.05500000,2.08000000
1738568700.0,2.07900000,2.12300000,2.07200000,2.11300000
1738569600.0,2.11300000,2.11700000,2.07400000,2.11200000
1738570500.0,2.11300000,2.12000000,2.07800000,2.08700000
1738571400.0,2.08300000,2.08300000,2.05300000,2.06200000
1738572300.0,2.06000000,2.09100000,2.06000000,2.07800000
1738573200.0,2.07500000,2.14000000,2.06400000,2.13800000
1738574100.0,2.14000000,2.14000000,2.09400000,2.11800000
1738575000.0,2.11600000,2.12600000,2.09800000,2.10200000
1738575900.0,2.10500000,2.11700000,2.08700000,2.10100000
1738576800.0,2.10100000,2.11400000,2.08600000,2.10000000
1738577700.0,2.10000000,2.12200000,2.07900000,2.12000000
1738578600.0,2.12000000,2.16200000,2.11700000,2.14600000
1738579500.0,2.15000000,2.17500000,2.15000000,2.17100000
1738580400.0,2.17100000,2.17400000,2.15000000,2.16200000
1738581300.0,2.15700000,2.15900000,2.13400000,2.15100000
1738582200.0,2.14800000,2.15200000,2.12000000,2.12500000
1738583100.0,2.12900000,2.13200000,2.11300000,2.12700000
1738584000.0,2.12700000,2.16300000,2.12700000,2.14500000
