time,open,high,low,close
1738540800.0,1.73500000,1.73900000,1.69200000,1.69200000
1738541700.0,1.69100000,1.69100000,1.65500000,1.66900000
1738542600.0,1.66900000,1.67100000,1.60100000,1.60800000
1738543500.0,1.60900000,1.66900000,1.60800000,1.65400000
1738544400.0,1.65300000,1.66400000,1.63500000,1.65000000
1738545300.0,1.65000000,1.65000000,1.62200000,1.62500000
1738546200.0,1.62700000,1.64500000,1.62000000,1.64100000
1738547100.0,1.64200000,1.64200000,1.46800000,1.53200000
1738548000.0,1.53200000,1.54700000,1.38400000,1.52300000
1738548900.0,1.52200000,1.53100000,1.46600000,1.46800000
1738549800.0,1.46800000,1.47900000,1.44400000,1.45000000
1738550700.0,1.45100000,1.45600000,1.40800000,1.43100000
1738551600.0,1.43300000,1.50100000,1.43100000,1.47800000
1738552500.0,1.47800000,1.49200000,1.45900000,1.46100000
1738553400.0,1.46100000,1.46200000,1.43200000,1.43900000
1738554300.0,1.43900000,1.46400000,1.43600000,1.44000000
1738555200.0,1.44100000,1.46000000,1.41000000,1.41300000
1738556100.0,1.41300000,1.41300000,1.39100000,1.39900000
1738557000.0,1.39900000,1.41600000,1.37800000,1.38600000
1738557900.0,1.38500000,1.40000000,1.36400000,1.36500000
1738558800.0,1.36600000,1.39100000,1.35900000,1.38200000
1738559700.0,1.38100000,1.40800000,1.38000000,1.39800000
1738560600.0,1.39900000,1.39900000,1.38300000,1.39800000
1738561500.0,1.39800000,1.41200000,1.39500000,1.41000000
1738562400.0,1.40800000,1.41100000,1.39100000,1.40400000
1738563300.0,1.40500000,1.59000000,1.39800000,1.56100000
1738564200.0,1.56000000,1.60500000,1.54400000,1.56700000
1738565100.0,1.56800000,1.59300000,1.56100000,1.57400000
1738566000.0,1.57500000,1.58900000,1.57000000,1.58100000
1738566900.0,1.58200000,1.60700000,1.57300000,1.60500000
1738567800.0,1.60500000,1.68200000,1.59900000,1.64500000
1738568700.0,1.64200000,1.64800000,1.63000000,1.64200000
1738569600.0,1.64100000,1.64100000,1.61000000,1.62100000
1738570500.0,1.62200000,1.63700000,1.60800000,1.61500000
1738571400.0,1.61500000,1.62500000,1.59900000,1.62400000
1738572300.0,1.62100000,1.66900000,1.62000000,1.66900000
