time,open,high,low,close
1738540800.0,5.15500000,5.15600000,5.07000000,5.07300000
1738541700.0,5.07200000,5.07200000,4.93100000,4.97800000
1738542600.0,4.97900000,4.99100000,4.73000000,4.76200000
1738543500.0,4.76100000,4.97600000,4.75400000,4.92500000
1738544400.0,4.92600000,4.94800000,4.84500000,4.85400000
1738545300.0,4.85300000,4.85900000,4.77900000,4.79400000
1738546200.0,4.79100000,4.82700000,4.69100000,4.72100000
1738547100.0,4.72200000,4.72300000,4.00000000,4.24700000
1738548000.0,4.24800000,4.31200000,3.78000000,4.26100000
1738548900.0,4.26000000,4.34600000,4.21500000,4.23400000
1738549800.0,4.23300000,4.27600000,4.16500000,4.18700000
1738550700.0,4.18700000,4.19700000,4.07700000,4.15900000
1738551600.0,4.15900000,4.34200000,4.15200000,4.30000000
1738552500.0,4.30000000,4.37500000,4.27700000,4.28400000
1738553400.0,4.28300000,4.30900000,4.25100000,4.30400000
1738554300.0,4.30400000,4.39400000,4.30300000,4.34100000
1738555200.0,4.34300000,4.39300000,4.26400000,4.27100000
1738556100.0,4.27400000,4.28300000,4.19200000,4.19300000
1738557000.0,4.19300000,4.22100000,4.14600000,4.16800000
1738557900.0,4.16900000,4.21400000,4.13500000,4.14600000
1738558800.0,4.14700000,4.24400000,4.14400000,4.21800000
1738559700.0,4.21700000,4.34900000,4.21300000,4.32400000
1738560600.0,4.32400000,4.37800000,4.31500000,4.37300000
1738561500.0,4.37300000,4.40400000,4.35300000,4.39700000
1738562400.0,4.39700000,4.42300000,4.33700000,4.41900000
1738563300.0,4.41900000,4.50500000,4.40300000,4.49000000
1738564200.0,4.48900000,4.52000000,4.45000000,4.46200000
1738565100.0,4.46000000,4.55900000,4.45700000,4.53500000
1738566000.0,4.53500000,4.55000000,4.50700000,4.54000000
1738566900.0,4.54100000,4.61600000,4.54100000,4.61200000
1738567800.0,4.61300000,4.69300000,4.58600000,4.66100000
1738568700.0,4.66000000,4.71800000,4.64300000,4.71000000
1738569600.0,4.71000000,4.71000000,4.58400000,4.63000000
1738570500.0,4.62900000,4.64400000,4.56500000,4.57900000
1738571400.0,4.58000000,4.58000000,4.51500000,4.53400000
1738572300.0,4.53300000,4.57900000,4.52700000,4.57800000
1738573200.0,4.57800000,4.66200000,4.55200000,4.64900000
