time,open,high,low,close
1738540800.0,2869.68000000,2872.75000000,2849.86000000,2851.77000000
1738541700.0,2851.77000000,2858.73000000,2801.00000000,2839.26000000
1738542600.0,2839.25000000,2842.47000000,2768.55000000,2781.16000000
1738543500.0,2780.82000000,2845.91000000,2778.15000000,2823.49000000
1738544400.0,2823.50000000,2844.28000000,2813.24000000,2813.93000000
1738545300.0,2813.92000000,2816.17000000,2780.08000000,2784.77000000
1738546200.0,2784.78000000,2802.89000000,2733.70000000,2749.77000000
1738547100.0,2749.84000000,2751.50000000,2400.00000000,2491.99000000
1738548000.0,2493.89000000,2563.57000000,2125.01000000,2452.71000000
1738548900.0,2452.59000000,2511.80000000,2420.00000000,2462.92000000
1738549800.0,2462.91000000,2514.96000000,2436.21000000,2498.52000000
1738550700.0,2498.54000000,2505.57000000,2455.18000000,2486.64000000
1738551600.0,2486.66000000,2521.46000000,2479.20000000,2507.81000000
1738552500.0,2507.80000000,2544.35000000,2504.36000000,2516.58000000
1738553400.0,2516.58000000,2522.35000000,2502.49000000,2515.61000000
1738554300.0,2515.62000000,2543.08000000,2514.67000000,2527.12000000
1738555200.0,2527.20000000,2565.50000000,2506.00000000,2513.91000000
1738556100.0,2513.90000000,2521.95000000,2487.44000000,2489.88000000
1738557000.0,2489.89000000,2497.33000000,2462.53000000,2473.80000000
1738557900.0,2473.81000000,2485.71000000,2448.97000000,2452.65000000
1738558800.0,2452.65000000,2477.00000000,2447.25000000,2465.33000000
1738559700.0,2465.32000000,2501.69000000,2464.32000000,2491.06000000
1738560600.0,2491.06000000,2501.74000000,2468.40000000,2477.82000000
1738561500.0,2477.81000000,2521.88000000,2474.95000000,2515.01000000
1738562400.0,2515.00000000,2515.10000000,2483.91000000,2501.91000000
1738563300.0,2501.91000000,2530.17000000,2492.25000000,2522.51000000
1738564200.0,2522.50000000,2537.62000000,2508.76000000,2511.10000000
1738565100.0,2511.10000000,2529.88000000,2508.02000000,2525.63000000
1738566000.0,2525.62000000,2548.18000000,2520.99000000,2544.49000000
1738566900.0,2544.50000000,2570.79000000,2543.74000000,2566.65000000
1738567800.0,2566.65000000,2605.88000000,2556.95000000,2586.89000000
1738568700.0,2586.89000000,2632.80000000,2583.77000000,2622.35000000
1738569600.0,2622.35000000,2622.51000000,2583.44000000,2600.00000000
1738570500.0,2600.00000000,2607.06000000,2558.12000000,2561.76000000
1738571400.0,2561.76000000,2561.76000000,2526.16000000,2541.58000000
1738572300.0,2541.58000000,2573.76000000,2541.36000000,2572.80000000
1738573200.0,2572.81000000,2616.50000000,2569.61000000,2600.55000000
1738574100.0,2600.54000000,2600.92000000,2563.55000000,2587.44000000
1738575000.0,2587.45000000,2601.31000000,2579.00000000,2588.41000000
1738575900.0,2588.40000000,2596.91000000,2557.87000000,2570.90000000
1738576800.0,2570.91000000,2580.96000000,2562.31000000,2578.99000000
1738577700.0,2579.00000000,2594.19000000,2566.72000000,2586.96000000
1738578600.0,2586.95000000,2609.60000000,2583.49000000,2593.14000000
1738579500.0,2593.15000000,2614.80000000,2590.11000000,2610.43000000
1738580400.0,2610.43000000,2611.44000000,2592.33000000,2598.49000000
1738581300.0,2598.49000000,2612.35000000,2585.28000000,2602.40000000
1738582200.0,2602.40000000,2604.69000000,2580.00000000,2584.55000000
1738583100.0,2584.60000000,2589.49000000,2577.10000000,2581.41000000
1738584000.0,2581.41000000,2611.00000000,2581.41000000,2606.02000000
1738584900.0,2606.02000000,2636.27000000,2603.51000000,2617.61000000
1738585800.0,2617.60000000,2624.58000000,2607.10000000,2608.36000000
1738586700.0,2608.36000000,2609.13000000,2574.60000000,2580.52000000
1738587600.0,2580.52000000,2596.50000000,2566.85000000,2570.19000000
1738588500.0,2570.19000000,2581.30000000,2548.14000000,2548.15000000
1738589400.0,2548.14000000,2581.45000000,2547.22000000,2577.58000000
1738590300.0,2577.58000000,2581.78000000,2560.70000000,2576.77000000
1738591200.0,2576.77000000,2580.13000000,2535.91000000,2548.27000000
1738592100.0,2548.27000000,2569.68000000,2529.39000000,2557.39000000
1738593000.0,2557.39000000,2647.11000000,2546.75000000,2625.55000000
1738593900.0,2625.55000000,2634.15000000,2588.44000000,2620.58000000
1738594800.0,2620.57000000,2629.89000000,2600.00000000,2621.09000000
1738595700.0,2621.09000000,2700.98000000,2611.00000000,2676.79000000
1738596600.0,2676.79000000,2719.99000000,2660.00000000,2705.00000000
1738597500.0,2704.94000000,2728.00000000,2685.19000000,2700.72000000
1738598400.0,2700.73000000,2715.94000000,2678.39000000,2696.60000000
1738599300.0,2696.59000000,2710.44000000,2686.60000000,2698.00000000
1738600200.0,2698.02000000,2712.64000000,2687.92000000,2712.00000000
1738601100.0,2711.99000000,2733.90000000,2705.00000000,2706.33000000
1738602000.0,2706.32000000,2709.21000000,2684.50000000,2689.54000000
