time,open,high,low,close
1738540800.0,1.02270000,1.02580000,1.02260000,1.02430000
1738541700.0,1.02420000,1.02430000,1.02030000,1.02220000
1738542600.0,1.02220000,1.02310000,1.02140000,1.02160000
1738543500.0,1.02160000,1.02250000,1.02120000,1.02210000
1738544400.0,1.02210000,1.02300000,1.02140000,1.02280000
1738545300.0,1.02280000,1.02430000,1.02260000,1.02400000
1738546200.0,1.02400000,1.02420000,1.02340000,1.02350000
1738547100.0,1.02350000,1.02370000,1.02170000,1.02260000
1738548000.0,1.02260000,1.02280000,1.02100000,1.02250000
1738548900.0,1.02260000,1.02270000,1.02190000,1.02210000
1738549800.0,1.02220000,1.02220000,1.02120000,1.02140000
1738550700.0,1.02150000,1.02220000,1.02090000,1.02100000
1738551600.0,1.02110000,1.02120000,1.02020000,1.02020000
1738552500.0,1.02030000,1.02030000,1.01970000,1.02000000
1738553400.0,1.02010000,1.02020000,1.01940000,1.01950000
1738554300.0,1.01950000,1.02060000,1.01940000,1.02030000
1738555200.0,1.02030000,1.02190000,1.02030000,1.02120000
1738556100.0,1.02120000,1.02130000,1.02050000,1.02120000
1738557000.0,1.02110000,1.02190000,1.02100000,1.02170000
1738557900.0,1.02170000,1.02190000,1.02150000,1.02170000
1738558800.0,1.02170000,1.02220000,1.02170000,1.02220000
1738559700.0,1.02220000,1.02230000,1.02200000,1.02200000
1738560600.0,1.02210000,1.02230000,1.02160000,1.02190000
1738561500.0,1.02190000,1.02280000,1.02190000,1.02250000
1738562400.0,1.02240000,1.02320000,1.02240000,1.02310000
1738563300.0,1.02310000,1.02330000,1.02270000,1.02290000
1738564200.0,1.02290000,1.02330000,1.02270000,1.02320000
1738565100.0,1.02330000,1.02330000,1.02250000,1.02260000
1738566000.0,1.02260000,1.02310000,1.02200000,1.02220000
1738566900.0,1.02220000,1.02270000,1.02090000,1.02140000
1738567800.0,1.02140000,1.02160000,1.02040000,1.02070000
1738568700.0,1.02070000,1.02210000,1.02030000,1.02050000
1738569600.0,1.02050000,1.02090000,1.01940000,1.02020000
1738570500.0,1.02020000,1.02250000,1.02010000,1.02230000
1738571400.0,1.02240000,1.02330000,1.02200000,1.02290000
1738572300.0,1.02270000,1.02340000,1.02240000,1.02250000
1738573200.0,1.02250000,1.02330000,1.02250000,1.02310000
1738574100.0,1.02320000,1.02330000,1.02230000,1.02310000
1738575000.0,1.02310000,1.02360000,1.02220000,1.02230000
1738575900.0,1.02230000,1.02240000,1.02100000,1.02140000
1738576800.0,1.02140000,1.02290000,1.02140000,1.02220000
1738577700.0,1.02220000,1.02280000,1.02170000,1.02210000
1738578600.0,1.02210000,1.02320000,1.02210000,1.02230000
1738579500.0,1.02230000,1.02310000,1.02230000,1.02290000
1738580400.0,1.02290000,1.02320000,1.02230000,1.02310000
1738581300.0,1.02300000,1.02330000,1.02270000,1.02290000
1738582200.0,1.02290000,1.02360000,1.02230000,1.02330000
1738583100.0,1.02330000,1.02380000,1.02320000,1.02360000
1738584000.0,1.02350000,1.02390000,1.02350000,1.02380000
1738584900.0,1.02380000,1.02540000,1.02370000,1.02530000
1738585800.0,1.02530000,1.02540000,1.02210000,1.02470000
1738586700.0,1.02460000,1.02490000,1.02310000,1.02350000
1738587600.0,1.02350000,1.02580000,1.02210000,1.02480000
1738588500.0,1.02490000,1.02560000,1.02430000,1.02460000
1738589400.0,1.02450000,1.02460000,1.02360000,1.02380000
1738590300.0,1.02380000,1.02580000,1.02340000,1.02450000
1738591200.0,1.02450000,1.02470000,1.02340000,1.02450000
1738592100.0,1.02450000,1.02500000,1.02390000,1.02430000
1738593000.0,1.02440000,1.02490000,1.02370000,1.02390000
1738593900.0,1.02400000,1.02410000,1.02280000,1.02320000
1738594800.0,1.02320000,1.02390000,1.02260000,1.02330000
1738595700.0,1.02330000,1.02810000,1.02130000,1.02650000
1738596600.0,1.02650000,1.02810000,1.02450000,1.02720000
1738597500.0,1.02690000,1.02950000,1.02120000,1.02590000
1738598400.0,1.02570000,1.02650000,1.02390000,1.02530000
1738599300.0,1.02500000,1.02730000,1.02480000,1.02530000
1738600200.0,1.02540000,1.02620000,1.02510000,1.02510000
1738601100.0,1.02510000,1.02550000,1.02270000,1.02290000
1738602000.0,1.02290000,1.02450000,1.02280000,1.02400000
1738602900.0,1.02400000,1.02440000,1.02340000,1.02420000
1738603800.0,1.02420000,1.02600000,1.02400000,1.02420000
1738604700.0,1.02420000,1.02550000,1.02280000,1.02380000
1738605600.0,1.02370000,1.02400000,1.02260000,1.02340000
1738606500.0,1.02340000,1.02390000,1.02320000,1.02320000
1738607400.0,1.02320000,1.02490000,1.02250000,1.02280000
1738608300.0,1.02280000,1.02420000,1.02250000,1.02280000
1738609200.0,1.02270000,1.02420000,1.02260000,1.02410000
1738610100.0,1.02420000,1.02520000,1.02400000,1.02460000
1738611000.0,1.02460000,1.02490000,1.02430000,1.02460000
1738611900.0,1.02460000,1.02580000,1.02440000,1.02530000
1738612800.0,1.02530000,1.02750000,1.02500000,1.02650000
1738613700.0,1.02670000,1.02710000,1.02640000,1.02680000
1738614600.0,1.02690000,1.02720000,1.02670000,1.02710000
1738615500.0,1.02710000,1.02750000,1.02690000,1.02710000
1738616400.0,1.02710000,1.02750000,1.02710000,1.02720000
1738617300.0,1.02720000,1.02880000,1.02710000,1.02860000
1738618200.0,1.02860000,1.03230000,1.02840000,1.03160000
1738619100.0,1.03140000,1.03260000,1.03080000,1.03200000
1738620000.0,1.03190000,1.03210000,1.03070000,1.03120000
1738620900.0,1.03110000,1.03200000,1.03060000,1.03160000
1738621800.0,1.03170000,1.03170000,1.03040000,1.03060000
1738622700.0,1.03080000,1.03140000,1.03060000,1.03090000
1738623600.0,1.03100000,1.03160000,1.03080000,1.03120000
1738624500.0,1.03120000,1.03380000,1.03040000,1.03090000
1738625400.0,1.03090000,1.03140000,1.03030000,1.03030000
1738626300.0,1.03030000,1.03060000,1.02990000,1.03020000
1738627200.0,1.03030000,1.03060000,1.02930000,1.02950000
1738628100.0,1.02930000,1.02970000,1.02920000,1.02920000
1738629000.0,1.02920000,1.02960000,1.02900000,1.02950000
1738629900.0,1.02950000,1.02960000,1.02900000,1.02930000
1738630800.0,1.02940000,1.02950000,1.02900000,1.02920000
1738631700.0,1.02920000,1.02960000,1.02870000,1.02960000
1738632600.0,1.02960000,1.02970000,1.02900000,1.02960000
1738633500.0,1.02960000,1.03000000,1.02940000,1.02970000
1738634400.0,1.02990000,1.03000000,1.02960000,1.02980000
1738635300.0,1.02980000,1.02990000,1.02960000,1.02970000
1738636200.0,1.02970000,1.03000000,1.02960000,1.02990000
1738637100.0,1.02990000,1.03040000,1.02980000,1.03020000
1738638000.0,1.03020000,1.03050000,1.02990000,1.03010000
1738638900.0,1.03010000,1.03010000,1.02970000,1.02980000
1738639800.0,1.02990000,1.02990000,1.02930000,1.02940000
1738640700.0,1.02950000,1.02980000,1.02930000,1.02970000
1738641600.0,1.02970000,1.02980000,1.02920000,1.02940000
1738642500.0,1.02940000,1.02960000,1.02940000,1.02960000
1738643400.0,1.02960000,1.02960000,1.02920000,1.02930000
1738644300.0,1.02930000,1.02950000,1.02900000,1.02900000
1738645200.0,1.02910000,1.02910000,1.02570000,1.02630000
1738646100.0,1.02630000,1.02760000,1.02610000,1.02710000
1738647000.0,1.02720000,1.02970000,1.02700000,1.02830000
1738647900.0,1.02830000,1.02840000,1.02750000,1.02770000
1738648800.0,1.02780000,1.02820000,1.02770000,1.02780000
1738649700.0,1.02780000,1.02810000,1.02750000,1.02770000
1738650600.0,1.02770000,1.02780000,1.02740000,1.02760000
1738651500.0,1.02770000,1.02880000,1.02760000,1.02880000
1738652400.0,1.02880000,1.02900000,1.02830000,1.02880000
