time,open,high,low,close
1738540800.0,3.60400000,3.60500000,3.53000000,3.53100000
1738541700.0,3.53000000,3.53400000,3.45000000,3.48100000
1738542600.0,3.48000000,3.49100000,3.33400000,3.35800000
1738543500.0,3.35900000,3.51100000,3.35600000,3.48200000
1738544400.0,3.48300000,3.51000000,3.44100000,3.44900000
1738545300.0,3.45100000,3.45300000,3.38600000,3.39500000
1738546200.0,3.39700000,3.42700000,3.36300000,3.38800000
1738547100.0,3.39000000,3.39100000,2.81600000,2.98100000
1738548000.0,2.98400000,3.03100000,2.59400000,2.91300000
1738548900.0,2.91200000,2.97200000,2.87900000,2.90000000
1738549800.0,2.90000000,2.97800000,2.87700000,2.96300000
1738550700.0,2.96400000,2.97200000,2.88300000,2.92700000
1738551600.0,2.92800000,3.02900000,2.92000000,2.98200000
1738552500.0,2.98200000,3.04000000,2.97800000,2.98800000
1738553400.0,2.98700000,2.99000000,2.93500000,2.94200000
1738554300.0,2.94300000,2.97500000,2.91600000,2.93100000
1738555200.0,2.93200000,2.97500000,2.88800000,2.89400000
1738556100.0,2.89400000,2.90400000,2.86000000,2.86700000
1738557000.0,2.86800000,2.89400000,2.85900000,2.87700000
1738557900.0,2.87800000,2.92400000,2.86600000,2.88200000
1738558800.0,2.88200000,2.95900000,2.87900000,2.94500000
1738559700.0,2.94500000,3.02800000,2.94200000,3.01200000
1738560600.0,3.01300000,3.05900000,3.00500000,3.05300000
1738561500.0,3.05300000,3.09100000,3.03900000,3.09000000
1738562400.0,3.09000000,3.09000000,3.03400000,3.08400000
1738563300.0,3.08400000,3.10900000,3.06700000,3.09200000
1738564200.0,3.09200000,3.11000000,3.07100000,3.08300000
1738565100.0,3.08200000,3.11300000,3.08100000,3.10800000
1738566000.0,3.10800000,3.13700000,3.09700000,3.13400000
1738566900.0,3.13500000,3.16900000,3.13300000,3.15500000
1738567800.0,3.15400000,3.21500000,3.13400000,3.19900000
1738568700.0,3.19800000,3.22000000,3.18700000,3.21800000
1738569600.0,3.21900000,3.21900000,3.14700000,3.16800000
1738570500.0,3.16900000,3.17200000,3.11300000,3.12100000
