time,open,high,low,close
1738540800.0,3.36800000,3.38000000,3.33000000,3.33000000
1738541700.0,3.33300000,3.33600000,3.26900000,3.29900000
1738542600.0,3.30300000,3.30500000,3.19900000,3.20000000
1738543500.0,3.20000000,3.28300000,3.19000000,3.26000000
1738544400.0,3.25700000,3.28100000,3.23400000,3.23600000
1738545300.0,3.23500000,3.23800000,3.17800000,3.18800000
1738546200.0,3.18200000,3.28800000,3.17400000,3.20600000
1738547100.0,3.20100000,3.20100000,2.96700000,3.00800000
1738548000.0,3.00900000,3.02700000,2.82100000,2.95100000
1738548900.0,2.94900000,3.00800000,2.92900000,2.97800000
1738549800.0,2.97800000,3.01300000,2.96000000,2.98700000
1738550700.0,2.99100000,3.00700000,2.94800000,2.97300000
1738551600.0,2.97000000,3.03200000,2.96700000,3.03200000
1738552500.0,3.03400000,3.08700000,3.03400000,3.05400000
1738553400.0,3.05400000,3.05400000,3.01100000,3.02900000
1738554300.0,3.03000000,3.06900000,3.02900000,3.05600000
1738555200.0,3.05500000,3.07900000,3.02100000,3.02100000
1738556100.0,3.02300000,3.03400000,2.97600000,2.98000000
1738557000.0,2.98000000,3.00100000,2.96700000,2.98000000
1738557900.0,2.97900000,3.00100000,2.96100000,2.96700000
1738558800.0,2.96800000,3.01900000,2.96500000,2.99900000
1738559700.0,2.99600000,3.05000000,2.99600000,3.04400000
1738560600.0,3.04200000,3.07100000,3.03100000,3.03400000
1738561500.0,3.04200000,3.09200000,3.01200000,3.07600000
1738562400.0,3.08000000,3.09800000,3.04700000,3.09800000
1738563300.0,3.09600000,3.12900000,3.08400000,3.11600000
1738564200.0,3.11300000,3.12400000,3.10000000,3.11100000
1738565100.0,3.10700000,3.13000000,3.10700000,3.12500000
1738566000.0,3.12500000,3.16800000,3.12000000,3.15000000
1738566900.0,3.15700000,3.18000000,3.15400000,3.17600000
1738567800.0,3.17700000,3.21900000,3.16200000,3.21000000
1738568700.0,3.20400000,3.25700000,3.19700000,3.24600000
