time,open,high,low,close
1738540800.0,1.85260000,1.85260000,1.81790000,1.82120000
1738541700.0,1.82040000,1.84300000,1.80440000,1.81740000
1738542600.0,1.81760000,1.82960000,1.80080000,1.80080000
1738543500.0,1.80390000,1.83160000,1.80080000,1.81260000
1738544400.0,1.81350000,1.81800000,1.80050000,1.80050000
1738545300.0,1.80090000,1.81120000,1.80000000,1.80300000
1738546200.0,1.80430000,1.80880000,1.80000000,1.80260000
1738547100.0,1.80100000,1.81800000,1.80000000,1.80250000
1738548000.0,1.80250000,1.80360000,1.51110000,1.58760000
1738548900.0,1.59080000,1.61760000,1.55720000,1.58000000
1738549800.0,1.58030000,1.59390000,1.54750000,1.55930000
1738550700.0,1.56230000,1.56620000,1.50010000,1.53880000
1738551600.0,1.53920000,1.62040000,1.53810000,1.60810000
1738552500.0,1.60830000,1.63000000,1.58480000,1.59690000
1738553400.0,1.59660000,1.62160000,1.58520000,1.62160000
1738554300.0,1.62020000,1.65620000,1.62020000,1.64010000
1738555200.0,1.64010000,1.67090000,1.62110000,1.63070000
1738556100.0,1.63000000,1.63360000,1.58470000,1.59760000
1738557000.0,1.59870000,1.60880000,1.58270000,1.59590000
1738557900.0,1.59660000,1.60510000,1.57960000,1.57970000
1738558800.0,1.57970000,1.60170000,1.57790000,1.58850000
1738559700.0,1.58810000,1.64230000,1.56940000,1.62700000
1738560600.0,1.62610000,1.63860000,1.61680000,1.63280000
1738561500.0,1.63730000,1.68900000,1.63710000,1.68540000
1738562400.0,1.68730000,1.69700000,1.65550000,1.69620000
1738563300.0,1.69690000,1.77660000,1.68680000,1.76890000
1738564200.0,1.76950000,1.76990000,1.72000000,1.72390000
1738565100.0,1.72320000,1.77660000,1.71900000,1.76090000
1738566000.0,1.76100000,1.94710000,1.76050000,1.89220000
1738566900.0,1.89060000,1.99220000,1.85990000,1.90650000
1738567800.0,1.90530000,1.90530000,1.85990000,1.87140000
1738568700.0,1.86940000,1.90480000,1.86760000,1.88730000
1738569600.0,1.88700000,1.97300000,1.86000000,1.95390000
1738570500.0,1.95530000,2.03630000,1.91550000,1.94710000
1738571400.0,1.94780000,1.94980000,1.87900000,1.89240000
1738572300.0,1.89260000,1.91550000,1.87430000,1.89020000
1738573200.0,1.88870000,1.90970000,1.87900000,1.89370000
1738574100.0,1.89360000,1.89780000,1.86000000,1.86570000
1738575000.0,1.86260000,1.87440000,1.86000000,1.87440000
1738575900.0,1.87460000,1.88840000,1.83010000,1.84430000
1738576800.0,1.84430000,1.86300000,1.83850000,1.84830000
1738577700.0,1.84890000,1.87390000,1.84560000,1.86660000
1738578600.0,1.86660000,1.89990000,1.86440000,1.89200000
1738579500.0,1.89200000,1.93770000,1.88760000,1.92800000
1738580400.0,1.92820000,1.93070000,1.90250000,1.90250000
1738581300.0,1.90210000,1.92200000,1.89780000,1.91140000
1738582200.0,1.91320000,1.92410000,1.88800000,1.89030000
1738583100.0,1.89190000,1.89190000,1.86980000,1.87300000
1738584000.0,1.87350000,1.88830000,1.87100000,1.88450000
1738584900.0,1.88560000,1.91280000,1.88130000,1.88130000
1738585800.0,1.88100000,1.89060000,1.87680000,1.88520000
1738586700.0,1.88500000,1.88640000,1.85990000,1.86450000
1738587600.0,1.86450000,1.87990000,1.85300000,1.85300000
1738588500.0,1.85300000,1.86590000,1.83590000,1.83660000
1738589400.0,1.83590000,1.84730000,1.82690000,1.84510000
1738590300.0,1.84430000,1.85100000,1.81780000,1.83660000
1738591200.0,1.83890000,1.83890000,1.78830000,1.80220000
1738592100.0,1.79590000,1.82410000,1.75880000,1.80410000
1738593000.0,1.80220000,1.87320000,1.78330000,1.86580000
