time,open,high,low,close
1738540800.0,2.05200000,2.05200000,2.00600000,2.00700000
1738541700.0,2.00100000,2.01200000,1.96800000,1.99000000
1738542600.0,1.99100000,1.99300000,1.85100000,1.90300000
1738543500.0,1.90300000,1.97300000,1.90300000,1.95400000
1738544400.0,1.95500000,1.97500000,1.94200000,1.94400000
1738545300.0,1.94400000,1.94600000,1.91500000,1.91900000
1738546200.0,1.91800000,1.93900000,1.89600000,1.90800000
1738547100.0,1.90700000,1.90700000,0.35100000,1.72200000
1738548000.0,1.72300000,1.73700000,1.48000000,1.67300000
1738548900.0,1.67200000,1.68000000,1.59200000,1.59700000
1738549800.0,1.59900000,1.62000000,1.57800000,1.60100000
1738550700.0,1.60200000,1.63200000,1.58000000,1.63000000
1738551600.0,1.63200000,1.68500000,1.62900000,1.66600000
1738552500.0,1.66800000,1.69600000,1.66800000,1.67200000
1738553400.0,1.67000000,1.67900000,1.66700000,1.67900000
1738554300.0,1.67900000,1.70100000,1.67400000,1.68400000
1738555200.0,1.68200000,1.69300000,1.65500000,1.65800000
1738556100.0,1.65800000,1.66300000,1.62700000,1.62900000
1738557000.0,1.62900000,1.64700000,1.62200000,1.62900000
1738557900.0,1.62900000,1.64100000,1.61800000,1.61900000
1738558800.0,1.62000000,1.64700000,1.61900000,1.64000000
1738559700.0,1.64000000,1.68100000,1.63800000,1.66600000
1738560600.0,1.66500000,1.67700000,1.65700000,1.67700000
1738561500.0,1.67700000,1.69600000,1.67600000,1.69600000
1738562400.0,1.69500000,1.69500000,1.66900000,1.68300000
1738563300.0,1.68300000,1.69500000,1.67600000,1.68700000
1738564200.0,1.68800000,1.70300000,1.68200000,1.68400000
1738565100.0,1.68500000,1.70700000,1.68500000,1.70400000
1738566000.0,1.70300000,1.71600000,1.69700000,1.71400000
1738566900.0,1.71500000,1.72600000,1.71200000,1.72000000
1738567800.0,1.71900000,1.74600000,1.71400000,1.73500000
1738568700.0,1.73500000,1.75600000,1.73100000,1.74900000
1738569600.0,1.74900000,1.74900000,1.72000000,1.73200000
1738570500.0,1.73300000,1.73700000,1.71000000,1.71200000
1738571400.0,1.71200000,1.71200000,1.69400000,1.69400000
1738572300.0,1.69400000,1.73200000,1.69200000,1.73000000
1738573200.0,1.72800000,1.75900000,1.72600000,1.74900000
1738574100.0,1.74700000,1.74900000,1.72500000,1.74200000
1738575000.0,1.73900000,1.74600000,1.72800000,1.73000000
1738575900.0,1.73200000,1.73400000,1.69700000,1.70300000
1738576800.0,1.70400000,1.71200000,1.70200000,1.71200000
1738577700.0,1.71300000,1.72000000,1.69800000,1.71800000
1738578600.0,1.71800000,1.75100000,1.71500000,1.74200000
1738579500.0,1.74300000,1.75800000,1.73900000,1.75400000
1738580400.0,1.75500000,1.75600000,1.74000000,1.75200000
1738581300.0,1.75100000,1.75300000,1.73700000,1.74400000
1738582200.0,1.74200000,1.74500000,1.72600000,1.73000000
1738583100.0,1.73000000,1.73200000,1.72100000,1.72400000
1738584000.0,1.72400000,1.74600000,1.72200000,1.74100000
1738584900.0,1.74000000,1.76500000,1.73900000,1.74800000
1738585800.0,1.74700000,1.75500000,1.74100000,1.74200000
1738586700.0,1.74100000,1.74100000,1.71300000,1.72100000
1738587600.0,1.72000000,1.73200000,1.71200000,1.71300000
1738588500.0,1.71200000,1.72100000,1.69200000,1.69300000
1738589400.0,1.69200000,1.72300000,1.69200000,1.72000000
1738590300.0,1.72200000,1.72300000,1.69400000,1.70200000
1738591200.0,1.70200000,1.70400000,1.66500000,1.67200000
1738592100.0,1.67300000,1.68300000,1.65100000,1.66700000
1738593000.0,1.66700000,1.74800000,1.65600000,1.73700000
1738593900.0,1.73700000,1.75300000,1.71600000,1.75000000
1738594800.0,1.74900000,1.75300000,1.73300000,1.73900000
1738595700.0,1.73400000,1.80000000,1.72900000,1.79200000
1738596600.0,1.79100000,1.83000000,1.77900000,1.82300000
1738597500.0,1.82300000,1.84600000,1.80400000,1.82000000
1738598400.0,1.81700000,1.83500000,1.80000000,1.80800000
1738599300.0,1.81000000,1.82800000,1.80000000,1.81900000
1738600200.0,1.81800000,1.85100000,1.81200000,1.85100000
1738601100.0,1.85000000,1.86500000,1.82700000,1.82700000
1738602000.0,1.82900000,1.83200000,1.81400000,1.82200000
1738602900.0,1.82400000,1.83400000,1.81900000,1.82000000
1738603800.0,1.81800000,1.82900000,1.81300000,1.82500000
1738604700.0,1.82500000,1.84300000,1.82300000,1.83600000
1738605600.0,1.83800000,1.85000000,1.82700000,1.83700000
1738606500.0,1.83700000,1.85600000,1.83300000,1.85300000
1738607400.0,1.85200000,1.86900000,1.84800000,1.86000000
1738608300.0,1.85700000,1.87300000,1.85400000,1.87200000
1738609200.0,1.87000000,1.88500000,1.86900000,1.88300000
1738610100.0,1.88300000,1.90300000,1.88100000,1.89200000
1738611000.0,1.89300000,1.90600000,1.88900000,1.90500000
1738611900.0,1.90400000,1.91400000,1.90200000,1.91000000
