time,open,high,low,close
1738540800.0,3.93500000,3.93500000,3.86500000,3.86700000
1738541700.0,3.86600000,3.86600000,3.77300000,3.80600000
1738542600.0,3.80700000,3.81400000,3.65300000,3.66600000
1738543500.0,3.66700000,3.80800000,3.66300000,3.78700000
1738544400.0,3.77600000,3.80200000,3.73800000,3.74800000
1738545300.0,3.74600000,3.74900000,3.68000000,3.69000000
1738546200.0,3.68900000,3.72300000,3.65500000,3.68000000
1738547100.0,3.67800000,3.67800000,3.15300000,3.36000000
1738548000.0,3.36800000,3.39500000,2.97600000,3.34300000
1738548900.0,3.34000000,3.37400000,3.28600000,3.28600000
1738549800.0,3.29100000,3.32300000,3.26300000,3.26800000
1738550700.0,3.27900000,3.28400000,3.21300000,3.25900000
1738551600.0,3.26200000,3.37000000,3.25600000,3.35200000
1738552500.0,3.34800000,3.41500000,3.34600000,3.37200000
1738553400.0,3.37000000,3.37000000,3.33900000,3.36100000
1738554300.0,3.36000000,3.45500000,3.36000000,3.41100000
1738555200.0,3.41100000,3.45900000,3.39100000,3.39600000
1738556100.0,3.39500000,3.40500000,3.35000000,3.35800000
1738557000.0,3.35800000,3.37700000,3.32600000,3.34200000
1738557900.0,3.34000000,3.36100000,3.30300000,3.31000000
1738558800.0,3.31900000,3.38600000,3.31000000,3.37800000
1738559700.0,3.37200000,3.45000000,3.36900000,3.43000000
1738560600.0,3.43400000,3.46000000,3.42000000,3.46000000
1738561500.0,3.46000000,3.51800000,3.45200000,3.51200000
1738562400.0,3.51200000,3.51300000,3.46500000,3.51300000
1738563300.0,3.51500000,3.56000000,3.49700000,3.54800000
1738564200.0,3.55100000,3.57900000,3.54000000,3.55300000
1738565100.0,3.55100000,3.61000000,3.55100000,3.59400000
1738566000.0,3.59200000,3.61200000,3.58300000,3.60700000
1738566900.0,3.61000000,3.63500000,3.59200000,3.62200000
1738567800.0,3.62100000,3.66600000,3.60400000,3.64900000
1738568700.0,3.64000000,3.69100000,3.63300000,3.68200000
1738569600.0,3.68000000,3.68000000,3.61300000,3.64900000
1738570500.0,3.65100000,3.65200000,3.58000000,3.58900000
1738571400.0,3.58800000,3.58800000,3.54100000,3.56500000
1738572300.0,3.56300000,3.60100000,3.56000000,3.59800000
1738573200.0,3.59600000,3.65200000,3.59400000,3.64900000
1738574100.0,3.64300000,3.64300000,3.59400000,3.62300000
1738575000.0,3.61900000,3.64300000,3.60500000,3.61500000
1738575900.0,3.61700000,3.63100000,3.59500000,3.60400000
1738576800.0,3.61800000,3.63600000,3.60600000,3.63200000
1738577700.0,3.63300000,3.64200000,3.59600000,3.63400000
1738578600.0,3.64200000,3.70000000,3.63100000,3.67100000
1738579500.0,3.67900000,3.70800000,3.67200000,3.70600000
1738580400.0,3.70500000,3.71100000,3.68800000,3.69700000
1738581300.0,3.68700000,3.68800000,3.66300000,3.67100000
1738582200.0,3.66900000,3.67300000,3.64800000,3.65100000
1738583100.0,3.65400000,3.66000000,3.64000000,3.65800000
1738584000.0,3.66600000,3.71200000,3.65700000,3.70600000
1738584900.0,3.69800000,3.74000000,3.69400000,3.71100000
1738585800.0,3.70600000,3.71900000,3.69100000,3.69700000
1738586700.0,3.69700000,3.69700000,3.64100000,3.65400000
1738587600.0,3.64500000,3.68300000,3.63900000,3.64600000
1738588500.0,3.64600000,3.66800000,3.59600000,3.59700000
1738589400.0,3.59700000,3.66200000,3.59700000,3.66100000
1738590300.0,3.66100000,3.66700000,3.62400000,3.64700000
1738591200.0,3.64600000,3.64800000,3.54300000,3.56600000
1738592100.0,3.56300000,3.60300000,3.52500000,3.56500000
1738593000.0,3.56900000,3.71500000,3.53900000,3.68000000
1738593900.0,3.68100000,3.71800000,3.63500000,3.70900000
1738594800.0,3.70800000,3.72100000,3.67800000,3.71200000
1738595700.0,3.71300000,3.87000000,3.69700000,3.81900000
1738596600.0,3.81800000,3.86900000,3.78600000,3.84500000
1738597500.0,3.84500000,3.86600000,3.80000000,3.82900000
1738598400.0,3.82800000,3.86900000,3.82600000,3.84800000
1738599300.0,3.85200000,3.90500000,3.84000000,3.88600000
1738600200.0,3.87900000,3.91700000,3.87800000,3.90300000
1738601100.0,3.90500000,3.92000000,3.86800000,3.87300000
1738602000.0,3.87300000,3.88000000,3.84000000,3.86200000
1738602900.0,3.85900000,3.87500000,3.84900000,3.84900000
1738603800.0,3.84400000,3.85400000,3.83000000,3.83700000
1738604700.0,3.83500000,3.87400000,3.83500000,3.86300000
1738605600.0,3.85600000,3.87400000,3.84500000,3.85300000
1738606500.0,3.85300000,3.86300000,3.84700000,3.85600000
1738607400.0,3.85800000,3.88200000,3.84500000,3.86400000
1738608300.0,3.85800000,3.88000000,3.85400000,3.87800000
1738609200.0,3.87800000,3.89100000,3.85800000,3.88000000
1738610100.0,3.88000000,3.91700000,3.88000000,3.89500000
1738611000.0,3.89200000,3.93500000,3.88700000,3.93500000
1738611900.0,3.93500000,3.97700000,3.93400000,3.96500000
1738612800.0,3.96700000,3.96700000,3.89000000,3.92100000
1738613700.0,3.92300000,3.93800000,3.91500000,3.91900000
