time,open,high,low,close
1738540800.0,0.07020000,0.07020000,0.06860000,0.06870000
1738541700.0,0.06870000,0.06880000,0.06700000,0.06770000
1738542600.0,0.06770000,0.06780000,0.06440000,0.06480000
1738543500.0,0.06490000,0.06750000,0.06490000,0.06680000
1738544400.0,0.06680000,0.06740000,0.06600000,0.06630000
1738545300.0,0.06620000,0.06630000,0.06500000,0.06510000
1738546200.0,0.06520000,0.06580000,0.06430000,0.06460000
1738547100.0,0.06470000,0.06480000,0.05300000,0.05790000
1738548000.0,0.05800000,0.05840000,0.05060000,0.05740000
1738548900.0,0.05750000,0.05820000,0.05660000,0.05700000
1738549800.0,0.05710000,0.05750000,0.05640000,0.05680000
1738550700.0,0.05690000,0.05710000,0.05510000,0.05600000
1738551600.0,0.05600000,0.05790000,0.05580000,0.05720000
1738552500.0,0.05720000,0.05830000,0.05680000,0.05700000
1738553400.0,0.05710000,0.05710000,0.05630000,0.05680000
1738554300.0,0.05690000,0.05780000,0.05680000,0.05720000
1738555200.0,0.05710000,0.05810000,0.05660000,0.05670000
1738556100.0,0.05680000,0.05690000,0.05600000,0.05620000
1738557000.0,0.05620000,0.05630000,0.05540000,0.05560000
1738557900.0,0.05570000,0.05610000,0.05500000,0.05500000
1738558800.0,0.05510000,0.05630000,0.05510000,0.05590000
1738559700.0,0.05590000,0.05750000,0.05580000,0.05690000
1738560600.0,0.05690000,0.05780000,0.05680000,0.05770000
1738561500.0,0.05770000,0.05840000,0.05750000,0.05830000
1738562400.0,0.05840000,0.05860000,0.05760000,0.05840000
1738563300.0,0.05840000,0.05950000,0.05810000,0.05920000
1738564200.0,0.05930000,0.05970000,0.05890000,0.05910000
1738565100.0,0.05920000,0.06060000,0.05910000,0.06050000
1738566000.0,0.06050000,0.06140000,0.06030000,0.06120000
1738566900.0,0.06130000,0.06230000,0.06120000,0.06190000
1738567800.0,0.06190000,0.06310000,0.06150000,0.06270000
1738568700.0,0.06270000,0.06340000,0.06240000,0.06290000
1738569600.0,0.06290000,0.06300000,0.06220000,0.06260000
1738570500.0,0.06260000,0.06310000,0.06170000,0.06190000
1738571400.0,0.06190000,0.06190000,0.06080000,0.06110000
1738572300.0,0.06100000,0.06200000,0.06090000,0.06200000
1738573200.0,0.06200000,0.06320000,0.06170000,0.06310000
1738574100.0,0.06300000,0.06310000,0.06180000,0.06240000
1738575000.0,0.06240000,0.06270000,0.06180000,0.06210000
1738575900.0,0.06210000,0.06240000,0.06160000,0.06180000
1738576800.0,0.06190000,0.06280000,0.06190000,0.06250000
1738577700.0,0.06250000,0.06330000,0.06200000,0.06320000
1738578600.0,0.06320000,0.06450000,0.06310000,0.06380000
1738579500.0,0.06390000,0.06450000,0.06380000,0.06420000
1738580400.0,0.06430000,0.06450000,0.06390000,0.06420000
1738581300.0,0.06410000,0.06410000,0.06360000,0.06380000
1738582200.0,0.06380000,0.06400000,0.06340000,0.06360000
1738583100.0,0.06370000,0.06400000,0.06350000,0.06370000
1738584000.0,0.06380000,0.06480000,0.06370000,0.06430000
1738584900.0,0.06440000,0.06490000,0.06400000,0.06420000
1738585800.0,0.06420000,0.06440000,0.06380000,0.06390000
1738586700.0,0.06390000,0.06390000,0.06290000,0.06310000
1738587600.0,0.06320000,0.06380000,0.06290000,0.06290000
1738588500.0,0.06300000,0.06350000,0.06210000,0.06220000
1738589400.0,0.06220000,0.06350000,0.06210000,0.06330000
1738590300.0,0.06320000,0.06340000,0.06230000,0.06260000
1738591200.0,0.06270000,0.06270000,0.06120000,0.06150000
1738592100.0,0.06150000,0.06220000,0.06070000,0.06130000
