time,open,high,low,close
1738540800.0,7.49100000,7.49100000,7.34100000,7.34600000
1738541700.0,7.34300000,7.35200000,7.16800000,7.25600000
1738542600.0,7.25500000,7.27700000,6.97200000,7.00600000
1738543500.0,7.01100000,7.31000000,7.00900000,7.24600000
1738544400.0,7.24800000,7.28900000,7.15000000,7.15000000
1738545300.0,7.14900000,7.16400000,7.02300000,7.03500000
1738546200.0,7.03500000,7.10000000,6.96000000,7.00700000
1738547100.0,7.01000000,7.01000000,6.10000000,6.26600000
1738548000.0,6.26800000,6.36300000,5.58500000,6.25100000
1738548900.0,6.25100000,6.33500000,6.15500000,6.17100000
1738549800.0,6.17000000,6.24500000,6.10400000,6.20600000
1738550700.0,6.21100000,6.22700000,6.07400000,6.16100000
1738551600.0,6.16900000,6.40300000,6.15700000,6.32400000
1738552500.0,6.32200000,6.42400000,6.31200000,6.32100000
1738553400.0,6.32200000,6.33700000,6.23600000,6.32900000
1738554300.0,6.32900000,6.43600000,6.32800000,6.38200000
1738555200.0,6.38500000,6.46700000,6.28200000,6.30000000
1738556100.0,6.29900000,6.31600000,6.19600000,6.19900000
1738557000.0,6.19800000,6.24400000,6.12800000,6.15800000
1738557900.0,6.15500000,6.24800000,6.13300000,6.14200000
1738558800.0,6.14300000,6.26700000,6.13800000,6.22600000
1738559700.0,6.22600000,6.41300000,6.22400000,6.37500000
1738560600.0,6.37500000,6.45100000,6.35900000,6.44600000
1738561500.0,6.44700000,6.52400000,6.43900000,6.52400000
1738562400.0,6.52300000,6.52300000,6.39700000,6.47100000
1738563300.0,6.47200000,6.57000000,6.43900000,6.54400000
1738564200.0,6.54600000,6.58100000,6.52400000,6.54800000
1738565100.0,6.54600000,6.60600000,6.53800000,6.58300000
1738566000.0,6.58500000,6.63200000,6.53700000,6.63200000
1738566900.0,6.63300000,6.70500000,6.62700000,6.70100000
1738567800.0,6.70400000,6.82700000,6.66500000,6.77300000
1738568700.0,6.77100000,6.87500000,6.75200000,6.87200000
1738569600.0,6.87000000,6.87100000,6.66900000,6.70700000
1738570500.0,6.70700000,6.72300000,6.57400000,6.59300000
1738571400.0,6.59100000,6.59100000,6.48500000,6.56100000
1738572300.0,6.56100000,6.68500000,6.55400000,6.65900000
1738573200.0,6.65800000,6.79400000,6.63600000,6.78200000
1738574100.0,6.78100000,6.78100000,6.65200000,6.71700000
1738575000.0,6.72100000,6.75600000,6.68200000,6.70000000
1738575900.0,6.69900000,6.71800000,6.62800000,6.65400000
