time,open,high,low,close
1738540800.0,1.68000000,1.68200000,1.65000000,1.65200000
1738541700.0,1.65200000,1.66400000,1.60600000,1.63400000
1738542600.0,1.63300000,1.63700000,1.55300000,1.56700000
1738543500.0,1.56500000,1.62700000,1.56400000,1.60800000
1738544400.0,1.60900000,1.62200000,1.58300000,1.58800000
1738545300.0,1.58800000,1.59100000,1.56000000,1.56400000
1738546200.0,1.56500000,1.58700000,1.53900000,1.56100000
1738547100.0,1.56200000,1.56200000,1.32500000,1.41000000
1738548000.0,1.41100000,1.42700000,1.21000000,1.39600000
1738548900.0,1.39700000,1.40800000,1.36300000,1.36300000
1738549800.0,1.36300000,1.37800000,1.34400000,1.34900000
1738550700.0,1.35200000,1.36000000,1.32500000,1.35100000
1738551600.0,1.35200000,1.42300000,1.35200000,1.42300000
1738552500.0,1.42400000,1.46300000,1.41600000,1.44600000
1738553400.0,1.44500000,1.46300000,1.43500000,1.45800000
1738554300.0,1.45900000,1.47700000,1.44100000,1.45200000
1738555200.0,1.45200000,1.48400000,1.44100000,1.44400000
1738556100.0,1.44400000,1.45400000,1.41600000,1.42000000
1738557000.0,1.41900000,1.42900000,1.39100000,1.40000000
1738557900.0,1.40100000,1.41300000,1.38600000,1.38900000
1738558800.0,1.39000000,1.42100000,1.39000000,1.41200000
1738559700.0,1.41000000,1.47500000,1.41000000,1.46800000
1738560600.0,1.46800000,1.49900000,1.46300000,1.49900000
1738561500.0,1.49900000,1.52300000,1.48800000,1.51800000
1738562400.0,1.51800000,1.51900000,1.48300000,1.50200000
1738563300.0,1.50100000,1.50700000,1.48100000,1.49000000
1738564200.0,1.48900000,1.51500000,1.48000000,1.50300000
1738565100.0,1.50300000,1.53300000,1.49600000,1.52200000
1738566000.0,1.52200000,1.54000000,1.51800000,1.53400000
1738566900.0,1.53400000,1.54200000,1.51500000,1.52100000
1738567800.0,1.52100000,1.54100000,1.50700000,1.52600000
1738568700.0,1.52600000,1.56200000,1.52000000,1.55700000
1738569600.0,1.55600000,1.57000000,1.51500000,1.56700000
1738570500.0,1.56600000,1.57700000,1.53900000,1.55900000
1738571400.0,1.56000000,1.57200000,1.54600000,1.56100000
1738572300.0,1.56000000,1.58800000,1.55900000,1.57500000
1738573200.0,1.57500000,1.63500000,1.57000000,1.61300000
1738574100.0,1.61300000,1.63500000,1.58700000,1.62600000
1738575000.0,1.62700000,1.62700000,1.59400000,1.60200000
1738575900.0,1.60100000,1.60600000,1.58000000,1.58900000
1738576800.0,1.59000000,1.60200000,1.57400000,1.58400000
1738577700.0,1.58400000,1.58400000,1.55600000,1.58200000
1738578600.0,1.58200000,1.65300000,1.57900000,1.62000000
1738579500.0,1.62100000,1.63000000,1.61200000,1.61900000
1738580400.0,1.61900000,1.62000000,1.59800000,1.60800000
1738581300.0,1.60800000,1.61200000,1.59100000,1.59400000
1738582200.0,1.59400000,1.59400000,1.56100000,1.57700000
1738583100.0,1.57900000,1.58400000,1.56600000,1.57400000
1738584000.0,1.57500000,1.59800000,1.57100000,1.58200000
1738584900.0,1.57900000,1.60100000,1.57900000,1.58800000
1738585800.0,1.58700000,1.60300000,1.56700000,1.56800000
1738586700.0,1.56900000,1.56900000,1.52900000,1.53600000
1738587600.0,1.53600000,1.55900000,1.52800000,1.54100000
1738588500.0,1.54100000,1.55800000,1.53800000,1.53900000
1738589400.0,1.53800000,1.57000000,1.53800000,1.56700000
1738590300.0,1.56700000,1.56700000,1.53300000,1.54000000
1738591200.0,1.54100000,1.54300000,1.49900000,1.51100000
1738592100.0,1.50900000,1.53000000,1.49200000,1.51300000
1738593000.0,1.51200000,1.61400000,1.49900000,1.59600000
1738593900.0,1.59900000,1.62700000,1.57500000,1.62400000
1738594800.0,1.62300000,1.63300000,1.60200000,1.62300000
1738595700.0,1.62300000,1.69300000,1.61000000,1.67500000
1738596600.0,1.67600000,1.73200000,1.65800000,1.72400000
1738597500.0,1.72300000,1.73200000,1.68200000,1.68800000
1738598400.0,1.68900000,1.70900000,1.68200000,1.69600000
1738599300.0,1.69700000,1.73100000,1.68400000,1.70500000
1738600200.0,1.70400000,1.70900000,1.68800000,1.69900000
1738601100.0,1.69900000,1.70500000,1.67600000,1.67800000
1738602000.0,1.67900000,1.69200000,1.66300000,1.68000000
1738602900.0,1.68000000,1.69600000,1.67200000,1.67200000
1738603800.0,1.67200000,1.67500000,1.64400000,1.65900000
1738604700.0,1.66000000,1.70800000,1.65900000,1.69200000
1738605600.0,1.69100000,1.72000000,1.67900000,1.69400000
1738606500.0,1.69500000,1.72300000,1.68500000,1.72100000
1738607400.0,1.71900000,1.74800000,1.71000000,1.73100000
1738608300.0,1.73200000,1.74100000,1.72500000,1.73500000
1738609200.0,1.73500000,1.75300000,1.72800000,1.74100000
1738610100.0,1.74000000,1.76500000,1.73400000,1.73800000
1738611000.0,1.73800000,1.74600000,1.71800000,1.72600000
1738611900.0,1.72500000,1.74700000,1.72000000,1.73200000
1738612800.0,1.72800000,1.72800000,1.68400000,1.68900000
1738613700.0,1.69100000,1.70400000,1.68800000,1.69500000
1738614600.0,1.69600000,1.70600000,1.68600000,1.69000000
1738615500.0,1.68900000,1.69700000,1.68200000,1.69600000
1738616400.0,1.69600000,1.70600000,1.69400000,1.70100000
1738617300.0,1.69900000,1.70600000,1.68700000,1.69600000
1738618200.0,1.69500000,1.71100000,1.69000000,1.69700000
1738619100.0,1.69800000,1.71800000,1.69800000,1.71300000
1738620000.0,1.71400000,1.74900000,1.71400000,1.72600000
1738620900.0,1.72500000,1.76500000,1.71600000,1.76200000
1738621800.0,1.76300000,1.76300000,1.73000000,1.74300000
1738622700.0,1.74400000,1.75100000,1.72100000,1.73500000
1738623600.0,1.73800000,1.74800000,1.72800000,1.73500000
1738624500.0,1.73600000,1.73800000,1.72200000,1.72400000
1738625400.0,1.72700000,1.73200000,1.71200000,1.72600000
1738626300.0,1.72500000,1.73500000,1.72100000,1.73200000
1738627200.0,1.73200000,1.74500000,1.72700000,1.72800000
1738628100.0,1.72900000,1.73400000,1.70100000,1.70200000
1738629000.0,1.70200000,1.71800000,1.69900000,1.71800000
1738629900.0,1.71800000,1.71900000,1.69300000,1.69400000
1738630800.0,1.69400000,1.69900000,1.68600000,1.69000000
1738631700.0,1.69000000,1.69700000,1.68500000,1.69100000
1738632600.0,1.69100000,1.70000000,1.68100000,1.69000000
1738633500.0,1.69000000,1.69600000,1.68600000,1.69000000
1738634400.0,1.69000000,1.70200000,1.68300000,1.68500000
1738635300.0,1.68500000,1.69600000,1.67700000,1.69400000
1738636200.0,1.69600000,1.70200000,1.68600000,1.69000000
1738637100.0,1.69000000,1.69000000,1.66300000,1.66500000
1738638000.0,1.66600000,1.67100000,1.65900000,1.66800000
1738638900.0,1.66600000,1.67000000,1.65400000,1.65600000
1738639800.0,1.65600000,1.66300000,1.64900000,1.65500000
1738640700.0,1.65400000,1.66200000,1.65100000,1.65800000
1738641600.0,1.65900000,1.69300000,1.65900000,1.69200000
1738642500.0,1.69000000,1.69000000,1.66700000,1.66800000
1738643400.0,1.66900000,1.68700000,1.65900000,1.66300000
1738644300.0,1.66300000,1.66800000,1.61500000,1.62100000
1738645200.0,1.62100000,1.63700000,1.57300000,1.57800000
1738646100.0,1.57900000,1.58700000,1.54000000,1.55300000
1738647000.0,1.55200000,1.56400000,1.53300000,1.54800000
1738647900.0,1.54700000,1.56900000,1.53700000,1.54400000
1738648800.0,1.54600000,1.58300000,1.54600000,1.57900000
1738649700.0,1.57800000,1.58900000,1.55500000,1.55900000
1738650600.0,1.55900000,1.57200000,1.55600000,1.56600000
1738651500.0,1.56500000,1.58000000,1.55700000,1.57900000
1738652400.0,1.57800000,1.57800000,1.55200000,1.56000000
1738653300.0,1.56000000,1.57400000,1.55000000,1.55000000
1738654200.0,1.55100000,1.55900000,1.52900000,1.53200000
1738655100.0,1.53300000,1.53500000,1.51800000,1.52900000
1738656000.0,1.53000000,1.54900000,1.52200000,1.54100000
1738656900.0,1.54200000,1.55100000,1.53000000,1.53900000
1738657800.0,1.53800000,1.55000000,1.50800000,1.50900000
1738658700.0,1.51000000,1.52500000,1.50400000,1.52300000
1738659600.0,1.52200000,1.53800000,1.52200000,1.53300000
1738660500.0,1.53200000,1.54100000,1.52100000,1.53100000
1738661400.0,1.53200000,1.53700000,1.52100000,1.52900000
1738662300.0,1.52800000,1.52800000,1.51300000,1.51600000
1738663200.0,1.51500000,1.53600000,1.51400000,1.52600000
1738664100.0,1.52600000,1.53600000,1.52300000,1.53400000
