time,open,high,low,close
1738540800.0,2.87100000,2.88000000,2.83400000,2.85400000
1738541700.0,2.85400000,2.85400000,2.78300000,2.82200000
1738542600.0,2.82100000,2.82800000,2.72600000,2.73500000
1738543500.0,2.73700000,2.84800000,2.73500000,2.81500000
1738544400.0,2.81500000,2.83100000,2.78400000,2.80100000
1738545300.0,2.80000000,2.80700000,2.75900000,2.76700000
1738546200.0,2.76600000,2.79000000,2.72500000,2.74300000
1738547100.0,2.74500000,2.74600000,2.40200000,2.51200000
1738548000.0,2.51400000,2.56800000,2.25800000,2.56300000
1738548900.0,2.56400000,2.59700000,2.52200000,2.52400000
1738549800.0,2.52600000,2.54900000,2.49500000,2.53500000
1738550700.0,2.54000000,2.54800000,2.46300000,2.50000000
1738551600.0,2.50600000,2.61200000,2.50200000,2.60800000
1738552500.0,2.60900000,2.70000000,2.60500000,2.65400000
1738553400.0,2.65600000,2.65900000,2.63500000,2.64200000
1738554300.0,2.64400000,2.67500000,2.63600000,2.64500000
1738555200.0,2.64700000,2.66700000,2.62100000,2.62300000
1738556100.0,2.62400000,2.62400000,2.57600000,2.58100000
1738557000.0,2.58300000,2.58600000,2.53900000,2.55600000
1738557900.0,2.55500000,2.57000000,2.53000000,2.53000000
1738558800.0,2.53200000,2.58600000,2.53200000,2.57700000
1738559700.0,2.57700000,2.64500000,2.57700000,2.62600000
1738560600.0,2.62600000,2.65900000,2.62200000,2.62400000
1738561500.0,2.62400000,2.65600000,2.61300000,2.65200000
1738562400.0,2.65100000,2.65100000,2.61400000,2.62500000
1738563300.0,2.62700000,2.65200000,2.61500000,2.64400000
1738564200.0,2.64000000,2.68000000,2.63800000,2.66600000
1738565100.0,2.66500000,2.67800000,2.66000000,2.67200000
1738566000.0,2.67400000,2.71100000,2.66600000,2.70800000
1738566900.0,2.71200000,2.75600000,2.71200000,2.75600000
1738567800.0,2.75600000,2.77500000,2.73900000,2.75500000
1738568700.0,2.75300000,2.77500000,2.74000000,2.77300000
1738569600.0,2.77100000,2.77200000,2.72100000,2.74400000
1738570500.0,2.74500000,2.74700000,2.71400000,2.71500000
1738571400.0,2.71500000,2.71500000,2.68000000,2.69300000
1738572300.0,2.69000000,2.72400000,2.68900000,2.71800000
1738573200.0,2.71700000,2.77900000,2.70900000,2.77400000
1738574100.0,2.77100000,2.77700000,2.72100000,2.74000000
1738575000.0,2.73500000,2.74400000,2.69800000,2.70400000
1738575900.0,2.70700000,2.71700000,2.69600000,2.70700000
1738576800.0,2.70700000,2.73100000,2.70400000,2.72300000
1738577700.0,2.72300000,2.72700000,2.70300000,2.70500000
1738578600.0,2.70500000,2.73500000,2.69800000,2.72000000
1738579500.0,2.72100000,2.75900000,2.72100000,2.75200000
1738580400.0,2.74900000,2.74900000,2.71900000,2.72500000
1738581300.0,2.72400000,2.72600000,2.69500000,2.69900000
1738582200.0,2.69700000,2.70200000,2.67500000,2.68200000
1738583100.0,2.68200000,2.68900000,2.66400000,2.67500000
1738584000.0,2.67700000,2.68900000,2.66900000,2.67800000
1738584900.0,2.67700000,2.70000000,2.67300000,2.68100000
1738585800.0,2.67800000,2.68200000,2.67000000,2.67500000
1738586700.0,2.67300000,2.67300000,2.63700000,2.64200000
1738587600.0,2.64200000,2.66600000,2.63500000,2.65100000
1738588500.0,2.64800000,2.67100000,2.62900000,2.62900000
1738589400.0,2.63100000,2.67000000,2.63100000,2.66700000
1738590300.0,2.66700000,2.67000000,2.63400000,2.64300000
1738591200.0,2.64400000,2.64500000,2.59200000,2.60300000
1738592100.0,2.60300000,2.62600000,2.57700000,2.60100000
1738593000.0,2.59800000,2.69600000,2.58200000,2.66800000
1738593900.0,2.66800000,2.69100000,2.63600000,2.69000000
1738594800.0,2.69000000,2.70600000,2.65200000,2.67800000
1738595700.0,2.68000000,2.82500000,2.66800000,2.79400000
1738596600.0,2.79400000,2.84900000,2.76200000,2.84100000
1738597500.0,2.83900000,2.87300000,2.79500000,2.82300000
1738598400.0,2.82000000,2.83600000,2.78700000,2.80400000
1738599300.0,2.80900000,2.84000000,2.80100000,2.82100000
1738600200.0,2.82000000,2.86700000,2.81300000,2.86400000
1738601100.0,2.86300000,2.86500000,2.82700000,2.82900000
1738602000.0,2.83400000,2.83700000,2.80700000,2.81200000
1738602900.0,2.80800000,2.83100000,2.78900000,2.81800000
1738603800.0,2.81900000,2.83600000,2.80200000,2.83100000
1738604700.0,2.83100000,2.84600000,2.82000000,2.82700000
1738605600.0,2.82400000,2.85200000,2.81400000,2.83600000
1738606500.0,2.83600000,2.86100000,2.83300000,2.85600000
1738607400.0,2.85600000,2.87600000,2.84400000,2.86900000
1738608300.0,2.86400000,2.88300000,2.85000000,2.87700000
1738609200.0,2.88000000,2.89700000,2.86800000,2.89400000
1738610100.0,2.89400000,2.96400000,2.88900000,2.92200000
1738611000.0,2.92000000,2.95600000,2.91700000,2.95600000
1738611900.0,2.95500000,2.98000000,2.94600000,2.98000000
1738612800.0,2.98000000,2.99400000,2.92800000,2.94500000
1738613700.0,2.94600000,2.96500000,2.94000000,2.94700000
1738614600.0,2.94900000,2.96200000,2.92000000,2.92800000
1738615500.0,2.92600000,2.94300000,2.91700000,2.93300000
1738616400.0,2.93300000,2.95400000,2.92700000,2.93200000
1738617300.0,2.93100000,2.98200000,2.92500000,2.96700000
1738618200.0,2.96600000,3.03100000,2.96200000,3.02100000
1738619100.0,3.02200000,3.09200000,3.02100000,3.09200000
1738620000.0,3.09300000,3.12000000,3.07100000,3.07500000
1738620900.0,3.07500000,3.13500000,3.06500000,3.13100000
1738621800.0,3.13300000,3.14800000,3.11600000,3.14000000
1738622700.0,3.14100000,3.14200000,3.10600000,3.12600000
1738623600.0,3.12800000,3.13400000,3.08800000,3.09900000
1738624500.0,3.09900000,3.10400000,3.07800000,3.08600000
1738625400.0,3.08700000,3.12400000,3.08500000,3.11100000
1738626300.0,3.11000000,3.11900000,3.09200000,3.10500000
1738627200.0,3.10600000,3.14500000,3.08600000,3.12600000
1738628100.0,3.12400000,3.13600000,3.08300000,3.08800000
1738629000.0,3.08700000,3.13900000,3.08300000,3.13100000
1738629900.0,3.13200000,3.13200000,3.09600000,3.09600000
1738630800.0,3.09800000,3.11600000,3.09200000,3.09400000
1738631700.0,3.09300000,3.13100000,3.09000000,3.12800000
1738632600.0,3.12800000,3.19700000,3.12800000,3.18500000
1738633500.0,3.18500000,3.20700000,3.15900000,3.16800000
1738634400.0,3.16900000,3.18500000,3.14100000,3.15600000
1738635300.0,3.15700000,3.21100000,3.14100000,3.18900000
1738636200.0,3.18700000,3.22200000,3.18400000,3.19600000
1738637100.0,3.19500000,3.20400000,3.15100000,3.15600000
1738638000.0,3.15500000,3.16100000,3.13600000,3.15500000
1738638900.0,3.15400000,3.16200000,3.13400000,3.13600000
1738639800.0,3.13700000,3.14000000,3.10100000,3.10500000
1738640700.0,3.10400000,3.11500000,3.09500000,3.10200000
1738641600.0,3.10200000,3.12500000,3.08200000,3.12100000
1738642500.0,3.12100000,3.12100000,3.08400000,3.09300000
1738643400.0,3.09300000,3.11000000,3.07800000,3.08300000
1738644300.0,3.08000000,3.08200000,3.03200000,3.03700000
1738645200.0,3.03700000,3.04400000,2.94000000,2.94200000
1738646100.0,2.94300000,2.95400000,2.85000000,2.85400000
1738647000.0,2.85400000,2.89900000,2.84300000,2.88900000
1738647900.0,2.88800000,2.91600000,2.86600000,2.88600000
1738648800.0,2.88700000,2.95600000,2.88700000,2.95200000
1738649700.0,2.95300000,2.96500000,2.91200000,2.91700000
1738650600.0,2.91800000,2.94200000,2.90600000,2.91500000
1738651500.0,2.91500000,2.92900000,2.89800000,2.92800000
1738652400.0,2.92600000,2.94500000,2.91100000,2.93700000
1738653300.0,2.93700000,2.95700000,2.92000000,2.92900000
1738654200.0,2.93000000,2.93300000,2.89400000,2.89800000
1738655100.0,2.89900000,2.90100000,2.86800000,2.87700000
1738656000.0,2.87700000,2.91900000,2.86400000,2.90300000
1738656900.0,2.90300000,2.92200000,2.89500000,2.91900000
1738657800.0,2.91900000,2.92600000,2.87000000,2.87300000
1738658700.0,2.87500000,2.89100000,2.86700000,2.87300000
1738659600.0,2.87300000,2.90500000,2.87300000,2.88500000
1738660500.0,2.88600000,2.91700000,2.87100000,2.90200000
1738661400.0,2.90300000,2.91600000,2.88900000,2.91500000
1738662300.0,2.91400000,2.92800000,2.90000000,2.90800000
1738663200.0,2.90700000,2.94600000,2.90500000,2.92900000
1738664100.0,2.92800000,2.95100000,2.92300000,2.94200000
