time,open,high,low,close
1738540800.0,9.11900000,9.12200000,8.92400000,8.92500000
1738541700.0,8.92500000,8.92500000,8.65500000,8.74000000
1738542600.0,8.73200000,8.75100000,8.23400000,8.29600000
1738543500.0,8.30400000,8.69500000,8.30400000,8.61000000
1738544400.0,8.60900000,8.66500000,8.50500000,8.51700000
1738545300.0,8.51500000,8.53600000,8.35400000,8.38500000
1738546200.0,8.38600000,8.47300000,8.28900000,8.34800000
1738547100.0,8.35000000,8.35400000,6.99900000,7.51200000
1738548000.0,7.51300000,7.59800000,6.51300000,7.47900000
1738548900.0,7.49200000,7.58800000,7.33500000,7.34200000
1738549800.0,7.32700000,7.43600000,7.27100000,7.34200000
1738550700.0,7.34400000,7.36200000,7.12900000,7.24700000
1738551600.0,7.25200000,7.57200000,7.24800000,7.54600000
1738552500.0,7.54600000,7.63000000,7.47600000,7.48400000
1738553400.0,7.48000000,7.48600000,7.41800000,7.45900000
1738554300.0,7.45400000,7.65800000,7.45100000,7.57200000
1738555200.0,7.58000000,7.71200000,7.51900000,7.53300000
1738556100.0,7.52800000,7.54000000,7.39700000,7.41800000
1738557000.0,7.41500000,7.47200000,7.35900000,7.39000000
1738557900.0,7.39100000,7.43300000,7.30400000,7.31200000
1738558800.0,7.31600000,7.47000000,7.31300000,7.42000000
1738559700.0,7.41500000,7.61500000,7.40500000,7.56600000
1738560600.0,7.55700000,7.64100000,7.54300000,7.63000000
1738561500.0,7.62400000,7.75200000,7.60400000,7.75200000
1738562400.0,7.75100000,7.76800000,7.66100000,7.76100000
1738563300.0,7.76400000,7.89200000,7.70500000,7.88200000
1738564200.0,7.86700000,7.92800000,7.79200000,7.80700000
1738565100.0,7.80600000,7.92900000,7.80200000,7.91200000
1738566000.0,7.90900000,8.02800000,7.88800000,8.02800000
1738566900.0,8.02900000,8.11900000,8.00900000,8.06100000
1738567800.0,8.06300000,8.20100000,8.03100000,8.15700000
1738568700.0,8.14600000,8.31200000,8.13400000,8.28600000
