time,open,high,low,close
1738540800.0,7.38100000,7.38100000,7.23700000,7.23800000
1738541700.0,7.22600000,7.22600000,7.05500000,7.12800000
1738542600.0,7.13900000,7.14400000,6.82000000,6.85100000
1738543500.0,6.85200000,7.11100000,6.85200000,7.06200000
1738544400.0,7.05100000,7.09900000,6.97900000,6.98400000
1738545300.0,6.97800000,6.98900000,6.87000000,6.89100000
1738546200.0,6.88100000,6.94900000,6.81900000,6.87700000
1738547100.0,6.85700000,6.86100000,5.77100000,6.17700000
1738548000.0,6.18500000,6.24500000,5.42400000,6.13700000
1738548900.0,6.13900000,6.20500000,6.03500000,6.03500000
1738549800.0,6.04100000,6.11000000,5.98600000,6.08100000
1738550700.0,6.09000000,6.11700000,5.95700000,6.05300000
1738551600.0,6.05500000,6.29700000,6.05500000,6.27500000
1738552500.0,6.27000000,6.43800000,6.26500000,6.32100000
1738553400.0,6.32200000,6.32200000,6.24500000,6.30900000
1738554300.0,6.30600000,6.48200000,6.30600000,6.40000000
1738555200.0,6.40500000,6.51200000,6.32300000,6.32300000
1738556100.0,6.32700000,6.32700000,6.19800000,6.22200000
1738557000.0,6.22400000,6.26700000,6.19300000,6.22700000
1738557900.0,6.22200000,6.25800000,6.14300000,6.15000000
1738558800.0,6.16200000,6.28000000,6.15700000,6.25000000
1738559700.0,6.24100000,6.43100000,6.23200000,6.39400000
1738560600.0,6.37700000,6.45000000,6.36800000,6.43500000
1738561500.0,6.42900000,6.56900000,6.42100000,6.55600000
1738562400.0,6.56300000,6.59800000,6.49200000,6.59200000
1738563300.0,6.58900000,6.70800000,6.55900000,6.67500000
1738564200.0,6.66600000,6.68700000,6.58400000,6.60000000
1738565100.0,6.60900000,6.73800000,6.60500000,6.72800000
1738566000.0,6.72300000,6.76000000,6.70100000,6.73900000
1738566900.0,6.75100000,6.83600000,6.74800000,6.77200000
1738567800.0,6.77400000,6.88400000,6.74200000,6.85700000
1738568700.0,6.84500000,6.97900000,6.82300000,6.96100000
1738569600.0,6.95400000,6.95400000,6.81000000,6.85900000
1738570500.0,6.86200000,6.87700000,6.75700000,6.76900000
1738571400.0,6.76000000,6.76100000,6.68900000,6.71700000
1738572300.0,6.70900000,6.81400000,6.70900000,6.81400000
1738573200.0,6.80800000,6.97500000,6.80000000,6.95900000
