time,open,high,low,close
1738540800.0,3.76800000,3.78100000,3.71300000,3.73000000
1738541700.0,3.72900000,3.78400000,3.68100000,3.76600000
1738542600.0,3.76900000,3.77500000,3.56100000,3.57400000
1738543500.0,3.57500000,3.74200000,3.57100000,3.69000000
1738544400.0,3.69200000,3.73800000,3.63900000,3.65300000
1738545300.0,3.65300000,3.65700000,3.56200000,3.57400000
1738546200.0,3.57000000,3.59900000,3.52400000,3.53000000
1738547100.0,3.52900000,3.55300000,3.28300000,3.31400000
1738548000.0,3.31600000,3.36000000,3.13900000,3.30600000
1738548900.0,3.30800000,3.33500000,3.22800000,3.30100000
1738549800.0,3.30400000,3.32400000,3.26400000,3.30900000
1738550700.0,3.31000000,3.31500000,3.12400000,3.20400000
1738551600.0,3.20300000,3.32500000,3.19500000,3.32300000
1738552500.0,3.32300000,3.35500000,3.32100000,3.32600000
1738553400.0,3.32800000,3.37200000,3.30400000,3.37100000
1738554300.0,3.37000000,3.42400000,3.35400000,3.39400000
1738555200.0,3.39300000,3.43200000,3.33100000,3.33700000
1738556100.0,3.33400000,3.34000000,3.26700000,3.27700000
1738557000.0,3.28000000,3.29100000,3.24100000,3.25500000
1738557900.0,3.25400000,3.27200000,3.23200000,3.24900000
1738558800.0,3.24900000,3.32900000,3.23800000,3.31200000
1738559700.0,3.31300000,3.37700000,3.30600000,3.36600000
1738560600.0,3.36500000,3.39000000,3.34900000,3.37800000
1738561500.0,3.37700000,3.46500000,3.37000000,3.46200000
1738562400.0,3.46200000,3.49200000,3.43200000,3.49000000
1738563300.0,3.49300000,3.53200000,3.49200000,3.49700000
1738564200.0,3.49600000,3.50700000,3.47000000,3.47600000
1738565100.0,3.47800000,3.53000000,3.47200000,3.51600000
1738566000.0,3.51700000,3.56500000,3.50600000,3.56500000
1738566900.0,3.56500000,3.58600000,3.52800000,3.55300000
1738567800.0,3.55400000,3.56400000,3.52600000,3.52600000
1738568700.0,3.52500000,3.60000000,3.52200000,3.59400000
1738569600.0,3.59000000,3.59200000,3.52500000,3.53900000
1738570500.0,3.54200000,3.56700000,3.50500000,3.53700000
1738571400.0,3.53200000,3.53200000,3.47600000,3.48400000
1738572300.0,3.48200000,3.52100000,3.47900000,3.51800000
1738573200.0,3.51900000,3.60400000,3.51200000,3.58800000
1738574100.0,3.58600000,3.58800000,3.53100000,3.54500000
1738575000.0,3.54500000,3.56200000,3.52100000,3.52900000
1738575900.0,3.53200000,3.55300000,3.51600000,3.52600000
1738576800.0,3.52500000,3.61500000,3.52300000,3.54000000
1738577700.0,3.54200000,3.65500000,3.52400000,3.60400000
1738578600.0,3.60400000,3.72200000,3.60400000,3.70200000
1738579500.0,3.70600000,3.74500000,3.60600000,3.62900000
1738580400.0,3.62900000,3.63000000,3.59600000,3.61600000
1738581300.0,3.61100000,3.64200000,3.56900000,3.60700000
1738582200.0,3.60700000,3.60700000,3.54000000,3.54900000
1738583100.0,3.55000000,3.56300000,3.53700000,3.55900000
1738584000.0,3.56100000,3.60100000,3.56100000,3.59300000
1738584900.0,3.59200000,3.63400000,3.58900000,3.60300000
1738585800.0,3.59800000,3.59900000,3.57100000,3.57300000
1738586700.0,3.57200000,3.57600000,3.52200000,3.52800000
1738587600.0,3.52800000,3.54500000,3.49500000,3.50100000
1738588500.0,3.49500000,3.51800000,3.45800000,3.45800000
1738589400.0,3.45800000,3.52900000,3.45000000,3.51800000
1738590300.0,3.51900000,3.52400000,3.47100000,3.49400000
1738591200.0,3.49500000,3.49800000,3.42000000,3.44300000
1738592100.0,3.44300000,3.47200000,3.40300000,3.44300000
1738593000.0,3.44100000,3.58400000,3.43100000,3.57600000
1738593900.0,3.57600000,3.63900000,3.55900000,3.63000000
1738594800.0,3.62800000,3.65400000,3.60800000,3.62600000
1738595700.0,3.62800000,3.70400000,3.61900000,3.68500000
1738596600.0,3.68400000,3.70400000,3.64900000,3.68800000
1738597500.0,3.68900000,3.77400000,3.68100000,3.71300000
1738598400.0,3.71500000,3.73600000,3.66000000,3.69200000
1738599300.0,3.69100000,3.74400000,3.67300000,3.72300000
1738600200.0,3.72400000,3.75500000,3.70500000,3.74800000
1738601100.0,3.74900000,3.77600000,3.74300000,3.74500000
1738602000.0,3.74900000,3.75000000,3.71100000,3.72800000
1738602900.0,3.72600000,3.75300000,3.71800000,3.74900000
1738603800.0,3.74800000,3.77800000,3.71900000,3.77400000
1738604700.0,3.77600000,3.89900000,3.75600000,3.78200000
1738605600.0,3.78100000,3.80200000,3.74400000,3.76400000
1738606500.0,3.76300000,3.77400000,3.72800000,3.73400000
1738607400.0,3.73300000,3.75500000,3.71700000,3.73400000
1738608300.0,3.73400000,3.75600000,3.72100000,3.74600000
1738609200.0,3.74400000,3.75800000,3.72000000,3.74300000
1738610100.0,3.73800000,3.76500000,3.73300000,3.73700000
1738611000.0,3.73700000,3.74700000,3.71600000,3.72200000
1738611900.0,3.72300000,3.73400000,3.71600000,3.71900000
1738612800.0,3.71600000,3.72100000,3.65300000,3.67100000
1738613700.0,3.67000000,3.69300000,3.67000000,3.68300000
1738614600.0,3.68600000,3.70600000,3.68300000,3.69500000
1738615500.0,3.69400000,3.72400000,3.69000000,3.69200000
1738616400.0,3.69300000,3.70300000,3.60600000,3.62000000
1738617300.0,3.62000000,3.62800000,3.56100000,3.62500000
1738618200.0,3.62700000,3.67200000,3.62700000,3.65500000
1738619100.0,3.65500000,3.66900000,3.64400000,3.66600000
1738620000.0,3.66900000,3.70000000,3.65900000,3.66000000
1738620900.0,3.66200000,3.70400000,3.64800000,3.70200000
1738621800.0,3.70400000,3.70500000,3.68200000,3.68200000
1738622700.0,3.68300000,3.68900000,3.65500000,3.68600000
1738623600.0,3.68800000,3.73000000,3.68200000,3.71600000
1738624500.0,3.71500000,3.72000000,3.69000000,3.69400000
1738625400.0,3.69400000,3.70100000,3.67300000,3.69800000
1738626300.0,3.69500000,3.71300000,3.69400000,3.71300000
1738627200.0,3.71400000,3.74600000,3.71200000,3.72000000
1738628100.0,3.71800000,3.72600000,3.67600000,3.68600000
1738629000.0,3.68300000,3.69800000,3.67300000,3.69600000
1738629900.0,3.69500000,3.69800000,3.65900000,3.66900000
1738630800.0,3.66900000,3.70000000,3.66800000,3.67800000
1738631700.0,3.68100000,3.70200000,3.68000000,3.70200000
1738632600.0,3.69700000,3.70400000,3.67400000,3.69700000
1738633500.0,3.69400000,3.69400000,3.67200000,3.68500000
1738634400.0,3.68300000,3.68600000,3.64400000,3.65000000
1738635300.0,3.64800000,3.66400000,3.64000000,3.66400000
1738636200.0,3.66400000,3.67400000,3.65500000,3.65600000
1738637100.0,3.65600000,3.66000000,3.62900000,3.62900000
1738638000.0,3.62900000,3.64300000,3.62400000,3.64100000
1738638900.0,3.63900000,3.64700000,3.62900000,3.63200000
1738639800.0,3.63200000,3.64100000,3.62200000,3.63500000
1738640700.0,3.63100000,3.64100000,3.62300000,3.64100000
1738641600.0,3.64100000,3.67800000,3.64100000,3.67100000
1738642500.0,3.67200000,3.67200000,3.64700000,3.65200000
1738643400.0,3.65300000,3.66900000,3.64500000,3.65500000
1738644300.0,3.65200000,3.65600000,3.59400000,3.60600000
1738645200.0,3.60600000,3.61500000,3.53700000,3.54400000
