time,open,high,low,close
1738540800.0,5.69000000,5.69000000,5.55000000,5.55000000
1738541700.0,5.55000000,5.59000000,5.46000000,5.52000000
1738542600.0,5.52000000,5.53000000,5.28000000,5.28000000
1738543500.0,5.29000000,5.51000000,5.28000000,5.46000000
1738544400.0,5.46000000,5.49000000,5.40000000,5.41000000
1738545300.0,5.41000000,5.43000000,5.33000000,5.34000000
1738546200.0,5.35000000,5.40000000,5.27000000,5.31000000
1738547100.0,5.31000000,5.31000000,4.46000000,4.76000000
1738548000.0,4.77000000,4.80000000,4.13000000,4.75000000
1738548900.0,4.74000000,4.77000000,4.64000000,4.64000000
1738549800.0,4.64000000,4.67000000,4.57000000,4.59000000
1738550700.0,4.59000000,4.60000000,4.47000000,4.53000000
1738551600.0,4.54000000,4.73000000,4.54000000,4.68000000
1738552500.0,4.68000000,4.80000000,4.68000000,4.73000000
1738553400.0,4.73000000,4.75000000,4.70000000,4.72000000
1738554300.0,4.72000000,4.83000000,4.71000000,4.76000000
1738555200.0,4.77000000,4.87000000,4.76000000,4.76000000
1738556100.0,4.77000000,4.78000000,4.70000000,4.71000000
1738557000.0,4.72000000,4.77000000,4.70000000,4.74000000
1738557900.0,4.75000000,4.79000000,4.71000000,4.72000000
1738558800.0,4.72000000,4.82000000,4.71000000,4.79000000
1738559700.0,4.79000000,4.92000000,4.78000000,4.89000000
1738560600.0,4.90000000,4.94000000,4.88000000,4.93000000
1738561500.0,4.92000000,5.00000000,4.91000000,5.00000000
1738562400.0,5.00000000,5.05000000,4.95000000,5.05000000
1738563300.0,5.05000000,5.10000000,5.01000000,5.08000000
1738564200.0,5.07000000,5.10000000,5.03000000,5.05000000
1738565100.0,5.03000000,5.10000000,5.03000000,5.09000000
1738566000.0,5.08000000,5.15000000,5.07000000,5.12000000
1738566900.0,5.12000000,5.16000000,5.10000000,5.11000000
1738567800.0,5.11000000,5.20000000,5.07000000,5.16000000
1738568700.0,5.16000000,5.24000000,5.15000000,5.22000000
1738569600.0,5.22000000,5.22000000,5.11000000,5.15000000
1738570500.0,5.16000000,5.17000000,5.06000000,5.07000000
1738571400.0,5.07000000,5.07000000,4.99000000,5.02000000
1738572300.0,5.01000000,5.11000000,5.01000000,5.11000000
1738573200.0,5.10000000,5.23000000,5.09000000,5.23000000
1738574100.0,5.22000000,5.22000000,5.13000000,5.20000000
1738575000.0,5.18000000,5.20000000,5.12000000,5.13000000
1738575900.0,5.14000000,5.16000000,5.11000000,5.13000000
1738576800.0,5.13000000,5.18000000,5.13000000,5.18000000
1738577700.0,5.18000000,5.23000000,5.14000000,5.21000000
1738578600.0,5.21000000,5.31000000,5.21000000,5.27000000
1738579500.0,5.27000000,5.30000000,5.25000000,5.29000000
1738580400.0,5.29000000,5.29000000,5.24000000,5.27000000
1738581300.0,5.27000000,5.27000000,5.21000000,5.23000000
1738582200.0,5.21000000,5.22000000,5.16000000,5.18000000
1738583100.0,5.18000000,5.20000000,5.15000000,5.17000000
1738584000.0,5.18000000,5.25000000,5.18000000,5.23000000
1738584900.0,5.22000000,5.30000000,5.22000000,5.26000000
