time,open,high,low,close
1738540800.0,4.94290000,4.97220000,4.90560000,4.95070000
1738541700.0,4.95100000,4.95160000,4.83910000,4.88110000
1738542600.0,4.88130000,4.88850000,4.69230000,4.72890000
1738543500.0,4.73190000,4.89670000,4.72650000,4.84940000
1738544400.0,4.84940000,4.86180000,4.77690000,4.79430000
1738545300.0,4.79410000,4.83260000,4.77490000,4.79100000
1738546200.0,4.79160000,4.82810000,4.76590000,4.79080000
1738547100.0,4.79280000,4.79700000,4.52000000,4.62670000
1738548000.0,4.62710000,4.67430000,4.40000000,4.64700000
1738548900.0,4.64850000,4.74440000,4.59390000,4.71820000
1738549800.0,4.71680000,4.85310000,4.69780000,4.78180000
1738550700.0,4.78250000,4.79490000,4.70210000,4.72300000
1738551600.0,4.72060000,4.78310000,4.69670000,4.75350000
1738552500.0,4.75330000,4.84050000,4.73610000,4.80990000
1738553400.0,4.80950000,4.86820000,4.80420000,4.81600000
1738554300.0,4.81650000,4.98000000,4.81650000,4.96330000
1738555200.0,4.96540000,5.06630000,4.95000000,4.98770000
1738556100.0,4.98910000,5.00000000,4.89200000,4.89200000
1738557000.0,4.89340000,4.90760000,4.83160000,4.83440000
1738557900.0,4.83550000,4.92470000,4.82430000,4.86490000
1738558800.0,4.86520000,4.98460000,4.85600000,4.96410000
1738559700.0,4.96510000,5.05370000,4.95430000,5.04050000
1738560600.0,5.03920000,5.10410000,5.00950000,5.03320000
1738561500.0,5.03280000,5.29370000,5.01700000,5.09060000
1738562400.0,5.09610000,5.10000000,5.03230000,5.05320000
1738563300.0,5.05310000,5.12430000,5.02880000,5.10450000
1738564200.0,5.10290000,5.26860000,5.09670000,5.25370000
1738565100.0,5.25290000,5.27860000,5.16900000,5.20240000
1738566000.0,5.20240000,5.25480000,5.17500000,5.18280000
1738566900.0,5.18290000,5.25500000,5.14410000,5.25210000
1738567800.0,5.25220000,5.34000000,5.23450000,5.25020000
1738568700.0,5.24980000,5.30000000,5.22370000,5.25070000
1738569600.0,5.25260000,5.37750000,5.23520000,5.35180000
1738570500.0,5.35100000,5.36480000,5.29160000,5.30160000
1738571400.0,5.30230000,5.30380000,5.17440000,5.17830000
1738572300.0,5.17840000,5.22890000,5.17840000,5.21770000
1738573200.0,5.21610000,5.22500000,5.17020000,5.21170000
1738574100.0,5.21020000,5.22200000,5.16560000,5.19420000
1738575000.0,5.19410000,5.21280000,5.12990000,5.18350000
1738575900.0,5.18360000,5.20350000,5.16550000,5.18290000
1738576800.0,5.18350000,5.19750000,5.15050000,5.18000000
1738577700.0,5.18060000,5.21480000,5.17170000,5.19410000
1738578600.0,5.19500000,5.24450000,5.15500000,5.19890000
1738579500.0,5.19980000,5.28920000,5.19640000,5.27340000
1738580400.0,5.27360000,5.28030000,5.22410000,5.26250000
1738581300.0,5.26130000,5.27460000,5.20860000,5.27460000
1738582200.0,5.27430000,5.30000000,5.22350000,5.23890000
1738583100.0,5.23980000,5.27240000,5.22390000,5.25290000
1738584000.0,5.25370000,5.36730000,5.25210000,5.33160000
1738584900.0,5.33160000,5.41340000,5.32360000,5.40950000
1738585800.0,5.40790000,5.45150000,5.38500000,5.40830000
1738586700.0,5.41000000,5.41380000,5.33880000,5.39530000
1738587600.0,5.39580000,5.44660000,5.35580000,5.39280000
1738588500.0,5.39280000,5.41640000,5.20890000,5.24120000
1738589400.0,5.23920000,5.35760000,5.23330000,5.30760000
1738590300.0,5.30730000,5.33200000,5.22780000,5.23850000
1738591200.0,5.24070000,5.26140000,5.17060000,5.21790000
1738592100.0,5.21780000,5.27660000,5.16330000,5.18790000
1738593000.0,5.18830000,5.40000000,5.16070000,5.22740000
1738593900.0,5.22710000,5.33460000,5.22210000,5.30680000
1738594800.0,5.30680000,5.65000000,5.25730000,5.60810000
1738595700.0,5.60860000,5.70000000,5.52250000,5.52250000
1738596600.0,5.52240000,5.59020000,5.47730000,5.55550000
1738597500.0,5.55400000,5.68320000,5.53930000,5.64190000
1738598400.0,5.64110000,5.80780000,5.63990000,5.74230000
1738599300.0,5.74680000,5.90000000,5.69560000,5.78460000
1738600200.0,5.78260000,5.84490000,5.73970000,5.82200000
1738601100.0,5.82200000,5.87630000,5.74320000,5.74870000
1738602000.0,5.74880000,5.78020000,5.68380000,5.75540000
1738602900.0,5.75490000,5.76380000,5.62080000,5.62910000
1738603800.0,5.62810000,5.67810000,5.57970000,5.58260000
1738604700.0,5.58370000,5.70430000,5.58360000,5.64710000
1738605600.0,5.64330000,5.64560000,5.56790000,5.59970000
1738606500.0,5.59820000,5.61180000,5.51760000,5.55090000
1738607400.0,5.55110000,5.58280000,5.54070000,5.58160000
1738608300.0,5.58250000,5.70000000,5.58010000,5.68400000
1738609200.0,5.68400000,5.75350000,5.67640000,5.73900000
1738610100.0,5.74020000,5.75890000,5.61710000,5.62820000
1738611000.0,5.62920000,5.66400000,5.61780000,5.64320000
1738611900.0,5.64320000,5.74530000,5.64170000,5.73920000
1738612800.0,5.73830000,5.81470000,5.67350000,5.73490000
1738613700.0,5.73580000,5.80830000,5.72630000,5.80340000
1738614600.0,5.80450000,5.92680000,5.80270000,5.84560000
1738615500.0,5.84770000,5.97710000,5.81610000,5.90910000
1738616400.0,5.90860000,6.29500000,5.89260000,6.10180000
1738617300.0,6.10330000,6.14170000,5.97570000,6.06140000
1738618200.0,6.06200000,6.07980000,5.97000000,5.99810000
1738619100.0,5.99860000,6.07370000,5.97760000,6.06480000
1738620000.0,6.06640000,6.16670000,6.04800000,6.10680000
1738620900.0,6.10590000,6.11990000,6.02430000,6.03720000
1738621800.0,6.03740000,6.10520000,5.96020000,6.08190000
1738622700.0,6.08070000,6.09240000,6.04150000,6.05340000
1738623600.0,6.05430000,6.20000000,6.02290000,6.11740000
1738624500.0,6.11590000,6.11940000,6.05450000,6.05890000
1738625400.0,6.05810000,6.06390000,6.00270000,6.06230000
1738626300.0,6.06060000,6.07370000,6.03210000,6.06370000
1738627200.0,6.06410000,6.23000000,6.06150000,6.14700000
1738628100.0,6.14530000,6.21930000,6.09580000,6.10150000
1738629000.0,6.10160000,6.24520000,6.07700000,6.14300000
1738629900.0,6.14190000,6.17840000,6.08780000,6.10270000
1738630800.0,6.10290000,6.11240000,6.03790000,6.05660000
1738631700.0,6.05620000,6.11460000,6.03520000,6.08570000
1738632600.0,6.08470000,6.13980000,6.05160000,6.08970000
1738633500.0,6.08990000,6.12000000,6.03000000,6.03680000
1738634400.0,6.03720000,6.07620000,6.00030000,6.02080000
1738635300.0,6.02440000,6.08260000,6.00370000,6.07250000
1738636200.0,6.07240000,6.10250000,6.05510000,6.07840000
1738637100.0,6.07850000,6.11370000,6.01480000,6.03570000
1738638000.0,6.03520000,6.04790000,5.99200000,6.01410000
1738638900.0,6.01320000,6.02170000,5.97000000,5.99530000
1738639800.0,5.99590000,6.00480000,5.91580000,5.98790000
1738640700.0,5.98780000,6.00300000,5.94220000,5.96490000
1738641600.0,5.96590000,6.00040000,5.95990000,5.99290000
1738642500.0,5.99240000,6.01990000,5.95920000,5.98630000
1738643400.0,5.98730000,6.01830000,5.94180000,5.94180000
1738644300.0,5.94180000,5.97750000,5.93480000,5.96360000
1738645200.0,5.96390000,5.96970000,5.84060000,5.84560000
