time,open,high,low,close
1738540800.0,2.22900000,2.22900000,2.19100000,2.19400000
1738541700.0,2.19000000,2.19000000,2.13000000,2.15300000
1738542600.0,2.15500000,2.15900000,2.05800000,2.06100000
1738543500.0,2.06100000,2.14700000,2.05800000,2.12500000
1738544400.0,2.12400000,2.14400000,2.10200000,2.11400000
1738545300.0,2.11600000,2.11600000,2.07300000,2.08000000
1738546200.0,2.08200000,2.10100000,2.05700000,2.06700000
1738547100.0,2.07100000,2.07200000,1.80900000,1.90500000
1738548000.0,1.90500000,1.93900000,1.69400000,1.91300000
1738548900.0,1.91400000,1.93200000,1.88600000,1.89400000
1738549800.0,1.89400000,1.91000000,1.86800000,1.88200000
1738550700.0,1.88300000,1.89000000,1.82900000,1.86700000
1738551600.0,1.86900000,1.94600000,1.86600000,1.93600000
1738552500.0,1.93600000,1.96300000,1.93100000,1.93400000
1738553400.0,1.93100000,1.93300000,1.91300000,1.92200000
1738554300.0,1.92200000,1.96500000,1.92200000,1.94700000
1738555200.0,1.94800000,1.97200000,1.92600000,1.92800000
1738556100.0,1.92900000,1.94200000,1.91100000,1.91500000
1738557000.0,1.91500000,1.92700000,1.89800000,1.90700000
1738557900.0,1.90600000,1.92300000,1.88600000,1.88600000
1738558800.0,1.89000000,1.92500000,1.89000000,1.90600000
1738559700.0,1.90700000,1.95900000,1.90500000,1.94900000
1738560600.0,1.94700000,1.97800000,1.94200000,1.97800000
1738561500.0,1.97700000,2.02700000,1.97500000,2.02700000
1738562400.0,2.02700000,2.02700000,1.98600000,1.99900000
1738563300.0,1.99900000,2.03600000,1.99200000,2.01900000
1738564200.0,2.01900000,2.03900000,2.00200000,2.00700000
1738565100.0,2.00800000,2.03100000,2.00800000,2.02600000
1738566000.0,2.02700000,2.05600000,2.02200000,2.05100000
1738566900.0,2.05400000,2.07700000,2.05400000,2.06300000
1738567800.0,2.06700000,2.08600000,2.04800000,2.07300000
1738568700.0,2.07100000,2.11000000,2.06900000,2.10500000
1738569600.0,2.10400000,2.10400000,2.06200000,2.07700000
1738570500.0,2.07700000,2.07900000,2.05700000,2.06100000
1738571400.0,2.06100000,2.06100000,2.03300000,2.03500000
1738572300.0,2.04000000,2.06700000,2.04000000,2.06700000
1738573200.0,2.06700000,2.12100000,2.05800000,2.11900000
1738574100.0,2.11700000,2.11700000,2.08100000,2.09500000
1738575000.0,2.09100000,2.10000000,2.07500000,2.08300000
1738575900.0,2.08500000,2.09600000,2.07500000,2.08200000
1738576800.0,2.08200000,2.09900000,2.08200000,2.09600000
1738577700.0,2.09600000,2.14100000,2.08000000,2.13700000
1738578600.0,2.13700000,2.16400000,2.12800000,2.14500000
1738579500.0,2.15000000,2.17500000,2.15000000,2.16100000
1738580400.0,2.15900000,2.15900000,2.13600000,2.14400000
1738581300.0,2.13700000,2.13900000,2.11600000,2.12300000
1738582200.0,2.12300000,2.12300000,2.10800000,2.11200000
1738583100.0,2.11900000,2.12100000,2.10500000,2.11500000
1738584000.0,2.11500000,2.12200000,2.10000000,2.10800000
1738584900.0,2.10900000,2.14000000,2.10500000,2.12000000
1738585800.0,2.11800000,2.11900000,2.10600000,2.11000000
1738586700.0,2.10600000,2.10600000,2.07200000,2.08500000
1738587600.0,2.08000000,2.10300000,2.07400000,2.07700000
1738588500.0,2.07700000,2.09600000,2.06400000,2.06400000
1738589400.0,2.06600000,2.11400000,2.06600000,2.11000000
1738590300.0,2.11100000,2.11100000,2.07900000,2.08900000
1738591200.0,2.08900000,2.08900000,2.04000000,2.04600000
1738592100.0,2.04800000,2.06700000,2.02800000,2.04800000
1738593000.0,2.04800000,2.16800000,2.03000000,2.15600000
1738593900.0,2.16000000,2.18900000,2.13000000,2.18700000
1738594800.0,2.18700000,2.24900000,2.17800000,2.24400000
1738595700.0,2.24400000,2.35200000,2.23400000,2.32500000
1738596600.0,2.32500000,2.40200000,2.30300000,2.39000000
1738597500.0,2.38800000,2.40600000,2.34700000,2.37700000
1738598400.0,2.37600000,2.39700000,2.34000000,2.34800000
1738599300.0,2.35000000,2.37400000,2.33000000,2.35900000
1738600200.0,2.35600000,2.38200000,2.35100000,2.37700000
1738601100.0,2.37800000,2.39400000,2.36700000,2.36900000
1738602000.0,2.37000000,2.37800000,2.34000000,2.34100000
1738602900.0,2.34100000,2.36700000,2.33500000,2.35400000
1738603800.0,2.35200000,2.36100000,2.33500000,2.35400000
1738604700.0,2.35600000,2.37100000,2.34400000,2.35700000
1738605600.0,2.35400000,2.35500000,2.32100000,2.33000000
1738606500.0,2.32900000,2.34500000,2.32700000,2.33800000
1738607400.0,2.33700000,2.36900000,2.33200000,2.36700000
1738608300.0,2.36700000,2.39900000,2.36500000,2.39800000
1738609200.0,2.39800000,2.41700000,2.39200000,2.41200000
1738610100.0,2.41100000,2.46000000,2.41100000,2.41400000
1738611000.0,2.41500000,2.43900000,2.41100000,2.43800000
1738611900.0,2.43800000,2.45400000,2.43500000,2.45300000
1738612800.0,2.45300000,2.45600000,2.41000000,2.42800000
1738613700.0,2.42900000,2.46800000,2.42700000,2.45400000
1738614600.0,2.45800000,2.46100000,2.41900000,2.42700000
1738615500.0,2.42800000,2.44500000,2.41600000,2.43700000
1738616400.0,2.43500000,2.45100000,2.40000000,2.41600000
1738617300.0,2.41500000,2.46200000,2.40800000,2.45400000
1738618200.0,2.45600000,2.49500000,2.45300000,2.47100000
1738619100.0,2.47200000,2.52300000,2.46900000,2.51500000
1738620000.0,2.51500000,2.55400000,2.51100000,2.51900000
1738620900.0,2.51800000,2.53500000,2.50500000,2.53500000
1738621800.0,2.53300000,2.54600000,2.51700000,2.53400000
1738622700.0,2.53200000,2.53700000,2.50900000,2.53700000
1738623600.0,2.53500000,2.53500000,2.50000000,2.51100000
1738624500.0,2.51000000,2.51200000,2.49700000,2.50200000
1738625400.0,2.50200000,2.52000000,2.49600000,2.51700000
1738626300.0,2.51700000,2.52200000,2.50800000,2.51600000
1738627200.0,2.51500000,2.54400000,2.50700000,2.53400000
1738628100.0,2.53000000,2.53400000,2.49800000,2.49800000
1738629000.0,2.49600000,2.54100000,2.49600000,2.53200000
1738629900.0,2.53000000,2.53000000,2.47200000,2.47200000
1738630800.0,2.47400000,2.50700000,2.47200000,2.48700000
1738631700.0,2.48600000,2.50100000,2.47700000,2.49600000
1738632600.0,2.50100000,2.52600000,2.48700000,2.50800000
1738633500.0,2.50400000,2.51600000,2.49000000,2.50100000
1738634400.0,2.50600000,2.51100000,2.48400000,2.48800000
1738635300.0,2.48600000,2.50800000,2.48000000,2.49400000
1738636200.0,2.49200000,2.50800000,2.48500000,2.49300000
1738637100.0,2.48800000,2.49400000,2.46900000,2.47200000
1738638000.0,2.47800000,2.48500000,2.46900000,2.47300000
1738638900.0,2.46900000,2.47600000,2.44600000,2.44800000
1738639800.0,2.44600000,2.45300000,2.43000000,2.44900000
1738640700.0,2.44600000,2.46200000,2.44300000,2.45100000
1738641600.0,2.45300000,2.48100000,2.44600000,2.48000000
1738642500.0,2.47400000,2.47400000,2.44000000,2.44000000
1738643400.0,2.44000000,2.46300000,2.43100000,2.44400000
1738644300.0,2.43700000,2.44200000,2.41100000,2.41600000
1738645200.0,2.41900000,2.42000000,2.33000000,2.33000000
1738646100.0,2.33400000,2.34000000,2.27800000,2.29000000
1738647000.0,2.29000000,2.30500000,2.26600000,2.28800000
1738647900.0,2.28000000,2.30600000,2.26400000,2.27800000
1738648800.0,2.28300000,2.33300000,2.28100000,2.33300000
1738649700.0,2.33100000,2.36200000,2.31200000,2.31500000
1738650600.0,2.31300000,2.34500000,2.31000000,2.32200000
1738651500.0,2.32300000,2.33600000,2.32000000,2.33500000
1738652400.0,2.33400000,2.33700000,2.30900000,2.31700000
1738653300.0,2.31700000,2.33400000,2.29500000,2.29500000
1738654200.0,2.29700000,2.30800000,2.27700000,2.28100000
1738655100.0,2.28100000,2.28400000,2.25500000,2.26100000
1738656000.0,2.26400000,2.30600000,2.25200000,2.28800000
1738656900.0,2.29400000,2.30000000,2.28100000,2.29400000
1738657800.0,2.29300000,2.33300000,2.27500000,2.27700000
1738658700.0,2.27700000,2.30100000,2.27500000,2.29600000
1738659600.0,2.29600000,2.32000000,2.29400000,2.30900000
1738660500.0,2.30500000,2.34800000,2.28900000,2.34300000
1738661400.0,2.34300000,2.34300000,2.31500000,2.32800000
1738662300.0,2.33000000,2.33100000,2.29800000,2.30200000
1738663200.0,2.30200000,2.32900000,2.30000000,2.31600000
