time,open,high,low,close
1738540800.0,2.67600000,2.67800000,2.60000000,2.60500000
1738541700.0,2.60500000,2.61800000,2.55200000,2.58300000
1738542600.0,2.58300000,2.58700000,2.45300000,2.46600000
1738543500.0,2.46600000,2.55800000,2.46600000,2.53200000
1738544400.0,2.53200000,2.55800000,2.51000000,2.51900000
1738545300.0,2.51800000,2.52300000,2.47300000,2.48000000
1738546200.0,2.48200000,2.51000000,2.46200000,2.47800000
1738547100.0,2.47900000,2.48000000,2.11400000,2.26700000
1738548000.0,2.26900000,2.30400000,2.00000000,2.29500000
1738548900.0,2.29500000,2.34300000,2.26800000,2.27600000
1738549800.0,2.27400000,2.31500000,2.24200000,2.28000000
1738550700.0,2.28100000,2.28700000,2.22700000,2.26300000
1738551600.0,2.26300000,2.40300000,2.25800000,2.39200000
1738552500.0,2.39300000,2.44600000,2.38400000,2.40200000
1738553400.0,2.40100000,2.41200000,2.36900000,2.37800000
1738554300.0,2.37600000,2.42300000,2.37100000,2.38800000
1738555200.0,2.38700000,2.42300000,2.36700000,2.37000000
1738556100.0,2.37000000,2.38400000,2.33300000,2.34100000
1738557000.0,2.34100000,2.35800000,2.31400000,2.32700000
1738557900.0,2.32600000,2.33200000,2.29000000,2.29200000
1738558800.0,2.29300000,2.33100000,2.29300000,2.31600000
1738559700.0,2.31500000,2.37900000,2.31500000,2.36100000
1738560600.0,2.36000000,2.37200000,2.34100000,2.34200000
1738561500.0,2.34200000,2.38900000,2.33800000,2.38900000
1738562400.0,2.38900000,2.38900000,2.34900000,2.37600000
1738563300.0,2.37700000,2.43900000,2.36100000,2.42800000
1738564200.0,2.42700000,2.45900000,2.41800000,2.43200000
1738565100.0,2.43300000,2.48900000,2.43100000,2.48000000
1738566000.0,2.47800000,2.50100000,2.47200000,2.48800000
1738566900.0,2.48900000,2.52600000,2.48800000,2.51600000
1738567800.0,2.51600000,2.58500000,2.50900000,2.56900000
1738568700.0,2.56700000,2.62300000,2.55600000,2.61700000
1738569600.0,2.61500000,2.61500000,2.55600000,2.58400000
1738570500.0,2.58500000,2.59100000,2.54000000,2.54300000
1738571400.0,2.54100000,2.54200000,2.49600000,2.51000000
1738572300.0,2.51000000,2.56800000,2.51000000,2.56800000
1738573200.0,2.56500000,2.66100000,2.56000000,2.65900000
1738574100.0,2.65800000,2.66200000,2.60400000,2.64300000
1738575000.0,2.64000000,2.65800000,2.62700000,2.63900000
1738575900.0,2.64000000,2.65400000,2.59800000,2.59900000
1738576800.0,2.60100000,2.61500000,2.55300000,2.56300000
1738577700.0,2.56400000,2.58300000,2.54500000,2.57400000
1738578600.0,2.57600000,2.61500000,2.57200000,2.59100000
1738579500.0,2.59200000,2.62300000,2.57900000,2.61600000
1738580400.0,2.61700000,2.61700000,2.58700000,2.60100000
1738581300.0,2.60100000,2.61700000,2.57400000,2.59400000
1738582200.0,2.59200000,2.61500000,2.58500000,2.59800000
1738583100.0,2.59800000,2.61800000,2.59200000,2.60500000
