time,open,high,low,close
1738540800.0,4.23400000,4.24200000,4.18000000,4.18100000
1738541700.0,4.17700000,4.17700000,4.09800000,4.13100000
1738542600.0,4.13600000,4.13900000,3.97800000,3.97800000
1738543500.0,3.97800000,4.13000000,3.97800000,4.10600000
1738544400.0,4.10900000,4.13300000,4.02000000,4.03600000
1738545300.0,4.03200000,4.03800000,3.98000000,3.98000000
1738546200.0,3.98500000,4.01600000,3.95000000,3.95500000
1738547100.0,3.95700000,3.95700000,3.50000000,3.64300000
1738548000.0,3.65000000,3.76500000,3.28500000,3.75600000
1738548900.0,3.75200000,3.75700000,3.61500000,3.65200000
1738549800.0,3.64800000,3.65000000,3.53400000,3.54000000
1738550700.0,3.54300000,3.55000000,3.48300000,3.54600000
1738551600.0,3.54400000,3.67700000,3.53800000,3.66400000
1738552500.0,3.66700000,3.73600000,3.66400000,3.68500000
1738553400.0,3.68500000,3.68500000,3.64800000,3.66600000
1738554300.0,3.66800000,3.74900000,3.65600000,3.70400000
1738555200.0,3.70500000,3.75000000,3.66200000,3.66200000
1738556100.0,3.67500000,3.68400000,3.60300000,3.61600000
1738557000.0,3.61400000,3.62600000,3.57500000,3.59500000
1738557900.0,3.59000000,3.62700000,3.56100000,3.56600000
1738558800.0,3.56900000,3.63400000,3.56000000,3.61700000
1738559700.0,3.61500000,3.71900000,3.61300000,3.70200000
1738560600.0,3.70000000,3.72100000,3.67500000,3.69700000
1738561500.0,3.69800000,3.77400000,3.69500000,3.76900000
1738562400.0,3.76800000,3.77000000,3.71200000,3.72000000
1738563300.0,3.72400000,3.79400000,3.71000000,3.78700000
1738564200.0,3.78700000,3.82000000,3.76700000,3.78900000
1738565100.0,3.78700000,3.84000000,3.78700000,3.82100000
1738566000.0,3.82900000,3.84700000,3.81400000,3.83700000
1738566900.0,3.84400000,3.87700000,3.83000000,3.83700000
1738567800.0,3.83400000,3.88700000,3.81600000,3.87000000
1738568700.0,3.86800000,3.91800000,3.85700000,3.91700000
1738569600.0,3.91100000,3.91100000,3.84900000,3.88700000
1738570500.0,3.89000000,3.89500000,3.82400000,3.83300000
1738571400.0,3.83600000,3.83900000,3.79400000,3.80500000
1738572300.0,3.80400000,3.84700000,3.80300000,3.84500000
1738573200.0,3.85200000,3.96400000,3.84800000,3.91400000
1738574100.0,3.91000000,3.91100000,3.84900000,3.88100000
1738575000.0,3.87400000,3.88800000,3.82600000,3.84500000
1738575900.0,3.84100000,3.85600000,3.80700000,3.81900000
1738576800.0,3.82900000,3.84400000,3.81600000,3.83900000
1738577700.0,3.84100000,3.84300000,3.80000000,3.83000000
1738578600.0,3.83300000,3.90300000,3.83200000,3.87200000
1738579500.0,3.88300000,3.91100000,3.86700000,3.90400000
1738580400.0,3.90500000,3.90500000,3.86900000,3.87300000
1738581300.0,3.87400000,3.87400000,3.84300000,3.85600000
1738582200.0,3.85500000,3.86000000,3.81900000,3.82900000
1738583100.0,3.83400000,3.84400000,3.81200000,3.82300000
1738584000.0,3.82200000,3.88900000,3.82200000,3.88400000
1738584900.0,3.88200000,3.92900000,3.87500000,3.88000000
1738585800.0,3.87700000,3.88700000,3.84800000,3.84800000
1738586700.0,3.84700000,3.84800000,3.79000000,3.79900000
1738587600.0,3.80000000,3.84300000,3.79100000,3.79600000
1738588500.0,3.79300000,3.82700000,3.75100000,3.75600000
1738589400.0,3.76500000,3.82400000,3.75300000,3.82200000
1738590300.0,3.81600000,3.82000000,3.75700000,3.77100000
1738591200.0,3.77500000,3.77500000,3.69800000,3.71400000
1738592100.0,3.71200000,3.74200000,3.66200000,3.70800000
1738593000.0,3.70600000,3.91400000,3.68000000,3.88800000
1738593900.0,3.89100000,3.92500000,3.84100000,3.90900000
1738594800.0,3.90900000,3.92300000,3.88000000,3.88400000
1738595700.0,3.88400000,4.03300000,3.86100000,3.98500000
1738596600.0,3.98100000,4.04200000,3.94900000,4.00500000
1738597500.0,4.00600000,4.03800000,3.95900000,3.97200000
1738598400.0,3.96600000,4.01100000,3.95000000,3.96500000
1738599300.0,3.97100000,4.02400000,3.94500000,4.00300000
1738600200.0,4.00400000,4.04300000,3.99800000,4.03700000
1738601100.0,4.04200000,4.05800000,4.01400000,4.01500000
1738602000.0,4.01200000,4.02400000,3.97800000,4.01000000
1738602900.0,4.00700000,4.04600000,4.00100000,4.03200000
1738603800.0,4.02700000,4.03500000,4.00500000,4.03000000
1738604700.0,4.02100000,4.08300000,4.02100000,4.07100000
1738605600.0,4.07100000,4.07800000,4.04600000,4.05800000
1738606500.0,4.05800000,4.08400000,4.04600000,4.07600000
1738607400.0,4.07400000,4.13400000,4.06500000,4.10400000
1738608300.0,4.10100000,4.12500000,4.09400000,4.12000000
1738609200.0,4.11800000,4.13500000,4.11600000,4.12300000
1738610100.0,4.12400000,4.18400000,4.12400000,4.15200000
1738611000.0,4.14600000,4.21100000,4.14100000,4.19500000
1738611900.0,4.20300000,4.24200000,4.19400000,4.24100000
1738612800.0,4.23800000,4.24500000,4.11700000,4.13600000
1738613700.0,4.13400000,4.17500000,4.13400000,4.15900000
1738614600.0,4.17100000,4.19100000,4.15000000,4.16000000
1738615500.0,4.15100000,4.21000000,4.14300000,4.18300000
1738616400.0,4.19000000,4.22900000,4.18300000,4.21600000
1738617300.0,4.21000000,4.25200000,4.19700000,4.25200000
1738618200.0,4.25100000,4.29900000,4.24500000,4.27700000
1738619100.0,4.27800000,4.36000000,4.27000000,4.36000000
1738620000.0,4.35500000,4.38700000,4.34100000,4.34600000
1738620900.0,4.34600000,4.39300000,4.32900000,4.38300000
1738621800.0,4.38100000,4.38100000,4.34200000,4.35600000
1738622700.0,4.35200000,4.36000000,4.30000000,4.33700000
1738623600.0,4.33800000,4.35900000,4.32300000,4.34400000
1738624500.0,4.34000000,4.34300000,4.32300000,4.34100000
1738625400.0,4.34900000,4.35500000,4.31100000,4.33500000
