time,open,high,low,close
1738540800.0,2.23100000,2.23300000,2.18000000,2.18000000
1738541700.0,2.17900000,2.17900000,2.14200000,2.15800000
1738542600.0,2.15800000,2.16200000,2.04400000,2.05000000
1738543500.0,2.04800000,2.11400000,2.04700000,2.11000000
1738544400.0,2.11000000,2.11400000,2.07600000,2.08900000
1738545300.0,2.08300000,2.08300000,2.06200000,2.06300000
1738546200.0,2.06300000,2.07500000,2.04800000,2.05200000
1738547100.0,2.05000000,2.05000000,1.85800000,1.87300000
1738548000.0,1.87300000,1.88800000,1.77800000,1.85100000
1738548900.0,1.85100000,1.88300000,1.84900000,1.86400000
1738549800.0,1.86400000,1.86400000,1.81500000,1.81700000
1738550700.0,1.81700000,1.82600000,1.78600000,1.81100000
1738551600.0,1.81000000,1.85500000,1.81000000,1.85500000
1738552500.0,1.85600000,1.89100000,1.85600000,1.86400000
1738553400.0,1.86400000,1.86400000,1.85000000,1.86100000
1738554300.0,1.86400000,1.93100000,1.86400000,1.90600000
1738555200.0,1.90500000,1.92900000,1.89400000,1.89400000
1738556100.0,1.89300000,1.89300000,1.86300000,1.87900000
1738557000.0,1.87900000,1.89000000,1.86200000,1.86900000
1738557900.0,1.86900000,1.88300000,1.86400000,1.87400000
1738558800.0,1.87300000,1.90900000,1.86900000,1.90200000
1738559700.0,1.90200000,1.92900000,1.89200000,1.92900000
1738560600.0,1.92700000,1.93900000,1.92400000,1.93400000
1738561500.0,1.93400000,1.98200000,1.93300000,1.98200000
1738562400.0,1.98200000,1.98200000,1.95700000,1.97400000
1738563300.0,1.97900000,1.99400000,1.97000000,1.99200000
1738564200.0,1.99100000,2.00300000,1.98700000,1.99100000
1738565100.0,1.99100000,2.02600000,1.99100000,2.02500000
1738566000.0,2.02300000,2.03900000,2.01900000,2.02900000
1738566900.0,2.03200000,2.03500000,2.02300000,2.03300000
1738567800.0,2.03300000,2.05200000,2.02500000,2.04800000
1738568700.0,2.04500000,2.06600000,2.04200000,2.06400000
1738569600.0,2.06200000,2.06200000,2.03300000,2.04100000
1738570500.0,2.04000000,2.04300000,2.01400000,2.02100000
1738571400.0,2.01700000,2.01800000,1.99600000,2.00200000
1738572300.0,2.00600000,2.02700000,1.99800000,2.02600000
1738573200.0,2.03000000,2.09100000,2.02700000,2.08900000
1738574100.0,2.08900000,2.09200000,2.06600000,2.08800000
1738575000.0,2.08400000,2.08800000,2.06600000,2.06600000
1738575900.0,2.06700000,2.08000000,2.05500000,2.06200000
1738576800.0,2.06000000,2.07400000,2.04900000,2.05800000
1738577700.0,2.05800000,2.07100000,2.04300000,2.07100000
1738578600.0,2.07500000,2.09800000,2.07500000,2.08700000
1738579500.0,2.08800000,2.09800000,2.08800000,2.09800000
1738580400.0,2.09700000,2.09800000,2.08600000,2.09200000
1738581300.0,2.09200000,2.09300000,2.08000000,2.08900000
1738582200.0,2.08700000,2.08700000,2.06200000,2.06300000
1738583100.0,2.06600000,2.06900000,2.06100000,2.06800000
1738584000.0,2.06800000,2.08300000,2.06500000,2.07600000
1738584900.0,2.07900000,2.10000000,2.07900000,2.08400000
1738585800.0,2.08200000,2.08200000,2.07400000,2.07500000
1738586700.0,2.07400000,2.07800000,2.06900000,2.07300000
1738587600.0,2.07100000,2.07100000,2.04500000,2.04500000
1738588500.0,2.04500000,2.05200000,2.02800000,2.03000000
1738589400.0,2.02700000,2.05300000,2.02500000,2.05300000
1738590300.0,2.05300000,2.05500000,2.04000000,2.05000000
1738591200.0,2.05300000,2.05300000,2.00600000,2.02100000
1738592100.0,2.01600000,2.03100000,2.00500000,2.02400000
1738593000.0,2.02400000,2.08600000,2.02100000,2.08400000
1738593900.0,2.08400000,2.09800000,2.07400000,2.09800000
1738594800.0,2.09500000,2.10300000,2.08600000,2.09600000
1738595700.0,2.09400000,2.15000000,2.09100000,2.13400000
1738596600.0,2.13300000,2.16400000,2.11500000,2.15500000
1738597500.0,2.15200000,2.16100000,2.12800000,2.14800000
1738598400.0,2.14800000,2.16200000,2.12800000,2.13900000
1738599300.0,2.14500000,2.16200000,2.13500000,2.15900000
1738600200.0,2.15800000,2.17800000,2.15000000,2.17200000
1738601100.0,2.17400000,2.17800000,2.15300000,2.15400000
1738602000.0,2.15400000,2.15700000,2.14400000,2.14600000
1738602900.0,2.14500000,2.15900000,2.13500000,2.14900000
1738603800.0,2.14600000,2.15000000,2.13100000,2.14600000
1738604700.0,2.14600000,2.17700000,2.14600000,2.17100000
1738605600.0,2.17100000,2.17100000,2.14900000,2.16100000
1738606500.0,2.16100000,2.16300000,2.15400000,2.15400000
1738607400.0,2.15500000,2.16700000,2.15200000,2.15800000
1738608300.0,2.15700000,2.16800000,2.15600000,2.16800000
1738609200.0,2.16900000,2.17500000,2.16200000,2.17100000
1738610100.0,2.16700000,2.18400000,2.16700000,2.17100000
1738611000.0,2.16900000,2.17700000,2.15300000,2.16900000
1738611900.0,2.17000000,2.17800000,2.16700000,2.17500000
1738612800.0,2.17200000,2.17400000,2.14500000,2.14500000
1738613700.0,2.14600000,2.15900000,2.14500000,2.15000000
1738614600.0,2.15100000,2.16000000,2.15000000,2.15200000
1738615500.0,2.15000000,2.16200000,2.15000000,2.15300000
1738616400.0,2.15600000,2.16700000,2.15400000,2.15600000
1738617300.0,2.16000000,2.17600000,2.15100000,2.17100000
1738618200.0,2.17000000,2.18600000,2.16900000,2.17400000
1738619100.0,2.17600000,2.20700000,2.17600000,2.20600000
1738620000.0,2.20600000,2.21600000,2.19700000,2.19700000
1738620900.0,2.19800000,2.21200000,2.18400000,2.20900000
1738621800.0,2.21200000,2.21200000,2.20200000,2.20900000
1738622700.0,2.21100000,2.21100000,2.19300000,2.20400000
1738623600.0,2.20100000,2.20800000,2.19600000,2.20600000
1738624500.0,2.20400000,2.20500000,2.19000000,2.19200000
1738625400.0,2.19400000,2.19400000,2.18100000,2.19100000
1738626300.0,2.19000000,2.19700000,2.18600000,2.19700000
1738627200.0,2.19700000,2.20900000,2.19400000,2.20300000
1738628100.0,2.20300000,2.20600000,2.19000000,2.19400000
1738629000.0,2.19300000,2.19300000,2.18500000,2.19300000
1738629900.0,2.19300000,2.19300000,2.16900000,2.17200000
1738630800.0,2.17300000,2.18400000,2.17200000,2.17300000
1738631700.0,2.17600000,2.18400000,2.17400000,2.18400000
1738632600.0,2.18500000,2.18500000,2.17600000,2.18500000
1738633500.0,2.18200000,2.18300000,2.17100000,2.17700000
1738634400.0,2.17400000,2.17700000,2.16500000,2.16600000
1738635300.0,2.16300000,2.16900000,2.16200000,2.16700000
1738636200.0,2.16700000,2.17200000,2.15700000,2.16100000
1738637100.0,2.16100000,2.16100000,2.14500000,2.14700000
1738638000.0,2.14700000,2.15300000,2.14600000,2.15300000
1738638900.0,2.15300000,2.15400000,2.14400000,2.14600000
1738639800.0,2.14400000,2.14600000,2.13600000,2.14400000
1738640700.0,2.14400000,2.14500000,2.13900000,2.14500000
1738641600.0,2.14400000,2.16300000,2.14400000,2.16300000
1738642500.0,2.16300000,2.17100000,2.16300000,2.16900000
1738643400.0,2.17000000,2.18800000,2.16300000,2.18600000
1738644300.0,2.18700000,2.18900000,2.17000000,2.17400000
1738645200.0,2.17300000,2.17300000,2.11400000,2.11700000
1738646100.0,2.11300000,2.11500000,2.08600000,2.08600000
1738647000.0,2.08600000,2.09500000,2.06200000,2.07400000
1738647900.0,2.07300000,2.07900000,2.06400000,2.06900000
1738648800.0,2.06900000,2.10400000,2.06700000,2.09900000
1738649700.0,2.09900000,2.11100000,2.09700000,2.10700000
1738650600.0,2.10300000,2.10300000,2.08800000,2.09600000
1738651500.0,2.09500000,2.11800000,2.09300000,2.11400000
1738652400.0,2.11800000,2.12600000,2.11300000,2.12000000
1738653300.0,2.11600000,2.12600000,2.11000000,2.11000000
1738654200.0,2.10900000,2.11000000,2.08200000,2.08600000
1738655100.0,2.08200000,2.08900000,2.06500000,2.08900000
1738656000.0,2.08700000,2.14700000,2.08500000,2.14300000
1738656900.0,2.14700000,2.14700000,2.11100000,2.12300000
1738657800.0,2.12100000,2.12300000,2.11200000,2.11500000
1738658700.0,2.11300000,2.11500000,2.10200000,2.10600000
1738659600.0,2.10800000,2.13600000,2.10700000,2.13500000
1738660500.0,2.13600000,2.16700000,2.12500000,2.15900000
1738661400.0,2.15700000,2.17000000,2.14500000,2.14900000
1738662300.0,2.14700000,2.15200000,2.14200000,2.14400000
1738663200.0,2.14400000,2.17500000,2.14000000,2.16900000
1738664100.0,2.17200000,2.19200000,2.17100000,2.18400000
