time,open,high,low,close
1738540800.0,3.04300000,3.04300000,2.93600000,2.94000000
1738541700.0,2.93900000,2.93900000,2.84200000,2.86300000
1738542600.0,2.86200000,2.87700000,2.71500000,2.72700000
1738543500.0,2.72600000,2.83900000,2.72600000,2.81000000
1738544400.0,2.81100000,2.84000000,2.76700000,2.76900000
1738545300.0,2.76900000,2.78200000,2.73300000,2.73900000
1738546200.0,2.73900000,2.75100000,2.70400000,2.73600000
1738547100.0,2.73700000,2.73800000,2.33200000,2.50300000
1738548000.0,2.50400000,2.55100000,2.22300000,2.51200000
1738548900.0,2.51000000,2.55400000,2.48100000,2.49800000
1738549800.0,2.49800000,2.50000000,2.45100000,2.49300000
1738550700.0,2.49300000,2.51000000,2.44700000,2.49800000
1738551600.0,2.49900000,2.59500000,2.49300000,2.56000000
1738552500.0,2.55700000,2.59800000,2.54000000,2.54100000
1738553400.0,2.54200000,2.55700000,2.52300000,2.53800000
1738554300.0,2.53900000,2.57600000,2.53600000,2.55000000
1738555200.0,2.55100000,2.56900000,2.50600000,2.51100000
1738556100.0,2.51000000,2.52400000,2.47700000,2.47900000
1738557000.0,2.47800000,2.50300000,2.44500000,2.45200000
1738557900.0,2.45300000,2.47200000,2.43100000,2.43600000
1738558800.0,2.43500000,2.51700000,2.43300000,2.50800000
1738559700.0,2.50900000,2.55300000,2.50400000,2.52000000
1738560600.0,2.51800000,2.54900000,2.50800000,2.52600000
1738561500.0,2.52700000,2.57400000,2.52100000,2.56400000
1738562400.0,2.56200000,2.56200000,2.52300000,2.55900000
1738563300.0,2.55800000,2.61100000,2.55700000,2.59800000
1738564200.0,2.59600000,2.61700000,2.58900000,2.61600000
1738565100.0,2.61700000,2.69400000,2.61500000,2.66700000
1738566000.0,2.66700000,2.71100000,2.64700000,2.69500000
1738566900.0,2.69700000,2.81400000,2.69600000,2.76300000
1738567800.0,2.76400000,2.76800000,2.70300000,2.70900000
1738568700.0,2.71000000,2.74500000,2.69500000,2.73500000
1738569600.0,2.73200000,2.73200000,2.67400000,2.69000000
1738570500.0,2.68900000,2.69000000,2.63800000,2.64200000
1738571400.0,2.64300000,2.64300000,2.60500000,2.61600000
1738572300.0,2.61500000,2.65300000,2.60900000,2.63800000
1738573200.0,2.63700000,2.68500000,2.63000000,2.67700000
1738574100.0,2.67700000,2.67700000,2.62300000,2.64300000
1738575000.0,2.64300000,2.64900000,2.61800000,2.63500000
1738575900.0,2.63600000,2.66200000,2.62700000,2.64200000
1738576800.0,2.64300000,2.67700000,2.64300000,2.66200000
1738577700.0,2.66400000,2.68100000,2.63900000,2.66100000
1738578600.0,2.66200000,2.69900000,2.65600000,2.68800000
1738579500.0,2.68600000,2.71600000,2.68100000,2.71400000
1738580400.0,2.71200000,2.71800000,2.68300000,2.71300000
1738581300.0,2.71100000,2.71100000,2.67400000,2.68100000
1738582200.0,2.68000000,2.68400000,2.66000000,2.67300000
1738583100.0,2.67700000,2.68700000,2.66200000,2.67000000
1738584000.0,2.66900000,2.73500000,2.66900000,2.71400000
1738584900.0,2.71300000,2.74700000,2.70900000,2.72100000
1738585800.0,2.71900000,2.73100000,2.70700000,2.71100000
1738586700.0,2.71000000,2.71200000,2.66700000,2.67500000
1738587600.0,2.67400000,2.69100000,2.65300000,2.65400000
1738588500.0,2.65500000,2.67200000,2.61300000,2.61700000
1738589400.0,2.61600000,2.68000000,2.61500000,2.67500000
1738590300.0,2.67500000,2.67800000,2.63300000,2.65100000
1738591200.0,2.65200000,2.65700000,2.58500000,2.59900000
1738592100.0,2.59700000,2.62300000,2.56800000,2.60600000
1738593000.0,2.60500000,2.75400000,2.58300000,2.71900000
1738593900.0,2.72000000,2.74100000,2.68600000,2.73700000
1738594800.0,2.73500000,2.74000000,2.71000000,2.71600000
1738595700.0,2.71800000,2.85400000,2.70900000,2.80500000
1738596600.0,2.80400000,2.85500000,2.78100000,2.83300000
1738597500.0,2.83500000,2.85800000,2.80500000,2.83000000
1738598400.0,2.83000000,2.88500000,2.81800000,2.85600000
1738599300.0,2.85600000,2.89200000,2.84500000,2.86500000
1738600200.0,2.86700000,2.91200000,2.86100000,2.90200000
1738601100.0,2.90300000,2.92400000,2.87400000,2.88200000
1738602000.0,2.88100000,2.88400000,2.85200000,2.86900000
1738602900.0,2.86800000,2.88800000,2.85200000,2.85700000
1738603800.0,2.85500000,2.85700000,2.82700000,2.84900000
1738604700.0,2.84900000,2.88400000,2.84300000,2.87400000
1738605600.0,2.87300000,2.88600000,2.85700000,2.87200000
1738606500.0,2.87300000,2.88300000,2.86000000,2.87000000
1738607400.0,2.87100000,2.89800000,2.86100000,2.87800000
1738608300.0,2.87800000,2.92600000,2.86800000,2.92100000
1738609200.0,2.92100000,2.95900000,2.91900000,2.95300000
1738610100.0,2.95100000,2.97700000,2.94200000,2.96000000
1738611000.0,2.96000000,3.04700000,2.95500000,3.03300000
1738611900.0,3.03700000,3.18200000,3.03300000,3.13300000
1738612800.0,3.13100000,3.16800000,3.05100000,3.12900000
