time,open,high,low,close
1738540800.0,5.64300000,5.64700000,5.49600000,5.52700000
1738541700.0,5.52800000,5.54200000,5.37100000,5.50900000
1738542600.0,5.51500000,5.51800000,5.16600000,5.21000000
1738543500.0,5.20900000,5.39900000,5.20500000,5.28600000
1738544400.0,5.28600000,5.37000000,5.26300000,5.28800000
1738545300.0,5.28600000,5.29700000,5.10500000,5.14600000
1738546200.0,5.14700000,5.20600000,5.07100000,5.10600000
1738547100.0,5.11000000,5.11000000,4.20500000,4.63100000
1738548000.0,4.63200000,4.72400000,4.15000000,4.72400000
1738548900.0,4.72200000,5.03700000,4.70200000,4.80600000
1738549800.0,4.80500000,4.86700000,4.75200000,4.80600000
1738550700.0,4.80400000,4.83100000,4.70100000,4.77500000
1738551600.0,4.77800000,5.08900000,4.76100000,5.03400000
1738552500.0,5.03500000,5.14800000,5.01900000,5.03800000
1738553400.0,5.04000000,5.05400000,4.98000000,4.99100000
1738554300.0,4.99500000,5.13000000,4.99500000,5.06000000
1738555200.0,5.06000000,5.16700000,5.02100000,5.02900000
1738556100.0,5.03000000,5.06200000,4.95900000,4.98200000
1738557000.0,4.98000000,5.02100000,4.90100000,4.92900000
1738557900.0,4.92500000,4.93900000,4.83800000,4.85600000
1738558800.0,4.85900000,4.96800000,4.85700000,4.92000000
1738559700.0,4.91900000,5.04200000,4.91400000,5.00000000
1738560600.0,4.99700000,5.07500000,4.98300000,5.03200000
1738561500.0,5.03200000,5.11100000,5.01700000,5.10500000
1738562400.0,5.10300000,5.10300000,5.00300000,5.03900000
1738563300.0,5.04000000,5.17200000,5.02400000,5.14700000
1738564200.0,5.14900000,5.22500000,5.07900000,5.11300000
1738565100.0,5.11400000,5.19800000,5.11200000,5.18100000
1738566000.0,5.17800000,5.80000000,5.16100000,5.24100000
1738566900.0,5.24000000,5.30800000,5.22000000,5.26500000
1738567800.0,5.26800000,5.35800000,5.21900000,5.32600000
1738568700.0,5.32500000,5.44100000,5.31000000,5.41600000
1738569600.0,5.41600000,5.41600000,5.23900000,5.28500000
1738570500.0,5.28800000,5.30700000,5.23200000,5.24300000
1738571400.0,5.24000000,5.25400000,5.17200000,5.19300000
1738572300.0,5.19000000,5.29100000,5.18800000,5.29100000
1738573200.0,5.29100000,5.43100000,5.27000000,5.41900000
1738574100.0,5.41600000,5.41600000,5.28400000,5.36400000
1738575000.0,5.36500000,5.37700000,5.27800000,5.29500000
1738575900.0,5.29600000,5.33300000,5.25100000,5.25600000
1738576800.0,5.25700000,5.31100000,5.25700000,5.27000000
1738577700.0,5.27400000,5.32700000,5.23400000,5.31800000
1738578600.0,5.31600000,5.40200000,5.29400000,5.36100000
1738579500.0,5.36300000,5.44500000,5.35900000,5.44200000
1738580400.0,5.44000000,5.47400000,5.37600000,5.39500000
1738581300.0,5.39600000,5.39600000,5.32100000,5.33600000
1738582200.0,5.33300000,5.35900000,5.28600000,5.29900000
1738583100.0,5.30000000,5.31700000,5.27000000,5.27400000
