time,open,high,low,close
1738540800.0,4.70400000,4.71700000,4.63200000,4.63400000
1738541700.0,4.63300000,4.63400000,4.51500000,4.57300000
1738542600.0,4.57400000,4.58500000,4.30900000,4.35000000
1738543500.0,4.34700000,4.48300000,4.34200000,4.44100000
1738544400.0,4.44200000,4.48900000,4.40800000,4.42200000
1738545300.0,4.42100000,4.43100000,4.34800000,4.36100000
1738546200.0,4.36100000,4.39200000,4.26900000,4.29900000
1738547100.0,4.30000000,4.30200000,3.60300000,3.81500000
1738548000.0,3.81600000,3.87300000,3.26700000,3.77400000
1738548900.0,3.77200000,3.83300000,3.72600000,3.74800000
1738549800.0,3.74700000,3.85300000,3.70700000,3.84400000
1738550700.0,3.84600000,3.85300000,3.71600000,3.79600000
1738551600.0,3.79700000,3.94900000,3.78600000,3.93200000
1738552500.0,3.93400000,4.01300000,3.92200000,3.96400000
1738553400.0,3.96400000,3.96700000,3.92300000,3.96400000
1738554300.0,3.96400000,4.07300000,3.96400000,4.04300000
1738555200.0,4.04400000,4.10400000,4.01100000,4.01900000
1738556100.0,4.01800000,4.03100000,3.95100000,3.96000000
1738557000.0,3.95800000,3.98600000,3.91800000,3.93600000
1738557900.0,3.94000000,3.97900000,3.90700000,3.91300000
1738558800.0,3.91300000,4.03600000,3.91300000,4.01300000
1738559700.0,4.01100000,4.16200000,4.00300000,4.13800000
1738560600.0,4.13900000,4.15800000,4.09700000,4.11100000
1738561500.0,4.11200000,4.18500000,4.09800000,4.17900000
1738562400.0,4.17700000,4.17800000,4.10600000,4.16800000
1738563300.0,4.16800000,4.24200000,4.14600000,4.22700000
1738564200.0,4.22600000,4.25600000,4.19200000,4.19700000
1738565100.0,4.19700000,4.25200000,4.19600000,4.24500000
1738566000.0,4.24400000,4.27200000,4.23100000,4.27200000
1738566900.0,4.27300000,4.31500000,4.27200000,4.31200000
1738567800.0,4.31400000,4.43000000,4.29300000,4.37400000
1738568700.0,4.37000000,4.42500000,4.35300000,4.40800000
1738569600.0,4.41000000,4.41000000,4.31900000,4.37200000
1738570500.0,4.37200000,4.37800000,4.32600000,4.36500000
1738571400.0,4.36500000,4.36700000,4.27300000,4.29500000
1738572300.0,4.29600000,4.35300000,4.29200000,4.35300000
1738573200.0,4.35300000,4.47300000,4.33100000,4.46200000
1738574100.0,4.45900000,4.45900000,4.36900000,4.37800000
1738575000.0,4.37700000,4.39000000,4.34000000,4.37000000
1738575900.0,4.36700000,4.38300000,4.33100000,4.34500000
1738576800.0,4.34700000,4.37900000,4.33100000,4.35300000
1738577700.0,4.35400000,4.41100000,4.31200000,4.38100000
1738578600.0,4.38200000,4.47500000,4.38100000,4.43600000
1738579500.0,4.43900000,4.51000000,4.43900000,4.50400000
1738580400.0,4.50400000,4.50400000,4.44700000,4.45500000
1738581300.0,4.45200000,4.45600000,4.41600000,4.42900000
1738582200.0,4.42900000,4.43200000,4.38000000,4.39400000
1738583100.0,4.40100000,4.40800000,4.37400000,4.40200000
1738584000.0,4.40300000,4.45700000,4.40300000,4.43300000
1738584900.0,4.43200000,4.50200000,4.42300000,4.44700000
1738585800.0,4.44500000,4.45200000,4.41500000,4.42500000
1738586700.0,4.42200000,4.42200000,4.32800000,4.34200000
1738587600.0,4.34300000,4.38300000,4.32900000,4.33100000
1738588500.0,4.33100000,4.36100000,4.29300000,4.29300000
1738589400.0,4.29300000,4.44100000,4.29300000,4.43200000
1738590300.0,4.42600000,4.43000000,4.34800000,4.37600000
1738591200.0,4.37700000,4.37800000,4.24700000,4.25100000
1738592100.0,4.25000000,4.28700000,4.15400000,4.18100000
1738593000.0,4.18200000,4.42700000,4.15400000,4.39800000
1738593900.0,4.40000000,4.47300000,4.35700000,4.46100000
1738594800.0,4.46000000,4.51000000,4.43800000,4.49600000
1738595700.0,4.49800000,4.73300000,4.47000000,4.66800000
1738596600.0,4.66600000,4.78200000,4.61000000,4.75300000
1738597500.0,4.75500000,4.79500000,4.65500000,4.69400000
1738598400.0,4.69200000,4.73700000,4.64200000,4.68100000
1738599300.0,4.68100000,4.80200000,4.65600000,4.77400000
1738600200.0,4.77400000,4.80900000,4.73100000,4.80400000
1738601100.0,4.80500000,4.82800000,4.75400000,4.76200000
1738602000.0,4.76600000,4.77700000,4.70700000,4.73700000
1738602900.0,4.73600000,4.79600000,4.72000000,4.74400000
1738603800.0,4.74600000,4.74900000,4.70300000,4.73600000
1738604700.0,4.73700000,4.75900000,4.69900000,4.72600000
1738605600.0,4.72400000,4.75500000,4.68800000,4.70700000
1738606500.0,4.71000000,4.79400000,4.69500000,4.76200000
1738607400.0,4.76300000,4.83600000,4.75300000,4.80000000
