time,open,high,low,close
1738540800.0,6.72000000,6.72000000,6.62000000,6.62000000
1738541700.0,6.62000000,6.62000000,6.45000000,6.50000000
1738542600.0,6.49000000,6.50000000,6.22000000,6.22000000
1738543500.0,6.23000000,6.44000000,6.23000000,6.41000000
1738544400.0,6.40000000,6.44000000,6.33000000,6.35000000
1738545300.0,6.35000000,6.35000000,6.25000000,6.26000000
1738546200.0,6.27000000,6.32000000,6.22000000,6.24000000
1738547100.0,6.25000000,6.25000000,5.42000000,5.73000000
1738548000.0,5.77000000,5.81000000,5.07000000,5.63000000
1738548900.0,5.64000000,5.69000000,5.51000000,5.51000000
1738549800.0,5.51000000,5.56000000,5.45000000,5.47000000
1738550700.0,5.48000000,5.50000000,5.30000000,5.38000000
1738551600.0,5.39000000,5.60000000,5.38000000,5.56000000
1738552500.0,5.57000000,5.66000000,5.55000000,5.56000000
1738553400.0,5.56000000,5.56000000,5.49000000,5.53000000
1738554300.0,5.53000000,5.63000000,5.52000000,5.54000000
1738555200.0,5.55000000,5.64000000,5.49000000,5.49000000
1738556100.0,5.49000000,5.53000000,5.40000000,5.44000000
1738557000.0,5.43000000,5.45000000,5.36000000,5.39000000
1738557900.0,5.38000000,5.41000000,5.32000000,5.33000000
1738558800.0,5.33000000,5.38000000,5.32000000,5.34000000
1738559700.0,5.34000000,5.52000000,5.34000000,5.49000000
1738560600.0,5.48000000,5.51000000,5.46000000,5.51000000
1738561500.0,5.51000000,5.64000000,5.50000000,5.64000000
1738562400.0,5.64000000,5.64000000,5.57000000,5.63000000
1738563300.0,5.64000000,5.74000000,5.61000000,5.73000000
1738564200.0,5.73000000,5.77000000,5.69000000,5.70000000
1738565100.0,5.70000000,5.79000000,5.69000000,5.78000000
1738566000.0,5.78000000,5.81000000,5.76000000,5.78000000
1738566900.0,5.79000000,5.82000000,5.76000000,5.80000000
1738567800.0,5.81000000,5.95000000,5.81000000,5.93000000
1738568700.0,5.92000000,5.98000000,5.90000000,5.97000000
1738569600.0,5.96000000,5.96000000,5.80000000,5.83000000
1738570500.0,5.85000000,5.86000000,5.75000000,5.76000000
1738571400.0,5.76000000,5.76000000,5.67000000,5.71000000
1738572300.0,5.70000000,5.83000000,5.70000000,5.83000000
1738573200.0,5.83000000,5.99000000,5.82000000,5.93000000
1738574100.0,5.94000000,5.94000000,5.85000000,5.88000000
1738575000.0,5.88000000,5.90000000,5.82000000,5.84000000
1738575900.0,5.85000000,5.86000000,5.80000000,5.81000000
1738576800.0,5.81000000,5.86000000,5.81000000,5.85000000
1738577700.0,5.85000000,5.89000000,5.80000000,5.87000000
1738578600.0,5.88000000,5.99000000,5.87000000,5.93000000
1738579500.0,5.94000000,6.00000000,5.93000000,5.99000000
1738580400.0,5.99000000,6.00000000,5.96000000,5.98000000
1738581300.0,5.97000000,6.03000000,5.93000000,6.00000000
1738582200.0,6.00000000,6.00000000,5.94000000,5.95000000
1738583100.0,5.96000000,5.97000000,5.91000000,5.92000000
1738584000.0,5.93000000,6.02000000,5.93000000,5.99000000
1738584900.0,5.98000000,6.07000000,5.97000000,5.98000000
1738585800.0,5.98000000,5.99000000,5.91000000,5.91000000
1738586700.0,5.92000000,5.92000000,5.80000000,5.81000000
1738587600.0,5.83000000,5.90000000,5.82000000,5.83000000
1738588500.0,5.82000000,5.87000000,5.74000000,5.74000000
1738589400.0,5.74000000,5.88000000,5.74000000,5.87000000
1738590300.0,5.86000000,5.87000000,5.77000000,5.81000000
1738591200.0,5.81000000,5.81000000,5.67000000,5.68000000
