time,open,high,low,close
1738540800.0,1.33400000,1.33600000,1.30200000,1.30400000
1738541700.0,1.30300000,1.32100000,1.28400000,1.30700000
1738542600.0,1.30700000,1.31200000,1.27200000,1.27900000
1738543500.0,1.27900000,1.33100000,1.27900000,1.32100000
1738544400.0,1.32100000,1.34500000,1.30500000,1.31400000
1738545300.0,1.31300000,1.32400000,1.28400000,1.28700000
1738546200.0,1.28800000,1.31400000,1.28200000,1.29500000
1738547100.0,1.29500000,1.29500000,1.09000000,1.16600000
1738548000.0,1.16600000,1.18800000,1.01800000,1.16100000
1738548900.0,1.16000000,1.22000000,1.14000000,1.18800000
1738549800.0,1.18800000,1.21000000,1.16700000,1.17300000
1738550700.0,1.17400000,1.19900000,1.15500000,1.19200000
1738551600.0,1.19300000,1.21600000,1.17900000,1.20200000
1738552500.0,1.20200000,1.22200000,1.18800000,1.19200000
1738553400.0,1.19100000,1.19300000,1.16800000,1.17300000
1738554300.0,1.17300000,1.19300000,1.16600000,1.17200000
1738555200.0,1.17300000,1.19700000,1.16800000,1.17900000
1738556100.0,1.17900000,1.19500000,1.17100000,1.18000000
1738557000.0,1.18100000,1.21000000,1.17900000,1.19200000
1738557900.0,1.19200000,1.20700000,1.17600000,1.18100000
1738558800.0,1.18000000,1.19000000,1.17100000,1.17900000
1738559700.0,1.17900000,1.23300000,1.17800000,1.21300000
1738560600.0,1.21300000,1.26200000,1.21300000,1.25900000
1738561500.0,1.26000000,1.28000000,1.25000000,1.27400000
1738562400.0,1.27400000,1.27500000,1.24800000,1.26300000
1738563300.0,1.26300000,1.27400000,1.25600000,1.26900000
1738564200.0,1.26900000,1.30000000,1.26300000,1.27200000
1738565100.0,1.27200000,1.29700000,1.27100000,1.28200000
1738566000.0,1.28100000,1.28900000,1.26400000,1.26800000
1738566900.0,1.26700000,1.27100000,1.24300000,1.24500000
1738567800.0,1.24500000,1.25900000,1.22100000,1.24400000
1738568700.0,1.24300000,1.26400000,1.24000000,1.25100000
1738569600.0,1.25000000,1.25100000,1.22200000,1.23400000
1738570500.0,1.23500000,1.23900000,1.21800000,1.22000000
1738571400.0,1.21900000,1.22000000,1.19800000,1.19900000
1738572300.0,1.20000000,1.21300000,1.19900000,1.20500000
1738573200.0,1.20400000,1.22700000,1.20200000,1.22300000
1738574100.0,1.22200000,1.22200000,1.20300000,1.21200000
1738575000.0,1.21200000,1.22500000,1.20300000,1.21000000
1738575900.0,1.20900000,1.21600000,1.20200000,1.20500000
1738576800.0,1.20500000,1.21400000,1.19700000,1.21300000
1738577700.0,1.21400000,1.22400000,1.20400000,1.22300000
1738578600.0,1.22200000,1.25600000,1.22100000,1.24000000
1738579500.0,1.24000000,1.26500000,1.24000000,1.25600000
1738580400.0,1.25700000,1.25800000,1.23500000,1.23600000
1738581300.0,1.23600000,1.23600000,1.22300000,1.22500000
1738582200.0,1.22400000,1.22400000,1.21000000,1.21700000
1738583100.0,1.21700000,1.27200000,1.21100000,1.26300000
1738584000.0,1.26400000,1.27900000,1.24400000,1.25600000
1738584900.0,1.25500000,1.25900000,1.23900000,1.24200000
1738585800.0,1.24100000,1.24500000,1.23200000,1.23700000
1738586700.0,1.23800000,1.24300000,1.22500000,1.23000000
1738587600.0,1.23000000,1.25900000,1.23000000,1.24500000
1738588500.0,1.24600000,1.26700000,1.23700000,1.23800000
1738589400.0,1.23800000,1.25600000,1.23800000,1.25300000
1738590300.0,1.25300000,1.26300000,1.24800000,1.25100000
1738591200.0,1.25100000,1.25100000,1.21400000,1.21400000
1738592100.0,1.21400000,1.22500000,1.19000000,1.20200000
1738593000.0,1.20100000,1.27000000,1.19200000,1.26500000
1738593900.0,1.26500000,1.35000000,1.25600000,1.34600000
1738594800.0,1.34500000,1.39500000,1.33600000,1.37700000
1738595700.0,1.37700000,1.41000000,1.36100000,1.37600000
1738596600.0,1.37500000,1.42700000,1.35200000,1.40000000
1738597500.0,1.39900000,1.43800000,1.39300000,1.41400000
1738598400.0,1.41400000,1.43500000,1.40500000,1.43100000
1738599300.0,1.43200000,1.50200000,1.42000000,1.46800000
1738600200.0,1.46900000,1.51600000,1.44800000,1.48800000
1738601100.0,1.48700000,1.49800000,1.46600000,1.47100000
1738602000.0,1.47200000,1.51300000,1.47000000,1.49000000
1738602900.0,1.49000000,1.56700000,1.47900000,1.53900000
1738603800.0,1.53900000,1.55000000,1.50900000,1.51600000
1738604700.0,1.51600000,1.53600000,1.49800000,1.51500000
1738605600.0,1.51500000,1.52000000,1.49400000,1.49800000
1738606500.0,1.49800000,1.54100000,1.49800000,1.53800000
1738607400.0,1.53800000,1.57400000,1.52500000,1.55300000
1738608300.0,1.55300000,1.56500000,1.53700000,1.54700000
1738609200.0,1.54600000,1.54700000,1.52500000,1.53300000
1738610100.0,1.53400000,1.53700000,1.50300000,1.50500000
1738611000.0,1.50500000,1.51800000,1.48500000,1.49000000
1738611900.0,1.48900000,1.50300000,1.48100000,1.49600000
1738612800.0,1.49500000,1.50000000,1.45700000,1.47000000
1738613700.0,1.46900000,1.48100000,1.46200000,1.46400000
1738614600.0,1.46500000,1.47100000,1.44500000,1.45300000
1738615500.0,1.45200000,1.46500000,1.45000000,1.45400000
1738616400.0,1.45500000,1.46800000,1.44600000,1.45900000
1738617300.0,1.45900000,1.47500000,1.45400000,1.47100000
1738618200.0,1.47200000,1.47700000,1.45600000,1.46200000
1738619100.0,1.46300000,1.48500000,1.45900000,1.48000000
1738620000.0,1.48000000,1.49600000,1.46300000,1.46500000
1738620900.0,1.46500000,1.47400000,1.46000000,1.46800000
1738621800.0,1.46900000,1.47000000,1.44800000,1.45600000
1738622700.0,1.45600000,1.46700000,1.44700000,1.45000000
1738623600.0,1.45100000,1.45700000,1.42600000,1.45300000
1738624500.0,1.45300000,1.46100000,1.44700000,1.46000000
1738625400.0,1.45900000,1.47700000,1.45300000,1.47400000
1738626300.0,1.47400000,1.49700000,1.47200000,1.49400000
1738627200.0,1.49500000,1.52100000,1.49000000,1.50100000
1738628100.0,1.50100000,1.51400000,1.47800000,1.48500000
1738629000.0,1.48500000,1.52500000,1.48200000,1.50000000
1738629900.0,1.49900000,1.49900000,1.48300000,1.48700000
1738630800.0,1.48700000,1.49000000,1.46700000,1.47300000
1738631700.0,1.47300000,1.47900000,1.46700000,1.47500000
1738632600.0,1.47400000,1.47500000,1.45500000,1.45700000
1738633500.0,1.45800000,1.46200000,1.45300000,1.45700000
1738634400.0,1.45800000,1.45900000,1.43900000,1.44000000
1738635300.0,1.44000000,1.44600000,1.43600000,1.44600000
1738636200.0,1.44600000,1.45300000,1.43600000,1.44400000
1738637100.0,1.44400000,1.44900000,1.43000000,1.43300000
1738638000.0,1.43300000,1.44200000,1.42800000,1.44000000
1738638900.0,1.43900000,1.44900000,1.43700000,1.44000000
1738639800.0,1.44000000,1.44400000,1.43100000,1.44300000
