time,open,high,low,close
1738540800.0,2.62400000,2.62400000,2.56900000,2.57100000
1738541700.0,2.56800000,2.56800000,2.51500000,2.52600000
1738542600.0,2.52700000,2.52800000,2.42500000,2.42900000
1738543500.0,2.43200000,2.51100000,2.43000000,2.48500000
1738544400.0,2.49000000,2.50600000,2.46000000,2.46600000
1738545300.0,2.46600000,2.47100000,2.43100000,2.44000000
1738546200.0,2.44000000,2.46100000,2.42600000,2.44900000
1738547100.0,2.44400000,2.44800000,2.11100000,2.27400000
1738548000.0,2.27500000,2.28500000,2.03800000,2.24900000
1738548900.0,2.25100000,2.26700000,2.20700000,2.22600000
1738549800.0,2.22500000,2.24900000,2.20500000,2.21000000
1738550700.0,2.21200000,2.21600000,2.15800000,2.18900000
1738551600.0,2.18800000,2.25900000,2.18600000,2.25100000
1738552500.0,2.25000000,2.29000000,2.25000000,2.25900000
1738553400.0,2.25900000,2.25900000,2.23700000,2.25500000
1738554300.0,2.25500000,2.29900000,2.25300000,2.28100000
1738555200.0,2.28000000,2.30600000,2.26700000,2.26700000
1738556100.0,2.26700000,2.27000000,2.23100000,2.23600000
1738557000.0,2.23700000,2.24100000,2.20600000,2.20900000
1738557900.0,2.21000000,2.23000000,2.19700000,2.19900000
1738558800.0,2.20600000,2.24000000,2.19800000,2.23000000
1738559700.0,2.23000000,2.28800000,2.22900000,2.27700000
1738560600.0,2.27600000,2.30800000,2.26800000,2.30800000
1738561500.0,2.30800000,2.36200000,2.30600000,2.36100000
1738562400.0,2.36000000,2.36000000,2.33000000,2.34900000
1738563300.0,2.35000000,2.37100000,2.34200000,2.36200000
1738564200.0,2.36200000,2.39800000,2.35400000,2.39800000
1738565100.0,2.39900000,2.45500000,2.39900000,2.44900000
1738566000.0,2.45100000,2.46000000,2.42900000,2.44000000
1738566900.0,2.44300000,2.46000000,2.43800000,2.44200000
1738567800.0,2.44400000,2.48100000,2.43300000,2.47000000
1738568700.0,2.46800000,2.48900000,2.45900000,2.48500000
1738569600.0,2.48800000,2.48900000,2.43900000,2.45100000
1738570500.0,2.45200000,2.45200000,2.41700000,2.42100000
1738571400.0,2.42300000,2.42300000,2.39300000,2.40200000
1738572300.0,2.39900000,2.42800000,2.39800000,2.42600000
1738573200.0,2.42300000,2.46500000,2.42300000,2.46500000
1738574100.0,2.46300000,2.46500000,2.42700000,2.45500000
1738575000.0,2.45100000,2.45400000,2.42200000,2.42500000
1738575900.0,2.42600000,2.44000000,2.41500000,2.42900000
1738576800.0,2.43100000,2.45100000,2.43100000,2.44500000
1738577700.0,2.44700000,2.46700000,2.43300000,2.46300000
1738578600.0,2.46400000,2.51300000,2.46100000,2.50300000
1738579500.0,2.50500000,2.51700000,2.50000000,2.50700000
1738580400.0,2.50600000,2.50900000,2.48500000,2.50300000
1738581300.0,2.50200000,2.50400000,2.47900000,2.49300000
1738582200.0,2.48900000,2.49800000,2.46700000,2.46800000
1738583100.0,2.47100000,2.47800000,2.46500000,2.46900000
1738584000.0,2.47100000,2.51100000,2.47100000,2.50100000
1738584900.0,2.49600000,2.52900000,2.49500000,2.49900000
1738585800.0,2.49900000,2.50300000,2.48000000,2.48300000
1738586700.0,2.48200000,2.48300000,2.45100000,2.46000000
1738587600.0,2.46000000,2.47800000,2.45100000,2.45100000
1738588500.0,2.45200000,2.47400000,2.42600000,2.42700000
1738589400.0,2.42700000,2.47100000,2.42700000,2.46900000
1738590300.0,2.46700000,2.47000000,2.43700000,2.44600000
1738591200.0,2.44400000,2.44500000,2.38900000,2.39100000
1738592100.0,2.39000000,2.41400000,2.36500000,2.38700000
1738593000.0,2.38700000,2.50600000,2.37500000,2.50100000
1738593900.0,2.50100000,2.52300000,2.47800000,2.51400000
1738594800.0,2.51300000,2.52000000,2.47400000,2.49000000
1738595700.0,2.48800000,2.56100000,2.48100000,2.54200000
1738596600.0,2.53800000,2.54700000,2.51000000,2.51200000
1738597500.0,2.51300000,2.53900000,2.50200000,2.53000000
1738598400.0,2.53000000,2.54900000,2.51500000,2.53100000
1738599300.0,2.53200000,2.55600000,2.52600000,2.54700000
1738600200.0,2.54600000,2.55300000,2.53700000,2.54100000
1738601100.0,2.54200000,2.54200000,2.52000000,2.52300000
1738602000.0,2.52300000,2.52400000,2.50300000,2.51300000
1738602900.0,2.51300000,2.52600000,2.50600000,2.51400000
1738603800.0,2.51300000,2.51300000,2.49600000,2.50400000
1738604700.0,2.50200000,2.52800000,2.50000000,2.51600000
1738605600.0,2.51500000,2.52400000,2.50700000,2.51000000
1738606500.0,2.51300000,2.51900000,2.50800000,2.51700000
1738607400.0,2.51700000,2.53400000,2.51100000,2.51900000
1738608300.0,2.51600000,2.52500000,2.51500000,2.52300000
1738609200.0,2.52200000,2.53100000,2.51900000,2.52700000
1738610100.0,2.52600000,2.55700000,2.52600000,2.53300000
1738611000.0,2.53200000,2.54200000,2.52300000,2.53100000
1738611900.0,2.53100000,2.54900000,2.53000000,2.54800000
1738612800.0,2.54800000,2.54900000,2.50200000,2.51500000
1738613700.0,2.51700000,2.53000000,2.51700000,2.51900000
1738614600.0,2.52400000,2.53100000,2.51200000,2.51200000
1738615500.0,2.51000000,2.53100000,2.51000000,2.52900000
1738616400.0,2.53100000,2.54200000,2.52900000,2.53800000
1738617300.0,2.53600000,2.55700000,2.52700000,2.55300000
1738618200.0,2.55200000,2.57300000,2.55000000,2.56200000
1738619100.0,2.56300000,2.59100000,2.56300000,2.59100000
1738620000.0,2.58900000,2.61500000,2.58600000,2.59400000
1738620900.0,2.59300000,2.61600000,2.58100000,2.61200000
1738621800.0,2.61200000,2.62200000,2.59900000,2.61700000
1738622700.0,2.61800000,2.61900000,2.60100000,2.60700000
1738623600.0,2.61000000,2.61100000,2.60400000,2.60700000
1738624500.0,2.60800000,2.60800000,2.57500000,2.57600000
1738625400.0,2.57600000,2.58700000,2.56900000,2.57300000
