time,open,high,low,close
1738540800.0,203.52000000,203.89000000,201.56000000,201.96000000
1738541700.0,201.95000000,202.88000000,196.59000000,200.45000000
1738542600.0,200.44000000,200.87000000,192.20000000,193.27000000
1738543500.0,193.21000000,200.31000000,193.12000000,198.34000000
1738544400.0,198.34000000,199.99000000,196.30000000,196.30000000
1738545300.0,196.30000000,196.76000000,192.01000000,193.62000000
1738546200.0,193.62000000,195.88000000,190.60000000,191.97000000
1738547100.0,191.96000000,192.00000000,178.00000000,184.93000000
1738548000.0,184.86000000,189.03000000,175.89000000,188.86000000
1738548900.0,188.85000000,190.19000000,185.68000000,187.32000000
1738549800.0,187.32000000,190.08000000,185.18000000,189.69000000
1738550700.0,189.70000000,192.00000000,186.20000000,187.95000000
1738551600.0,187.95000000,197.30000000,187.38000000,195.14000000
1738552500.0,195.15000000,198.44000000,194.48000000,195.28000000
1738553400.0,195.28000000,195.36000000,193.38000000,193.90000000
1738554300.0,193.90000000,199.79000000,193.85000000,197.92000000
1738555200.0,197.92000000,199.97000000,196.06000000,196.23000000
1738556100.0,196.23000000,197.68000000,194.06000000,194.34000000
1738557000.0,194.34000000,195.23000000,190.26000000,191.69000000
1738557900.0,191.69000000,193.07000000,189.27000000,189.87000000
1738558800.0,189.87000000,192.11000000,189.68000000,190.58000000
1738559700.0,190.57000000,194.94000000,190.45000000,193.95000000
1738560600.0,193.94000000,195.86000000,193.12000000,193.99000000
1738561500.0,194.00000000,197.46000000,193.26000000,196.83000000
1738562400.0,196.83000000,196.83000000,193.73000000,194.75000000
1738563300.0,194.75000000,197.87000000,194.15000000,196.71000000
1738564200.0,196.70000000,198.39000000,194.43000000,194.77000000
1738565100.0,194.78000000,196.13000000,194.48000000,195.74000000
1738566000.0,195.74000000,197.20000000,195.25000000,196.56000000
1738566900.0,196.57000000,198.48000000,196.48000000,197.78000000
1738567800.0,197.78000000,198.88000000,196.12000000,197.20000000
1738568700.0,197.19000000,199.70000000,196.70000000,199.09000000
1738569600.0,199.09000000,199.11000000,195.13000000,196.87000000
1738570500.0,196.88000000,197.26000000,194.90000000,195.84000000
1738571400.0,195.83000000,196.11000000,193.38000000,193.53000000
1738572300.0,193.53000000,195.63000000,193.42000000,195.59000000
1738573200.0,195.59000000,199.12000000,195.04000000,198.52000000
1738574100.0,198.51000000,198.65000000,195.18000000,196.17000000
1738575000.0,196.18000000,196.67000000,193.83000000,194.55000000
1738575900.0,194.55000000,195.15000000,193.77000000,194.20000000
1738576800.0,194.20000000,196.06000000,194.04000000,196.00000000
1738577700.0,195.99000000,199.50000000,195.15000000,199.39000000
1738578600.0,199.40000000,200.77000000,198.46000000,199.54000000
1738579500.0,199.54000000,202.15000000,199.53000000,201.84000000
1738580400.0,201.84000000,201.84000000,199.77000000,200.64000000
1738581300.0,200.64000000,200.76000000,198.93000000,199.47000000
1738582200.0,199.47000000,200.12000000,198.79000000,199.15000000
1738583100.0,199.15000000,199.57000000,198.05000000,198.74000000
1738584000.0,198.74000000,199.18000000,197.17000000,197.52000000
1738584900.0,197.52000000,199.65000000,197.27000000,197.80000000
1738585800.0,197.79000000,198.28000000,196.60000000,197.30000000
1738586700.0,197.30000000,197.34000000,194.91000000,195.12000000
1738587600.0,195.13000000,196.63000000,194.57000000,194.64000000
1738588500.0,194.64000000,195.88000000,193.40000000,193.41000000
1738589400.0,193.40000000,196.86000000,193.40000000,196.60000000
1738590300.0,196.61000000,196.86000000,193.72000000,194.67000000
1738591200.0,194.67000000,194.79000000,190.59000000,191.26000000
1738592100.0,191.26000000,192.93000000,189.90000000,191.18000000
1738593000.0,191.18000000,199.35000000,190.16000000,197.93000000
1738593900.0,197.94000000,199.83000000,194.94000000,199.71000000
1738594800.0,199.70000000,200.50000000,197.95000000,199.00000000
1738595700.0,199.00000000,208.98000000,198.25000000,207.41000000
1738596600.0,207.40000000,209.40000000,205.19000000,209.17000000
1738597500.0,209.16000000,210.00000000,205.67000000,207.02000000
1738598400.0,207.01000000,208.20000000,203.61000000,205.05000000
1738599300.0,205.04000000,208.11000000,204.29000000,207.08000000
1738600200.0,207.08000000,208.51000000,206.50000000,208.28000000
1738601100.0,208.29000000,209.11000000,207.14000000,207.69000000
1738602000.0,207.70000000,208.16000000,205.74000000,206.05000000
1738602900.0,206.04000000,208.15000000,205.43000000,207.52000000
1738603800.0,207.53000000,207.83000000,205.91000000,207.48000000
1738604700.0,207.49000000,208.25000000,206.16000000,206.63000000
1738605600.0,206.69000000,207.54000000,205.14000000,205.95000000
1738606500.0,205.94000000,208.86000000,205.45000000,208.37000000
1738607400.0,208.37000000,210.73000000,207.71000000,209.72000000
1738608300.0,209.73000000,212.06000000,209.15000000,211.81000000
1738609200.0,211.80000000,212.75000000,211.11000000,212.60000000
1738610100.0,212.59000000,214.74000000,212.33000000,212.63000000
1738611000.0,212.63000000,213.97000000,212.12000000,213.70000000
1738611900.0,213.70000000,215.27000000,213.08000000,215.20000000
1738612800.0,215.19000000,215.37000000,210.83000000,211.81000000
1738613700.0,211.82000000,212.81000000,211.43000000,212.39000000
1738614600.0,212.39000000,213.03000000,210.35000000,211.01000000
1738615500.0,211.01000000,211.98000000,210.54000000,211.52000000
1738616400.0,211.52000000,212.83000000,210.42000000,210.68000000
1738617300.0,210.67000000,213.77000000,209.89000000,213.22000000
1738618200.0,213.23000000,215.98000000,213.08000000,215.06000000
1738619100.0,215.06000000,217.89000000,214.83000000,216.48000000
1738620000.0,216.49000000,218.34000000,215.93000000,216.23000000
1738620900.0,216.23000000,218.70000000,215.00000000,218.39000000
1738621800.0,218.38000000,218.51000000,216.49000000,217.42000000
1738622700.0,217.43000000,217.97000000,215.71000000,217.54000000
1738623600.0,217.55000000,217.85000000,215.95000000,216.47000000
1738624500.0,216.47000000,216.69000000,215.49000000,216.00000000
1738625400.0,216.01000000,217.00000000,215.45000000,215.80000000
1738626300.0,215.79000000,216.43000000,215.45000000,216.28000000
1738627200.0,216.27000000,217.97000000,215.36000000,217.03000000
1738628100.0,217.03000000,217.45000000,215.38000000,215.99000000
1738629000.0,215.99000000,217.86000000,215.60000000,217.17000000
1738629900.0,217.17000000,217.31000000,215.21000000,215.30000000
1738630800.0,215.30000000,216.76000000,215.18000000,215.73000000
1738631700.0,215.74000000,217.29000000,215.67000000,217.29000000
1738632600.0,217.29000000,219.50000000,216.97000000,218.42000000
1738633500.0,218.42000000,218.93000000,217.63000000,218.64000000
1738634400.0,218.64000000,219.37000000,217.73000000,218.40000000
1738635300.0,218.40000000,219.97000000,218.04000000,218.20000000
1738636200.0,218.20000000,218.76000000,216.77000000,217.21000000
1738637100.0,217.21000000,217.72000000,215.65000000,215.67000000
1738638000.0,215.68000000,216.42000000,215.14000000,216.17000000
1738638900.0,216.17000000,216.29000000,214.26000000,214.29000000
1738639800.0,214.29000000,215.34000000,213.89000000,215.23000000
1738640700.0,215.24000000,215.67000000,214.49000000,215.48000000
1738641600.0,215.48000000,216.08000000,214.47000000,215.74000000
1738642500.0,215.73000000,215.73000000,214.14000000,214.40000000
1738643400.0,214.40000000,215.23000000,213.42000000,213.58000000
1738644300.0,213.60000000,214.03000000,212.44000000,212.93000000
1738645200.0,212.92000000,213.35000000,207.97000000,208.32000000
1738646100.0,208.33000000,209.02000000,203.67000000,204.20000000
1738647000.0,204.20000000,205.56000000,202.13000000,203.21000000
1738647900.0,203.20000000,205.39000000,201.87000000,203.94000000
1738648800.0,203.95000000,206.76000000,203.95000000,206.60000000
1738649700.0,206.60000000,207.32000000,203.73000000,204.14000000
1738650600.0,204.15000000,206.12000000,204.03000000,206.09000000
1738651500.0,206.08000000,206.97000000,205.26000000,206.61000000
1738652400.0,206.61000000,207.09000000,205.68000000,206.67000000
1738653300.0,206.68000000,207.90000000,205.51000000,205.62000000
1738654200.0,205.62000000,207.31000000,205.28000000,206.53000000
1738655100.0,206.54000000,206.64000000,203.67000000,204.23000000
1738656000.0,204.22000000,205.91000000,203.07000000,205.68000000
1738656900.0,205.68000000,206.05000000,204.73000000,205.70000000
1738657800.0,205.70000000,205.70000000,202.43000000,202.88000000
1738658700.0,202.88000000,204.10000000,202.64000000,203.61000000
1738659600.0,203.60000000,205.83000000,203.52000000,205.16000000
1738660500.0,205.16000000,205.70000000,204.16000000,205.24000000
1738661400.0,205.24000000,206.54000000,204.70000000,206.10000000
1738662300.0,206.10000000,206.29000000,204.44000000,204.64000000
1738663200.0,204.65000000,207.11000000,204.52000000,206.48000000
1738664100.0,206.47000000,207.80000000,206.26000000,207.53000000
