time,open,high,low,close
1738540800.0,3.30730000,3.30900000,3.25960000,3.27130000
1738541700.0,3.27120000,3.27300000,3.14280000,3.18130000
1738542600.0,3.18130000,3.18960000,3.02190000,3.04890000
1738543500.0,3.04830000,3.23290000,3.04500000,3.19260000
1738544400.0,3.19310000,3.20540000,3.13360000,3.14860000
1738545300.0,3.14850000,3.15990000,3.09020000,3.10630000
1738546200.0,3.10630000,3.13610000,3.06420000,3.08850000
1738547100.0,3.08860000,3.09000000,2.50830000,2.73190000
1738548000.0,2.73190000,2.80030000,2.39000000,2.78240000
1738548900.0,2.78230000,2.85840000,2.75200000,2.78260000
1738549800.0,2.78260000,2.84350000,2.74740000,2.79580000
1738550700.0,2.79590000,2.82520000,2.69390000,2.76810000
1738551600.0,2.76800000,2.88020000,2.75750000,2.85980000
1738552500.0,2.85980000,2.99190000,2.85210000,2.90030000
1738553400.0,2.90020000,2.90250000,2.84590000,2.87390000
1738554300.0,2.87390000,2.89440000,2.84040000,2.86160000
1738555200.0,2.86170000,2.91830000,2.83110000,2.83850000
1738556100.0,2.83860000,2.84890000,2.77590000,2.77750000
1738557000.0,2.77770000,2.81830000,2.75940000,2.81560000
1738557900.0,2.81560000,2.84290000,2.78640000,2.79770000
1738558800.0,2.79780000,2.88400000,2.79700000,2.87450000
1738559700.0,2.87450000,2.96980000,2.87080000,2.95250000
1738560600.0,2.95240000,3.17000000,2.94340000,3.02840000
1738561500.0,3.02860000,3.08660000,3.01180000,3.06340000
1738562400.0,3.06300000,3.06300000,3.01360000,3.01880000
1738563300.0,3.01880000,3.06080000,2.99780000,3.02810000
1738564200.0,3.02800000,3.07740000,3.01400000,3.02750000
1738565100.0,3.02760000,3.06570000,3.02500000,3.05270000
1738566000.0,3.05270000,3.08630000,3.04650000,3.06350000
1738566900.0,3.06350000,3.11920000,3.06350000,3.09890000
1738567800.0,3.09900000,3.19260000,3.07990000,3.15690000
1738568700.0,3.15700000,3.21590000,3.15440000,3.18670000
1738569600.0,3.18690000,3.18810000,3.09500000,3.14050000
1738570500.0,3.14060000,3.14820000,3.09400000,3.11030000
1738571400.0,3.11020000,3.11180000,3.05010000,3.06730000
1738572300.0,3.06720000,3.10620000,3.06480000,3.09360000
1738573200.0,3.09390000,3.16920000,3.08360000,3.15870000
1738574100.0,3.15820000,3.16060000,3.09600000,3.11710000
1738575000.0,3.11730000,3.13250000,3.08350000,3.10700000
1738575900.0,3.10700000,3.12620000,3.08350000,3.09230000
