time,open,high,low,close
1738540800.0,3.30100000,3.31200000,3.24500000,3.24600000
1738541700.0,3.24600000,3.25100000,3.16300000,3.20500000
1738542600.0,3.20500000,3.21500000,3.04500000,3.06200000
1738543500.0,3.06200000,3.19100000,3.05900000,3.15800000
1738544400.0,3.15800000,3.18900000,3.12400000,3.13100000
1738545300.0,3.13000000,3.13400000,3.06500000,3.07300000
1738546200.0,3.07300000,3.09700000,3.02400000,3.04500000
1738547100.0,3.04600000,3.04600000,2.54500000,2.70600000
1738548000.0,2.70700000,2.74200000,2.35300000,2.67400000
1738548900.0,2.67400000,2.76600000,2.63400000,2.68500000
1738549800.0,2.68500000,2.71100000,2.64300000,2.66600000
1738550700.0,2.66700000,2.67300000,2.56300000,2.60600000
1738551600.0,2.60700000,2.72900000,2.60100000,2.70200000
1738552500.0,2.70200000,2.76100000,2.69500000,2.69800000
1738553400.0,2.69700000,2.70000000,2.67200000,2.68900000
1738554300.0,2.69000000,2.78200000,2.68900000,2.75500000
1738555200.0,2.75600000,2.81200000,2.73600000,2.74100000
1738556100.0,2.74100000,2.74700000,2.67800000,2.68200000
1738557000.0,2.68200000,2.69900000,2.62600000,2.64500000
1738557900.0,2.64600000,2.67900000,2.63000000,2.63400000
1738558800.0,2.63500000,2.71900000,2.63400000,2.69900000
1738559700.0,2.69800000,2.80400000,2.69300000,2.78200000
1738560600.0,2.78200000,2.80100000,2.75700000,2.78900000
1738561500.0,2.78800000,2.84300000,2.78100000,2.84100000
1738562400.0,2.84100000,2.84100000,2.79600000,2.83100000
1738563300.0,2.83200000,2.90300000,2.81700000,2.88200000
1738564200.0,2.88200000,2.91200000,2.86400000,2.87600000
1738565100.0,2.87600000,2.93100000,2.87100000,2.91700000
1738566000.0,2.91700000,2.97100000,2.90600000,2.93700000
1738566900.0,2.93800000,2.95700000,2.92700000,2.94900000
1738567800.0,2.94900000,2.99600000,2.92400000,2.96500000
1738568700.0,2.96600000,2.99800000,2.95700000,2.99100000
1738569600.0,2.99000000,2.99000000,2.93100000,2.95600000
1738570500.0,2.95600000,2.96500000,2.90000000,2.90800000
1738571400.0,2.90800000,2.90800000,2.86300000,2.87100000
1738572300.0,2.87000000,2.91000000,2.86900000,2.90000000
1738573200.0,2.90000000,2.99300000,2.89600000,2.98700000
1738574100.0,2.98700000,2.98800000,2.93100000,2.96700000
1738575000.0,2.96600000,2.97900000,2.92800000,2.93700000
1738575900.0,2.93700000,2.95400000,2.91200000,2.91700000
1738576800.0,2.91800000,2.94600000,2.91000000,2.93100000
1738577700.0,2.93300000,2.96400000,2.90400000,2.96100000
1738578600.0,2.96100000,3.02900000,2.95200000,2.99800000
1738579500.0,2.99900000,3.03900000,2.99900000,3.02300000
1738580400.0,3.02400000,3.05000000,3.00000000,3.04900000
1738581300.0,3.04900000,3.05300000,3.01100000,3.01600000
1738582200.0,3.01600000,3.02100000,2.97500000,2.99000000
1738583100.0,2.99000000,3.00500000,2.97600000,2.99300000
1738584000.0,2.99400000,3.03800000,2.98900000,3.01500000
1738584900.0,3.01500000,3.05600000,3.01000000,3.01300000
1738585800.0,3.01300000,3.02400000,2.98800000,2.99000000
1738586700.0,2.99000000,2.99500000,2.93800000,2.94600000
1738587600.0,2.94600000,2.98000000,2.93500000,2.93600000
1738588500.0,2.93600000,2.95700000,2.90100000,2.90100000
1738589400.0,2.90100000,2.98300000,2.89900000,2.97400000
1738590300.0,2.97300000,2.98100000,2.92800000,2.95600000
1738591200.0,2.95600000,2.96200000,2.88300000,2.90000000
1738592100.0,2.89900000,2.93000000,2.86500000,2.90000000
1738593000.0,2.90000000,3.08300000,2.87500000,3.04900000
1738593900.0,3.04900000,3.11000000,3.02300000,3.09400000
1738594800.0,3.09300000,3.10200000,3.04600000,3.06400000
1738595700.0,3.06400000,3.18800000,3.04200000,3.15900000
1738596600.0,3.15800000,3.21300000,3.12400000,3.19400000
1738597500.0,3.19300000,3.21400000,3.14600000,3.18100000
1738598400.0,3.18100000,3.21400000,3.14100000,3.16300000
1738599300.0,3.16400000,3.23100000,3.14900000,3.20900000
1738600200.0,3.21000000,3.24600000,3.19300000,3.24600000
1738601100.0,3.24600000,3.25800000,3.19700000,3.20000000
1738602000.0,3.20100000,3.21200000,3.17600000,3.18800000
1738602900.0,3.18800000,3.21500000,3.17100000,3.19000000
1738603800.0,3.18900000,3.19200000,3.16000000,3.18400000
1738604700.0,3.18400000,3.33100000,3.18300000,3.28000000
1738605600.0,3.28000000,3.29500000,3.23200000,3.24100000
