time,open,high,low,close
1738540800.0,4.06200000,4.09000000,4.03500000,4.06200000
1738541700.0,4.06100000,4.06400000,3.94700000,4.01400000
1738542600.0,4.01400000,4.02100000,3.76700000,3.79600000
1738543500.0,3.79600000,3.96700000,3.79000000,3.93900000
1738544400.0,3.94000000,3.97000000,3.90400000,3.94400000
1738545300.0,3.94100000,4.85300000,3.89000000,3.96000000
1738546200.0,3.96200000,3.98800000,3.88100000,3.89600000
1738547100.0,3.89700000,3.89700000,3.23400000,3.39000000
1738548000.0,3.39000000,3.43300000,2.97800000,3.34500000
1738548900.0,3.34400000,3.43900000,3.32700000,3.35600000
1738549800.0,3.35600000,3.40300000,3.30700000,3.32800000
1738550700.0,3.32900000,3.33300000,3.24200000,3.29800000
1738551600.0,3.30100000,3.45800000,3.29600000,3.44900000
1738552500.0,3.44800000,3.52400000,3.44300000,3.49000000
1738553400.0,3.49000000,3.49200000,3.42600000,3.44300000
1738554300.0,3.44200000,3.51500000,3.44000000,3.50000000
1738555200.0,3.50200000,3.57700000,3.49900000,3.53800000
1738556100.0,3.53800000,3.53900000,3.41600000,3.42100000
1738557000.0,3.42100000,3.43100000,3.36900000,3.38400000
1738557900.0,3.38600000,3.42100000,3.37300000,3.38000000
1738558800.0,3.38100000,3.47100000,3.37900000,3.44900000
1738559700.0,3.44900000,3.51900000,3.44800000,3.49000000
1738560600.0,3.49100000,3.54400000,3.48100000,3.54200000
1738561500.0,3.54200000,3.59700000,3.53000000,3.59600000
1738562400.0,3.59500000,3.64500000,3.56600000,3.63900000
1738563300.0,3.63800000,3.72500000,3.62600000,3.71600000
1738564200.0,3.71600000,3.71600000,3.65500000,3.66300000
1738565100.0,3.66400000,3.71300000,3.66000000,3.70600000
1738566000.0,3.70700000,3.72900000,3.69900000,3.70400000
1738566900.0,3.70300000,3.72400000,3.69200000,3.72200000
1738567800.0,3.72400000,3.78200000,3.72400000,3.76400000
1738568700.0,3.76300000,3.87100000,3.75800000,3.86700000
1738569600.0,3.86700000,3.86700000,3.76100000,3.82100000
1738570500.0,3.82200000,3.84300000,3.78300000,3.81000000
1738571400.0,3.81000000,3.83500000,3.75100000,3.76300000
1738572300.0,3.76300000,3.85000000,3.76200000,3.84400000
1738573200.0,3.84300000,3.93100000,3.83400000,3.92400000
1738574100.0,3.92500000,3.92800000,3.84500000,3.89300000
1738575000.0,3.89300000,3.92600000,3.88200000,3.92500000
1738575900.0,3.92400000,3.95700000,3.90800000,3.95000000
1738576800.0,3.95100000,3.95600000,3.90100000,3.93800000
1738577700.0,3.93800000,3.95400000,3.89700000,3.92500000
1738578600.0,3.92600000,3.95600000,3.91500000,3.92200000
1738579500.0,3.92500000,3.94100000,3.92000000,3.93300000
1738580400.0,3.93400000,3.95000000,3.91900000,3.93200000
1738581300.0,3.93000000,3.93000000,3.87300000,3.88200000
1738582200.0,3.88100000,3.90000000,3.84200000,3.85400000
1738583100.0,3.85300000,3.86400000,3.83900000,3.85900000
1738584000.0,3.86100000,3.93400000,3.85800000,3.92300000
1738584900.0,3.92200000,3.94200000,3.90400000,3.92900000
1738585800.0,3.92800000,3.93600000,3.90800000,3.91700000
1738586700.0,3.91600000,3.92000000,3.87800000,3.89400000
1738587600.0,3.89400000,3.92600000,3.86700000,3.86900000
1738588500.0,3.87000000,3.88800000,3.81900000,3.81900000
1738589400.0,3.81800000,3.86600000,3.80800000,3.86200000
1738590300.0,3.86200000,3.86700000,3.80700000,3.81400000
1738591200.0,3.81400000,3.82000000,3.73400000,3.75000000
1738592100.0,3.74900000,3.78000000,3.70300000,3.73000000
1738593000.0,3.72700000,3.92700000,3.70400000,3.88600000
1738593900.0,3.88700000,3.92800000,3.85900000,3.92100000
1738594800.0,3.92000000,3.92000000,3.87200000,3.89400000
1738595700.0,3.89400000,4.02100000,3.87800000,4.00900000
1738596600.0,4.00800000,4.05100000,3.96800000,4.04200000
1738597500.0,4.04200000,4.06700000,4.00700000,4.03500000
1738598400.0,4.03300000,4.07300000,3.98400000,4.01000000
1738599300.0,4.01000000,4.02000000,3.95700000,3.97100000
1738600200.0,3.97100000,4.02200000,3.96000000,4.02100000
1738601100.0,4.02200000,4.03500000,3.98900000,3.99400000
1738602000.0,3.99300000,4.00800000,3.96600000,3.99300000
1738602900.0,3.99200000,4.04000000,3.98700000,4.01400000
1738603800.0,4.01300000,4.02600000,3.99400000,4.01400000
1738604700.0,4.01400000,4.02400000,3.97600000,3.99000000
1738605600.0,3.98800000,4.01500000,3.97300000,4.01200000
1738606500.0,4.01200000,4.01600000,3.99200000,3.99700000
1738607400.0,3.99700000,4.01200000,3.98300000,4.00500000
1738608300.0,4.00300000,4.03200000,3.99700000,4.02500000
1738609200.0,4.02400000,4.05400000,4.00800000,4.02500000
1738610100.0,4.02400000,4.06800000,4.02400000,4.05200000
1738611000.0,4.05100000,4.06100000,4.03800000,4.06100000
1738611900.0,4.06000000,4.09500000,4.05600000,4.08400000
1738612800.0,4.08500000,4.08500000,4.00700000,4.02200000
1738613700.0,4.02200000,4.06300000,4.01300000,4.04100000
1738614600.0,4.04200000,4.06000000,4.01100000,4.01400000
1738615500.0,4.01400000,4.03000000,3.99800000,4.01000000
1738616400.0,4.01100000,4.03600000,4.00700000,4.03400000
1738617300.0,4.03300000,4.05400000,4.02100000,4.04300000
1738618200.0,4.04300000,4.07000000,4.03500000,4.03700000
1738619100.0,4.03800000,4.09300000,4.03800000,4.09100000
1738620000.0,4.09200000,4.14200000,4.08400000,4.09300000
1738620900.0,4.09200000,4.13200000,4.06900000,4.13000000
1738621800.0,4.13100000,4.13200000,4.10000000,4.12400000
1738622700.0,4.12400000,4.13400000,4.09400000,4.11300000
1738623600.0,4.11300000,4.11800000,4.09100000,4.10300000
1738624500.0,4.10300000,4.10300000,4.06100000,4.06800000
1738625400.0,4.06800000,4.08100000,4.05700000,4.06400000
1738626300.0,4.06300000,4.08000000,4.06000000,4.07500000
1738627200.0,4.07500000,4.11400000,4.07000000,4.11000000
1738628100.0,4.10900000,4.11500000,4.08400000,4.09200000
1738629000.0,4.09200000,4.09900000,4.07400000,4.09400000
1738629900.0,4.09300000,4.09300000,4.04400000,4.04800000
