time,open,high,low,close
1738540800.0,9.19000000,9.19100000,9.01900000,9.03200000
1738541700.0,9.02800000,9.03600000,8.81100000,8.91800000
1738542600.0,8.91800000,8.94200000,8.52400000,8.58100000
1738543500.0,8.58100000,8.93300000,8.56600000,8.86200000
1738544400.0,8.86400000,8.94900000,8.78100000,8.81300000
1738545300.0,8.81200000,8.82600000,8.66000000,8.68300000
1738546200.0,8.68600000,8.76900000,8.52800000,8.58700000
1738547100.0,8.58800000,8.60000000,7.28800000,7.78300000
1738548000.0,7.79000000,8.14600000,6.88400000,7.77200000
1738548900.0,7.77200000,7.93300000,7.68400000,7.75200000
1738549800.0,7.75500000,7.85300000,7.67900000,7.78900000
1738550700.0,7.78900000,7.81500000,7.59700000,7.70900000
1738551600.0,7.71300000,8.03800000,7.70200000,8.02900000
1738552500.0,8.02800000,8.19300000,8.00400000,8.05200000
1738553400.0,8.05000000,8.05500000,7.97100000,8.04100000
1738554300.0,8.04100000,8.22200000,8.03400000,8.13300000
1738555200.0,8.13400000,8.30500000,8.05100000,8.07100000
1738556100.0,8.06900000,8.09400000,7.92100000,7.92100000
1738557000.0,7.92000000,7.94800000,7.77700000,7.82100000
1738557900.0,7.82700000,7.89400000,7.76700000,7.77500000
1738558800.0,7.77700000,7.92700000,7.77100000,7.89400000
1738559700.0,7.89200000,8.09200000,7.88500000,8.04200000
1738560600.0,8.04300000,8.08100000,7.98200000,8.08000000
1738561500.0,8.08000000,8.42500000,8.07700000,8.40200000
1738562400.0,8.40200000,8.50800000,8.31900000,8.49400000
1738563300.0,8.49400000,8.73000000,8.44800000,8.70300000
1738564200.0,8.70200000,8.79100000,8.65500000,8.73700000
1738565100.0,8.73700000,8.94000000,8.72600000,8.93500000
1738566000.0,8.93400000,8.96000000,8.74100000,8.84300000
1738566900.0,8.84500000,8.95300000,8.83200000,8.95200000
1738567800.0,8.95300000,9.22000000,8.91700000,9.18900000
1738568700.0,9.18700000,9.35800000,9.12700000,9.31400000
1738569600.0,9.31300000,9.31300000,9.09700000,9.26800000
1738570500.0,9.26700000,9.29100000,9.11400000,9.18200000
1738571400.0,9.18200000,9.18200000,9.00600000,9.06900000
