time,open,high,low,close
1738540800.0,6.78300000,6.78300000,6.63400000,6.64000000
1738541700.0,6.63700000,6.63700000,6.44300000,6.48500000
1738542600.0,6.48100000,6.50300000,6.17900000,6.18800000
1738543500.0,6.19100000,6.40900000,6.19100000,6.33300000
1738544400.0,6.32900000,6.40900000,6.27500000,6.31900000
1738545300.0,6.31800000,6.32500000,6.20700000,6.22100000
1738546200.0,6.21800000,6.28600000,6.16700000,6.21400000
1738547100.0,6.21500000,6.21800000,5.46200000,5.74000000
1738548000.0,5.74100000,5.80300000,5.13200000,5.75100000
1738548900.0,5.74900000,7.79000000,5.67000000,5.72200000
1738549800.0,5.72800000,5.79600000,5.66300000,5.71000000
1738550700.0,5.71300000,5.72800000,5.55800000,5.63900000
1738551600.0,5.64300000,5.89300000,5.63700000,5.84400000
1738552500.0,5.84800000,5.95300000,5.78400000,5.78700000
1738553400.0,5.78800000,5.79200000,5.69400000,5.73100000
1738554300.0,5.73200000,5.82300000,5.73100000,5.74600000
1738555200.0,5.74500000,5.82200000,5.69600000,5.69900000
1738556100.0,5.69700000,5.71400000,5.61400000,5.62400000
1738557000.0,5.62300000,5.66500000,5.57000000,5.58900000
1738557900.0,5.59400000,5.59900000,5.50500000,5.51000000
1738558800.0,5.51500000,5.59300000,5.51500000,5.55700000
1738559700.0,5.55600000,5.72200000,5.55400000,5.66900000
1738560600.0,5.66900000,5.76000000,5.65700000,5.75600000
1738561500.0,5.75600000,5.81000000,5.73600000,5.80000000
1738562400.0,5.79700000,5.84800000,5.74500000,5.83800000
1738563300.0,5.83800000,5.94300000,5.80000000,5.91600000
1738564200.0,5.91400000,5.95100000,5.87000000,5.87300000
1738565100.0,5.87400000,5.99200000,5.87300000,5.98200000
1738566000.0,5.98100000,6.03100000,5.95600000,6.02200000
1738566900.0,6.02700000,6.08100000,6.02700000,6.05000000
1738567800.0,6.05300000,6.17000000,6.02400000,6.13000000
1738568700.0,6.12400000,6.19400000,6.10900000,6.17900000
1738569600.0,6.17500000,6.17700000,6.09200000,6.17700000
1738570500.0,6.17700000,6.18300000,6.05700000,6.06500000
1738571400.0,6.05800000,6.06000000,5.95400000,5.98700000
1738572300.0,5.98600000,6.04000000,5.98000000,6.04000000
1738573200.0,6.04000000,6.29100000,6.02600000,6.26300000
1738574100.0,6.26300000,6.26300000,6.13000000,6.14500000
1738575000.0,6.14300000,6.15400000,6.04200000,6.05800000
1738575900.0,6.05800000,6.11700000,6.02300000,6.10500000
1738576800.0,6.10500000,6.24300000,6.10500000,6.18300000
1738577700.0,6.18400000,6.18400000,6.08000000,6.17700000
1738578600.0,6.17800000,6.27800000,6.15900000,6.20900000
1738579500.0,6.21100000,6.25000000,6.20900000,6.23800000
1738580400.0,6.23600000,6.28200000,6.20600000,6.23900000
1738581300.0,6.23600000,6.27400000,6.19200000,6.23700000
1738582200.0,6.23300000,6.23500000,6.14200000,6.16400000
1738583100.0,6.16700000,6.19500000,6.13700000,6.15900000
1738584000.0,6.16500000,6.30000000,6.16500000,6.27300000
1738584900.0,6.27000000,6.39300000,6.25300000,6.33200000
1738585800.0,6.32900000,6.40400000,6.31500000,6.33400000
1738586700.0,6.33600000,6.33600000,6.18100000,6.21200000
1738587600.0,6.21400000,6.30100000,6.21200000,6.25200000
1738588500.0,6.25400000,6.32200000,6.17400000,6.17400000
1738589400.0,6.17000000,6.42900000,6.16900000,6.40400000
1738590300.0,6.40400000,6.41700000,6.27800000,6.33600000
1738591200.0,6.33800000,6.34000000,6.15600000,6.20200000
1738592100.0,6.19800000,6.25900000,6.08800000,6.14700000
1738593000.0,6.14600000,6.55800000,6.09700000,6.48000000
1738593900.0,6.48300000,6.56900000,6.38300000,6.55700000
1738594800.0,6.55200000,6.65400000,6.51200000,6.54100000
1738595700.0,6.54100000,6.71900000,6.48300000,6.62600000
1738596600.0,6.62200000,6.64500000,6.55800000,6.60300000
1738597500.0,6.60200000,6.64100000,6.54700000,6.61000000
1738598400.0,6.60800000,6.67200000,6.52700000,6.56100000
1738599300.0,6.56600000,6.63000000,6.54400000,6.57500000
1738600200.0,6.57500000,6.66400000,6.55600000,6.63100000
1738601100.0,6.62700000,6.63200000,6.54600000,6.55100000
1738602000.0,6.55200000,6.58100000,6.49900000,6.55600000
1738602900.0,6.55600000,6.65000000,6.54300000,6.61400000
1738603800.0,6.61500000,6.65300000,6.58100000,6.62700000
1738604700.0,6.62500000,6.67600000,6.61000000,6.64200000
1738605600.0,6.64100000,6.64100000,6.57300000,6.58900000
1738606500.0,6.59000000,6.60900000,6.56400000,6.58800000
