time,open,high,low,close
1738540800.0,97745.91000000,97781.19000000,97310.08000000,97352.53000000
1738541700.0,97329.97000000,97650.66000000,96136.41000000,97211.22000000
1738542600.0,97150.78000000,97209.08000000,95513.46000000,95777.06000000
1738543500.0,95803.78000000,96904.94000000,95681.37000000,96566.17000000
1738544400.0,96566.17000000,97121.41000000,95944.89000000,95944.89000000
1738545300.0,96030.69000000,96033.42000000,95230.83000000,95306.24000000
1738546200.0,95335.76000000,95616.36000000,93950.18000000,94229.30000000
1738547100.0,94202.25000000,94241.51000000,91283.40000000,93286.45000000
1738548000.0,93394.79000000,94508.52000000,91154.03000000,94252.43000000
1738548900.0,94292.75000000,95210.03000000,93790.56000000,94085.78000000
1738549800.0,94095.08000000,94379.57000000,93092.90000000,94081.87000000
1738550700.0,94110.62000000,94161.79000000,93503.01000000,93682.80000000
1738551600.0,93743.91000000,94701.98000000,93614.85000000,94524.77000000
1738552500.0,94482.16000000,94815.69000000,94364.20000000,94502.75000000
1738553400.0,94527.16000000,94563.56000000,93780.34000000,93845.02000000
1738554300.0,93867.99000000,94298.00000000,93845.88000000,94049.05000000
1738555200.0,94098.49000000,94547.47000000,93760.86000000,93887.30000000
1738556100.0,93986.13000000,94129.84000000,93186.31000000,93371.02000000
1738557000.0,93367.54000000,93519.28000000,92835.89000000,93077.76000000
1738557900.0,92987.36000000,93517.69000000,92667.73000000,92805.40000000
1738558800.0,92811.81000000,93224.48000000,92792.67000000,92987.13000000
1738559700.0,92943.67000000,93693.53000000,92900.12000000,93620.37000000
1738560600.0,93634.76000000,93991.10000000,93602.32000000,93671.56000000
1738561500.0,93685.82000000,94343.16000000,93651.09000000,94286.62000000
1738562400.0,94307.57000000,94313.00000000,93854.75000000,94080.93000000
1738563300.0,94074.35000000,94574.35000000,93949.59000000,94556.68000000
1738564200.0,94542.67000000,94749.40000000,94121.41000000,94143.43000000
1738565100.0,94132.44000000,94430.71000000,93826.83000000,94067.75000000
1738566000.0,94058.49000000,94360.23000000,93990.76000000,94198.97000000
1738566900.0,94222.29000000,94509.76000000,94142.55000000,94345.86000000
1738567800.0,94356.70000000,94847.18000000,94190.81000000,94713.17000000
1738568700.0,94720.89000000,95590.01000000,94645.56000000,95481.09000000
