time,open,high,low,close
1738540800.0,3.85200000,3.85600000,3.78500000,3.79200000
1738541700.0,3.79000000,3.79200000,3.68600000,3.72700000
1738542600.0,3.72300000,3.73200000,3.54100000,3.54100000
1738543500.0,3.54600000,3.62900000,3.42200000,3.61200000
1738544400.0,3.61200000,3.63600000,3.57000000,3.61800000
1738545300.0,3.61600000,3.61600000,3.54500000,3.55300000
1738546200.0,3.55300000,3.58700000,3.51100000,3.52000000
1738547100.0,3.51500000,3.51500000,3.10000000,3.19000000
1738548000.0,3.18700000,3.22800000,2.43600000,2.81200000
1738548900.0,2.81100000,2.96700000,2.81100000,2.95700000
1738549800.0,2.95400000,2.99600000,2.94600000,2.97900000
1738550700.0,2.98100000,2.99200000,2.94400000,2.97900000
1738551600.0,2.97800000,3.07200000,2.97000000,3.07200000
1738552500.0,3.07600000,3.12600000,3.07500000,3.09900000
1738553400.0,3.09700000,3.10100000,3.04800000,3.08500000
1738554300.0,3.08200000,3.14700000,3.08200000,3.12200000
1738555200.0,3.12200000,3.16900000,3.10300000,3.10300000
1738556100.0,3.10000000,3.10300000,3.04300000,3.04300000
1738557000.0,3.04300000,3.05400000,3.01800000,3.03000000
1738557900.0,3.02900000,3.05100000,3.01000000,3.01500000
1738558800.0,3.01500000,3.07700000,3.00700000,3.06700000
1738559700.0,3.06600000,3.14900000,3.06600000,3.13700000
1738560600.0,3.13300000,3.15500000,3.12100000,3.14600000
1738561500.0,3.14900000,3.21500000,3.14400000,3.20400000
1738562400.0,3.20400000,3.20800000,3.16700000,3.18100000
1738563300.0,3.18100000,3.26900000,3.16800000,3.24700000
1738564200.0,3.24700000,3.28100000,3.23500000,3.24500000
1738565100.0,3.24900000,3.28100000,3.24400000,3.27600000
1738566000.0,3.28100000,3.31800000,3.26700000,3.28000000
1738566900.0,3.28300000,3.31700000,3.28000000,3.29700000
1738567800.0,3.30100000,3.35300000,3.28800000,3.34400000
1738568700.0,3.34500000,3.39400000,3.33500000,3.38400000
1738569600.0,3.38400000,3.39100000,3.29900000,3.33100000
1738570500.0,3.33200000,3.33500000,3.27900000,3.27900000
1738571400.0,3.28100000,3.28400000,3.24300000,3.24900000
1738572300.0,3.24700000,3.28400000,3.23900000,3.27600000
