time,open,high,low,close
1738540800.0,2.58010000,2.58130000,2.51810000,2.52700000
1738541700.0,2.52690000,2.52850000,2.38330000,2.40470000
1738542600.0,2.40460000,2.42070000,2.18170000,2.22470000
1738543500.0,2.22470000,2.44050000,2.21170000,2.39370000
1738544400.0,2.39410000,2.41570000,2.32270000,2.34040000
1738545300.0,2.33980000,2.35540000,2.25900000,2.29010000
1738546200.0,2.29010000,2.31890000,2.22560000,2.25090000
1738547100.0,2.25110000,2.25200000,2.00000000,2.09760000
1738548000.0,2.09840000,2.11260000,1.77110000,2.08100000
1738548900.0,2.08100000,2.17250000,2.06760000,2.12000000
1738549800.0,2.11990000,2.17430000,2.08000000,2.15450000
1738550700.0,2.15460000,2.17280000,2.10180000,2.15290000
1738551600.0,2.15300000,2.26650000,2.14580000,2.24100000
1738552500.0,2.24110000,2.32160000,2.23180000,2.23430000
1738553400.0,2.23400000,2.23700000,2.18590000,2.20890000
1738554300.0,2.20890000,2.27890000,2.20570000,2.25890000
1738555200.0,2.25890000,2.32150000,2.21770000,2.22680000
1738556100.0,2.22680000,2.23380000,2.17890000,2.18970000
1738557000.0,2.18970000,2.20870000,2.13580000,2.15510000
1738557900.0,2.15520000,2.19030000,2.11900000,2.13890000
1738558800.0,2.13890000,2.18080000,2.13070000,2.15980000
1738559700.0,2.15970000,2.22630000,2.15660000,2.20950000
1738560600.0,2.20950000,2.24570000,2.20720000,2.23780000
1738561500.0,2.23780000,2.30000000,2.22640000,2.29320000
1738562400.0,2.29320000,2.30200000,2.25360000,2.29700000
1738563300.0,2.29710000,2.34860000,2.28030000,2.32620000
1738564200.0,2.32610000,2.34420000,2.27830000,2.29320000
1738565100.0,2.29330000,2.32530000,2.29170000,2.31740000
1738566000.0,2.31730000,2.35450000,2.30550000,2.33990000
1738566900.0,2.34000000,2.39880000,2.33860000,2.39180000
1738567800.0,2.39180000,2.43760000,2.37520000,2.39920000
1738568700.0,2.39920000,2.45310000,2.38660000,2.42980000
1738569600.0,2.42980000,2.42980000,2.37250000,2.39310000
1738570500.0,2.39320000,2.39820000,2.34540000,2.35630000
1738571400.0,2.35630000,2.35810000,2.30820000,2.31100000
1738572300.0,2.31100000,2.36530000,2.31010000,2.36160000
1738573200.0,2.36160000,2.41000000,2.35180000,2.40140000
1738574100.0,2.40110000,2.40190000,2.35220000,2.38320000
1738575000.0,2.38330000,2.39190000,2.36370000,2.38910000
1738575900.0,2.38940000,2.40150000,2.36020000,2.37330000
1738576800.0,2.37350000,2.39290000,2.35460000,2.36420000
1738577700.0,2.36430000,2.38340000,2.33430000,2.36680000
1738578600.0,2.36690000,2.42530000,2.36500000,2.39590000
1738579500.0,2.39590000,2.44050000,2.39090000,2.43200000
1738580400.0,2.43190000,2.43290000,2.39680000,2.40630000
1738581300.0,2.40630000,2.40630000,2.37510000,2.37910000
1738582200.0,2.37920000,2.37960000,2.35860000,2.37430000
1738583100.0,2.37440000,2.38090000,2.34980000,2.37200000
1738584000.0,2.37200000,2.40880000,2.36660000,2.39660000
1738584900.0,2.39650000,2.43680000,2.39240000,2.40720000
1738585800.0,2.40720000,2.42610000,2.39790000,2.40270000
1738586700.0,2.40280000,2.40450000,2.35150000,2.35860000
1738587600.0,2.35850000,2.38370000,2.34070000,2.34310000
1738588500.0,2.34320000,2.37270000,2.32220000,2.32240000
1738589400.0,2.32230000,2.38320000,2.32130000,2.37490000
1738590300.0,2.37500000,2.37690000,2.33060000,2.33950000
