time,open,high,low,close
1738540800.0,5997.00000000,6000.00000000,5911.00000000,5915.00000000
1738541700.0,5892.00000000,5902.00000000,5760.00000000,5805.00000000
1738542600.0,5808.00000000,5812.00000000,5610.00000000,5627.00000000
1738543500.0,5633.00000000,5929.00000000,5633.00000000,5884.00000000
1738544400.0,5888.00000000,5922.00000000,5825.00000000,5826.00000000
1738545300.0,5821.00000000,5821.00000000,5734.00000000,5744.00000000
1738546200.0,5745.00000000,5790.00000000,5626.00000000,5684.00000000
1738547100.0,5688.00000000,5688.00000000,4822.00000000,5197.00000000
1738548000.0,5198.00000000,5441.00000000,4852.00000000,5389.00000000
1738548900.0,5392.00000000,5610.00000000,5359.00000000,5382.00000000
1738549800.0,5382.00000000,5459.00000000,5322.00000000,5395.00000000
1738550700.0,5400.00000000,5405.00000000,5250.00000000,5337.00000000
1738551600.0,5342.00000000,5536.00000000,5335.00000000,5497.00000000
1738552500.0,5496.00000000,5563.00000000,5494.00000000,5519.00000000
1738553400.0,5520.00000000,5534.00000000,5476.00000000,5532.00000000
1738554300.0,5530.00000000,5631.00000000,5528.00000000,5605.00000000
1738555200.0,5607.00000000,5637.00000000,5469.00000000,5469.00000000
1738556100.0,5472.00000000,5478.00000000,5362.00000000,5363.00000000
1738557000.0,5363.00000000,5397.00000000,5314.00000000,5335.00000000
1738557900.0,5336.00000000,5393.00000000,5291.00000000,5292.00000000
1738558800.0,5296.00000000,5422.00000000,5294.00000000,5397.00000000
1738559700.0,5389.00000000,5505.00000000,5387.00000000,5478.00000000
1738560600.0,5472.00000000,5509.00000000,5430.00000000,5477.00000000
1738561500.0,5477.00000000,5534.00000000,5453.00000000,5528.00000000
1738562400.0,5526.00000000,5530.00000000,5458.00000000,5524.00000000
1738563300.0,5521.00000000,5638.00000000,5495.00000000,5626.00000000
1738564200.0,5623.00000000,5673.00000000,5603.00000000,5653.00000000
1738565100.0,5654.00000000,5713.00000000,5640.00000000,5673.00000000
1738566000.0,5680.00000000,5741.00000000,5664.00000000,5711.00000000
1738566900.0,5722.00000000,5773.00000000,5688.00000000,5745.00000000
1738567800.0,5747.00000000,5799.00000000,5702.00000000,5759.00000000
1738568700.0,5757.00000000,5805.00000000,5736.00000000,5786.00000000
1738569600.0,5785.00000000,5786.00000000,5700.00000000,5733.00000000
1738570500.0,5736.00000000,5742.00000000,5644.00000000,5647.00000000
1738571400.0,5650.00000000,5650.00000000,5575.00000000,5596.00000000
1738572300.0,5598.00000000,5686.00000000,5594.00000000,5685.00000000
1738573200.0,5678.00000000,5800.00000000,5671.00000000,5789.00000000
1738574100.0,5783.00000000,5784.00000000,5703.00000000,5755.00000000
1738575000.0,5752.00000000,5769.00000000,5709.00000000,5718.00000000
1738575900.0,5732.00000000,5776.00000000,5706.00000000,5732.00000000
1738576800.0,5735.00000000,5784.00000000,5734.00000000,5768.00000000
1738577700.0,5774.00000000,5809.00000000,5733.00000000,5800.00000000
1738578600.0,5804.00000000,5870.00000000,5789.00000000,5826.00000000
1738579500.0,5831.00000000,5895.00000000,5816.00000000,5879.00000000
1738580400.0,5884.00000000,5884.00000000,5848.00000000,5868.00000000
1738581300.0,5868.00000000,5886.00000000,5825.00000000,5861.00000000
1738582200.0,5848.00000000,5854.00000000,5814.00000000,5836.00000000
1738583100.0,5836.00000000,5862.00000000,5821.00000000,5850.00000000
1738584000.0,5850.00000000,5919.00000000,5850.00000000,5893.00000000
1738584900.0,5893.00000000,5931.00000000,5855.00000000,5873.00000000
1738585800.0,5870.00000000,5884.00000000,5834.00000000,5834.00000000
1738586700.0,5834.00000000,5839.00000000,5740.00000000,5753.00000000
1738587600.0,5758.00000000,5818.00000000,5744.00000000,5752.00000000
1738588500.0,5751.00000000,5762.00000000,5660.00000000,5663.00000000
1738589400.0,5658.00000000,5768.00000000,5658.00000000,5758.00000000
1738590300.0,5758.00000000,5759.00000000,5685.00000000,5706.00000000
1738591200.0,5718.00000000,5718.00000000,5595.00000000,5599.00000000
1738592100.0,5594.00000000,5653.00000000,5555.00000000,5612.00000000
1738593000.0,5614.00000000,5876.00000000,5576.00000000,5811.00000000
1738593900.0,5815.00000000,5835.00000000,5707.00000000,5792.00000000
1738594800.0,5786.00000000,5821.00000000,5742.00000000,5760.00000000
1738595700.0,5758.00000000,6000.00000000,5743.00000000,5879.00000000
1738596600.0,5879.00000000,5966.00000000,5841.00000000,5934.00000000
1738597500.0,5931.00000000,5968.00000000,5874.00000000,5935.00000000
1738598400.0,5931.00000000,6072.00000000,5921.00000000,6057.00000000
1738599300.0,6062.00000000,6144.00000000,6020.00000000,6102.00000000
1738600200.0,6103.00000000,6151.00000000,6068.00000000,6151.00000000
1738601100.0,6149.00000000,6206.00000000,6126.00000000,6139.00000000
1738602000.0,6142.00000000,6169.00000000,6102.00000000,6125.00000000
