time,open,high,low,close
1738540800.0,2.93800000,2.93900000,2.87900000,2.88300000
1738541700.0,2.88000000,2.88100000,2.80800000,2.85100000
1738542600.0,2.85100000,2.85700000,2.70900000,2.72500000
1738543500.0,2.72700000,2.83200000,2.72500000,2.80500000
1738544400.0,2.80700000,2.82600000,2.77300000,2.77900000
1738545300.0,2.77900000,2.78100000,2.73400000,2.74400000
1738546200.0,2.74500000,2.77200000,2.70800000,2.72800000
1738547100.0,2.72900000,2.72900000,2.29600000,2.46300000
1738548000.0,2.46300000,2.48600000,2.12700000,2.42000000
1738548900.0,2.42100000,2.45000000,2.38700000,2.39500000
1738549800.0,2.39500000,2.41700000,2.36300000,2.37900000
1738550700.0,2.38200000,2.39000000,2.32400000,2.35800000
1738551600.0,2.35900000,2.44300000,2.35300000,2.42600000
1738552500.0,2.42500000,2.46700000,2.40400000,2.41100000
1738553400.0,2.41000000,2.41100000,2.37800000,2.39500000
1738554300.0,2.39400000,2.45900000,2.39400000,2.43100000
1738555200.0,2.43200000,2.46900000,2.40600000,2.40800000
1738556100.0,2.40800000,2.41700000,2.36800000,2.37700000
1738557000.0,2.37600000,2.40400000,2.36000000,2.36800000
1738557900.0,2.37000000,2.39700000,2.35400000,2.35800000
1738558800.0,2.35900000,2.39900000,2.35700000,2.37600000
1738559700.0,2.37600000,2.44900000,2.37500000,2.43100000
1738560600.0,2.43100000,2.45800000,2.42400000,2.45100000
1738561500.0,2.45100000,2.50500000,2.44500000,2.50300000
1738562400.0,2.50300000,2.50300000,2.47200000,2.49300000
1738563300.0,2.49200000,2.54200000,2.47800000,2.53100000
1738564200.0,2.53100000,2.55400000,2.51800000,2.55300000
1738565100.0,2.55300000,2.63300000,2.55200000,2.62500000
1738566000.0,2.62500000,2.65400000,2.61600000,2.63800000
1738566900.0,2.63700000,2.68300000,2.63700000,2.65700000
1738567800.0,2.66000000,2.71600000,2.64700000,2.69500000
1738568700.0,2.69600000,2.71500000,2.67200000,2.70300000
1738569600.0,2.70300000,2.70300000,2.64300000,2.69300000
1738570500.0,2.69300000,2.69600000,2.63700000,2.64300000
1738571400.0,2.64200000,2.64200000,2.60300000,2.61600000
1738572300.0,2.61400000,2.66500000,2.61300000,2.65000000
1738573200.0,2.65000000,2.72200000,2.64200000,2.71300000
1738574100.0,2.71200000,2.71200000,2.65600000,2.68400000
1738575000.0,2.68200000,2.69200000,2.66100000,2.66700000
1738575900.0,2.67100000,2.68400000,2.64300000,2.65100000
1738576800.0,2.65100000,2.67300000,2.64900000,2.66000000
1738577700.0,2.65900000,2.66800000,2.63400000,2.66100000
1738578600.0,2.66100000,2.75400000,2.65500000,2.71000000
1738579500.0,2.71200000,2.74600000,2.70600000,2.74400000
1738580400.0,2.74500000,2.75200000,2.71800000,2.73900000
1738581300.0,2.73700000,2.75300000,2.71800000,2.73000000
1738582200.0,2.72900000,2.74100000,2.70900000,2.72500000
1738583100.0,2.72700000,2.73800000,2.71500000,2.72500000
1738584000.0,2.72600000,2.76300000,2.72500000,2.75100000
1738584900.0,2.74900000,2.78700000,2.74300000,2.75100000
1738585800.0,2.75100000,2.75700000,2.72900000,2.72900000
1738586700.0,2.73000000,2.73000000,2.66700000,2.67200000
1738587600.0,2.67300000,2.69100000,2.64700000,2.65100000
1738588500.0,2.65100000,2.66900000,2.61900000,2.61900000
1738589400.0,2.61800000,2.67600000,2.61800000,2.66900000
1738590300.0,2.66900000,2.67500000,2.62500000,2.64400000
1738591200.0,2.64500000,2.64700000,2.57700000,2.58300000
1738592100.0,2.58200000,2.61200000,2.55500000,2.59200000
1738593000.0,2.58900000,2.74700000,2.57000000,2.72200000
1738593900.0,2.72300000,2.74900000,2.68700000,2.74400000
1738594800.0,2.74300000,2.75800000,2.72800000,2.74300000
1738595700.0,2.74300000,2.85500000,2.73100000,2.82400000
1738596600.0,2.82200000,2.88500000,2.79800000,2.86500000
1738597500.0,2.86300000,2.88500000,2.83100000,2.85300000
1738598400.0,2.85200000,2.88100000,2.82000000,2.83700000
1738599300.0,2.83900000,2.86400000,2.82400000,2.84400000
1738600200.0,2.84500000,2.87100000,2.83200000,2.86700000
1738601100.0,2.86700000,2.88200000,2.85400000,2.85700000
